"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__close_connection","free","/src/c-ares/src/lib/ares__close_sockets.c","/usr/include/stdlib.h",45,70,565,565,"ares__close_connection(server_connection *) -> void","server_connection * conn","void","void","free(void *) -> void","void * __ptr","void","void"
"ares__close_connection","ares__close_socket","/src/c-ares/src/lib/ares__close_sockets.c","/src/c-ares/src/lib/ares__socket.c",45,70,417,417,"ares__close_connection(server_connection *) -> void","server_connection * conn","void","void","ares__close_socket(ares_channel, ares_channel_t *, ares_socket_t) -> void","ares_channel channel, ares_socket_t s","void","void"
"ares__close_connection","ares__buf_len","/src/c-ares/src/lib/ares__close_sockets.c","/src/c-ares/src/lib/ares__buf.c",45,70,908,908,"ares__close_connection(server_connection *) -> void","server_connection * conn","void","void","ares__buf_len(const ares__buf_t *) -> size_t","const ares__buf_t * buf","size_t","unsigned long"
"ares__close_connection","ares__buf_consume","/src/c-ares/src/lib/ares__close_sockets.c","/src/c-ares/src/lib/ares__buf.c",45,70,471,471,"ares__close_connection(server_connection *) -> void","server_connection * conn","void","void","ares__buf_consume(ares__buf_t *, size_t) -> ares_status_t","ares__buf_t * buf, size_t len","ares_status_t","(unnamed enum)"
"ares__close_connection","ares__llist_destroy","/src/c-ares/src/lib/ares__close_sockets.c","/src/c-ares/src/lib/ares__llist.c",45,70,326,326,"ares__close_connection(server_connection *) -> void","server_connection * conn","void","void","ares__llist_destroy(ares__llist_t *) -> void","ares__llist_t * list","void","void"
"ares__close_connection","ares__llist_node_claim","/src/c-ares/src/lib/ares__close_sockets.c","/src/c-ares/src/lib/ares__llist.c",45,70,278,278,"ares__close_connection(server_connection *) -> void","server_connection * conn","void","void","ares__llist_node_claim(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
"ares__close_connection","ares__htable_asvp_remove","/src/c-ares/src/lib/ares__close_sockets.c","/src/c-ares/src/lib/ares__htable_asvp.c",45,70,212,212,"ares__close_connection(server_connection *) -> void","server_connection * conn","void","void","ares__htable_asvp_remove(ares__htable_asvp_t *, ares_socket_t) -> ares_bool_t","ares__htable_asvp_t * htable, ares_socket_t key","ares_bool_t","(unnamed enum)"
"ares__close_connection","ares__htable_asvp_get_direct","/src/c-ares/src/lib/ares__close_sockets.c","/src/c-ares/src/lib/ares__htable_asvp.c",45,70,204,204,"ares__close_connection(server_connection *) -> void","server_connection * conn","void","void","ares__htable_asvp_get_direct(const ares__htable_asvp_t *, ares_socket_t) -> void *","const ares__htable_asvp_t * htable, ares_socket_t key","void *","void *"
"ares__close_connection","ares__requeue_queries","/src/c-ares/src/lib/ares__close_sockets.c","/src/c-ares/src/lib/ares__close_sockets.c",45,70,34,34,"ares__close_connection(server_connection *) -> void","server_connection * conn","void","void","ares__requeue_queries(server_connection *) -> void","server_connection * conn","void","void"
"ares__close_connection","ares_event_thread_sockstate_cb","/src/c-ares/src/lib/ares__close_sockets.c","/src/c-ares/src/lib/ares_event_thread.c",45,70,181,181,"ares__close_connection(server_connection *) -> void","server_connection * conn","void","void","ares_event_thread_sockstate_cb(void *, ares_socket_t, int, int) -> void","void * data, ares_socket_t socket_fd, int readable, int writable","void","void"
