"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__hosts_entry_isdup","strcasecmp","/src/c-ares/src/lib/ares__hosts_file.c","/usr/include/strings.h",365,377,116,116,"ares__hosts_entry_isdup(ares_hosts_entry_t *, const char *) -> ares_bool_t","ares_hosts_entry_t * entry, const char * host","ares_bool_t","(unnamed enum)","strcasecmp(const char *, const char *) -> int","const char * __s1, const char * __s2","int","int"
"ares__hosts_entry_isdup","ares__llist_node_val","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",365,377,213,213,"ares__hosts_entry_isdup(ares_hosts_entry_t *, const char *) -> ares_bool_t","ares_hosts_entry_t * entry, const char * host","ares_bool_t","(unnamed enum)","ares__llist_node_val(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
"ares__hosts_entry_isdup","ares__llist_node_first","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",365,377,181,181,"ares__hosts_entry_isdup(ares_hosts_entry_t *, const char *) -> ares_bool_t","ares_hosts_entry_t * entry, const char * host","ares_bool_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_isdup","ares__llist_node_first","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",365,377,181,181,"ares__hosts_entry_isdup(ares_hosts_entry_t *, const char *) -> ares_bool_t","ares_hosts_entry_t * entry, const char * host","ares_bool_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_isdup","ares__llist_node_first","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",365,377,181,181,"ares__hosts_entry_isdup(ares_hosts_entry_t *, const char *) -> ares_bool_t","ares_hosts_entry_t * entry, const char * host","ares_bool_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_isdup","ares__llist_node_first","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",365,377,181,181,"ares__hosts_entry_isdup(ares_hosts_entry_t *, const char *) -> ares_bool_t","ares_hosts_entry_t * entry, const char * host","ares_bool_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_isdup","ares__llist_node_next","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",365,377,197,197,"ares__hosts_entry_isdup(ares_hosts_entry_t *, const char *) -> ares_bool_t","ares_hosts_entry_t * entry, const char * host","ares_bool_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_isdup","ares__llist_node_next","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",365,377,197,197,"ares__hosts_entry_isdup(ares_hosts_entry_t *, const char *) -> ares_bool_t","ares_hosts_entry_t * entry, const char * host","ares_bool_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_isdup","ares__llist_node_next","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",365,377,197,197,"ares__hosts_entry_isdup(ares_hosts_entry_t *, const char *) -> ares_bool_t","ares_hosts_entry_t * entry, const char * host","ares_bool_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_isdup","ares__llist_node_next","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",365,377,197,197,"ares__hosts_entry_isdup(ares_hosts_entry_t *, const char *) -> ares_bool_t","ares_hosts_entry_t * entry, const char * host","ares_bool_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
