"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__hosts_entry_to_hostent","memcpy","/src/c-ares/src/lib/ares__hosts_file.c","/usr/include/string.h",773,887,43,43,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"ares__hosts_entry_to_hostent","memset","/src/c-ares/src/lib/ares__hosts_file.c","/usr/include/string.h",773,887,61,61,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"ares__hosts_entry_to_hostent","ares_strdup","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares_str.c",773,887,46,46,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares_strdup(const char *) -> char *","const char * s1","char *","char *"
"ares__hosts_entry_to_hostent","ares_free_hostent","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares_free_hostent.c",773,887,37,37,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares_free_hostent(hostent *) -> void","hostent * host","void","void"
"ares__hosts_entry_to_hostent","malloc","/src/c-ares/src/lib/ares__hosts_file.c","/usr/include/stdlib.h",773,887,539,539,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","malloc(size_t) -> void *","size_t __size","void *","void *"
"ares__hosts_entry_to_hostent","ares_realloc_zero","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares_library_init.c",773,887,87,87,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares_realloc_zero(void *, size_t, size_t) -> void *","void * ptr, size_t orig_size, size_t new_size","void *","void *"
"ares__hosts_entry_to_hostent","ares_malloc_zero","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares_library_init.c",773,887,77,77,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares_malloc_zero(size_t) -> void *","size_t size","void *","void *"
"ares__hosts_entry_to_hostent","ares__llist_len","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",773,887,222,222,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares__llist_len(const ares__llist_t *) -> size_t","const ares__llist_t * list","size_t","unsigned long"
"ares__hosts_entry_to_hostent","ares__llist_node_val","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",773,887,213,213,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares__llist_node_val(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
"ares__hosts_entry_to_hostent","ares__llist_node_first","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",773,887,181,181,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_to_hostent","ares__llist_node_first","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",773,887,181,181,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_to_hostent","ares__llist_node_first","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",773,887,181,181,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_to_hostent","ares__llist_node_first","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",773,887,181,181,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_to_hostent","ares__llist_node_next","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",773,887,197,197,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_to_hostent","ares__llist_node_next","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",773,887,197,197,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_to_hostent","ares__llist_node_next","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",773,887,197,197,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_to_hostent","ares__llist_node_next","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",773,887,197,197,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_entry_to_hostent","ares__llist_first_val","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",773,887,238,238,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares__llist_first_val(ares__llist_t *) -> void *","ares__llist_t * list","void *","void *"
"ares__hosts_entry_to_hostent","ares_dns_pton","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__hosts_file.c",773,887,101,101,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","ares_dns_pton(const char *, ares_addr *, size_t *) -> const void *","const char * ipaddr, ares_addr * addr, size_t * out_len","const void *","void *"
"ares__hosts_entry_to_hostent","default_malloc","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares_library_init.c",773,887,50,50,"ares__hosts_entry_to_hostent(const ares_hosts_entry_t *, int, hostent **) -> ares_status_t","const ares_hosts_entry_t * entry, int family, hostent ** hostent","ares_status_t","(unnamed enum)","default_malloc(size_t) -> void *","size_t size","void *","void *"
