"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__hosts_file_match","ares__llist_node_val","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",273,296,213,213,"ares__hosts_file_match(const ares_hosts_file_t *, ares_hosts_entry_t *, ares_hosts_entry_t **) -> ares_hosts_file_match_t","const ares_hosts_file_t * hf, ares_hosts_entry_t * entry, ares_hosts_entry_t ** match","ares_hosts_file_match_t","(unnamed enum)","ares__llist_node_val(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
"ares__hosts_file_match","ares__llist_node_first","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",273,296,181,181,"ares__hosts_file_match(const ares_hosts_file_t *, ares_hosts_entry_t *, ares_hosts_entry_t **) -> ares_hosts_file_match_t","const ares_hosts_file_t * hf, ares_hosts_entry_t * entry, ares_hosts_entry_t ** match","ares_hosts_file_match_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_file_match","ares__llist_node_first","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",273,296,181,181,"ares__hosts_file_match(const ares_hosts_file_t *, ares_hosts_entry_t *, ares_hosts_entry_t **) -> ares_hosts_file_match_t","const ares_hosts_file_t * hf, ares_hosts_entry_t * entry, ares_hosts_entry_t ** match","ares_hosts_file_match_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_file_match","ares__llist_node_first","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",273,296,181,181,"ares__hosts_file_match(const ares_hosts_file_t *, ares_hosts_entry_t *, ares_hosts_entry_t **) -> ares_hosts_file_match_t","const ares_hosts_file_t * hf, ares_hosts_entry_t * entry, ares_hosts_entry_t ** match","ares_hosts_file_match_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_file_match","ares__llist_node_first","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",273,296,181,181,"ares__hosts_file_match(const ares_hosts_file_t *, ares_hosts_entry_t *, ares_hosts_entry_t **) -> ares_hosts_file_match_t","const ares_hosts_file_t * hf, ares_hosts_entry_t * entry, ares_hosts_entry_t ** match","ares_hosts_file_match_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_file_match","ares__llist_node_next","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",273,296,197,197,"ares__hosts_file_match(const ares_hosts_file_t *, ares_hosts_entry_t *, ares_hosts_entry_t **) -> ares_hosts_file_match_t","const ares_hosts_file_t * hf, ares_hosts_entry_t * entry, ares_hosts_entry_t ** match","ares_hosts_file_match_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_file_match","ares__llist_node_next","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",273,296,197,197,"ares__hosts_file_match(const ares_hosts_file_t *, ares_hosts_entry_t *, ares_hosts_entry_t **) -> ares_hosts_file_match_t","const ares_hosts_file_t * hf, ares_hosts_entry_t * entry, ares_hosts_entry_t ** match","ares_hosts_file_match_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_file_match","ares__llist_node_next","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",273,296,197,197,"ares__hosts_file_match(const ares_hosts_file_t *, ares_hosts_entry_t *, ares_hosts_entry_t **) -> ares_hosts_file_match_t","const ares_hosts_file_t * hf, ares_hosts_entry_t * entry, ares_hosts_entry_t ** match","ares_hosts_file_match_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_file_match","ares__llist_node_next","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",273,296,197,197,"ares__hosts_file_match(const ares_hosts_file_t *, ares_hosts_entry_t *, ares_hosts_entry_t **) -> ares_hosts_file_match_t","const ares_hosts_file_t * hf, ares_hosts_entry_t * entry, ares_hosts_entry_t ** match","ares_hosts_file_match_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__hosts_file_match","ares__htable_strvp_get_direct","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__htable_strvp.c",273,296,174,174,"ares__hosts_file_match(const ares_hosts_file_t *, ares_hosts_entry_t *, ares_hosts_entry_t **) -> ares_hosts_file_match_t","const ares_hosts_file_t * hf, ares_hosts_entry_t * entry, ares_hosts_entry_t ** match","ares_hosts_file_match_t","(unnamed enum)","ares__htable_strvp_get_direct(const ares__htable_strvp_t *, const char *) -> void *","const ares__htable_strvp_t * htable, const char * key","void *","void *"
