"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__parse_hosts","ares__hosts_file_destroy","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__hosts_file.c",505,593,184,184,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__hosts_file_destroy(ares_hosts_file_t *) -> void","ares_hosts_file_t * hf","void","void"
"ares__parse_hosts","ares__buf_load_file","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",505,593,1140,1140,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__buf_load_file(const char *, ares__buf_t *) -> ares_status_t","const char * filename, ares__buf_t * buf","ares_status_t","(unnamed enum)"
"ares__parse_hosts","ares__buf_len","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",505,593,908,908,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__buf_len(const ares__buf_t *) -> size_t","const ares__buf_t * buf","size_t","unsigned long"
"ares__parse_hosts","ares__buf_begins_with","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",505,593,887,887,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__buf_begins_with(const ares__buf_t *, const unsigned char *, size_t) -> ares_bool_t","const ares__buf_t * buf, const unsigned char * data, size_t data_len","ares_bool_t","(unnamed enum)"
"ares__parse_hosts","ares__buf_consume_line","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",505,593,655,655,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__buf_consume_line(ares__buf_t *, ares_bool_t) -> size_t","ares__buf_t * buf, ares_bool_t include_linefeed","size_t","unsigned long"
"ares__parse_hosts","ares__buf_consume_whitespace","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",505,593,610,610,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__buf_consume_whitespace(ares__buf_t *, ares_bool_t) -> size_t","ares__buf_t * buf, ares_bool_t include_linefeed","size_t","unsigned long"
"ares__parse_hosts","ares__buf_destroy","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",505,593,78,78,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__buf_destroy(ares__buf_t *) -> void","ares__buf_t * buf","void","void"
"ares__parse_hosts","ares__buf_create","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",505,593,48,48,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares__parse_hosts","ares__buf_create","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",505,593,48,48,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares__parse_hosts","ares__buf_create","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",505,593,48,48,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares__parse_hosts","ares__buf_create","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",505,593,48,48,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares__parse_hosts","ares__hosts_file_create","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__hosts_file.c",505,593,196,196,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__hosts_file_create(const char *) -> ares_hosts_file_t *","const char * filename","ares_hosts_file_t *","ares_hosts_file *"
"ares__parse_hosts","ares__parse_hosts_ipaddr","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__hosts_file.c",505,593,453,453,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__parse_hosts_ipaddr(ares__buf_t *, ares_hosts_entry_t **) -> ares_status_t","ares__buf_t * buf, ares_hosts_entry_t ** entry_out","ares_status_t","(unnamed enum)"
"ares__parse_hosts","ares__parse_hosts_hostnames","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__hosts_file.c",505,593,379,379,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__parse_hosts_hostnames(ares__buf_t *, ares_hosts_entry_t *) -> ares_status_t","ares__buf_t * buf, ares_hosts_entry_t * entry","ares_status_t","(unnamed enum)"
"ares__parse_hosts","ares__hosts_entry_destroy","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__hosts_file.c",505,593,159,159,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__hosts_entry_destroy(ares_hosts_entry_t *) -> void","ares_hosts_entry_t * entry","void","void"
"ares__parse_hosts","ares__hosts_file_add","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__hosts_file.c",505,593,299,299,"ares__parse_hosts(const char *, ares_hosts_file_t **) -> ares_status_t","const char * filename, ares_hosts_file_t ** out","ares_status_t","(unnamed enum)","ares__hosts_file_add(ares_hosts_file_t *, ares_hosts_entry_t *) -> ares_status_t","ares_hosts_file_t * hosts, ares_hosts_entry_t * entry","ares_status_t","(unnamed enum)"
