"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__parse_hosts_ipaddr","ares_strdup","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares_str.c",455,501,46,46,"ares__parse_hosts_ipaddr(ares__buf_t *, ares_hosts_entry_t **) -> ares_status_t","ares__buf_t * buf, ares_hosts_entry_t ** entry_out","ares_status_t","(unnamed enum)","ares_strdup(const char *) -> char *","const char * s1","char *","char *"
"ares__parse_hosts_ipaddr","free","/src/c-ares/src/lib/ares__hosts_file.c","/usr/include/stdlib.h",455,501,565,565,"ares__parse_hosts_ipaddr(ares__buf_t *, ares_hosts_entry_t **) -> ares_status_t","ares__buf_t * buf, ares_hosts_entry_t ** entry_out","ares_status_t","(unnamed enum)","free(void *) -> void","void * __ptr","void","void"
"ares__parse_hosts_ipaddr","ares_malloc_zero","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares_library_init.c",455,501,77,77,"ares__parse_hosts_ipaddr(ares__buf_t *, ares_hosts_entry_t **) -> ares_status_t","ares__buf_t * buf, ares_hosts_entry_t ** entry_out","ares_status_t","(unnamed enum)","ares_malloc_zero(size_t) -> void *","size_t size","void *","void *"
"ares__parse_hosts_ipaddr","ares__buf_consume_nonwhitespace","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",455,501,633,633,"ares__parse_hosts_ipaddr(ares__buf_t *, ares_hosts_entry_t **) -> ares_status_t","ares__buf_t * buf, ares_hosts_entry_t ** entry_out","ares_status_t","(unnamed enum)","ares__buf_consume_nonwhitespace(ares__buf_t *) -> size_t","ares__buf_t * buf","size_t","unsigned long"
"ares__parse_hosts_ipaddr","ares__buf_tag_fetch_string","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",455,501,421,421,"ares__parse_hosts_ipaddr(ares__buf_t *, ares_hosts_entry_t **) -> ares_status_t","ares__buf_t * buf, ares_hosts_entry_t ** entry_out","ares_status_t","(unnamed enum)","ares__buf_tag_fetch_string(const ares__buf_t *, char *, size_t) -> ares_status_t","const ares__buf_t * buf, char * str, size_t len","ares_status_t","(unnamed enum)"
"ares__parse_hosts_ipaddr","ares__buf_tag","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__buf.c",455,501,351,351,"ares__parse_hosts_ipaddr(ares__buf_t *, ares_hosts_entry_t **) -> ares_status_t","ares__buf_t * buf, ares_hosts_entry_t ** entry_out","ares_status_t","(unnamed enum)","ares__buf_tag(ares__buf_t *) -> void","ares__buf_t * buf","void","void"
"ares__parse_hosts_ipaddr","ares__llist_create","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",455,501,45,45,"ares__parse_hosts_ipaddr(ares__buf_t *, ares_hosts_entry_t **) -> ares_status_t","ares__buf_t * buf, ares_hosts_entry_t ** entry_out","ares_status_t","(unnamed enum)","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares__parse_hosts_ipaddr","ares__llist_create","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",455,501,45,45,"ares__parse_hosts_ipaddr(ares__buf_t *, ares_hosts_entry_t **) -> ares_status_t","ares__buf_t * buf, ares_hosts_entry_t ** entry_out","ares_status_t","(unnamed enum)","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares__parse_hosts_ipaddr","ares__llist_create","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",455,501,45,45,"ares__parse_hosts_ipaddr(ares__buf_t *, ares_hosts_entry_t **) -> ares_status_t","ares__buf_t * buf, ares_hosts_entry_t ** entry_out","ares_status_t","(unnamed enum)","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares__parse_hosts_ipaddr","ares__llist_create","/src/c-ares/src/lib/ares__hosts_file.c","/src/c-ares/src/lib/ares__llist.c",455,501,45,45,"ares__parse_hosts_ipaddr(ares__buf_t *, ares_hosts_entry_t **) -> ares_status_t","ares__buf_t * buf, ares_hosts_entry_t ** entry_out","ares_status_t","(unnamed enum)","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
