"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__slist_insert","free","/src/c-ares/src/lib/ares__slist.c","/usr/include/stdlib.h",199,256,565,565,"ares__slist_insert(ares__slist_t *, void *) -> ares__slist_node_t *","ares__slist_t * list, void * val","ares__slist_node_t *","ares__slist_node *","free(void *) -> void","void * __ptr","void","void"
"ares__slist_insert","free","/src/c-ares/src/lib/ares__slist.c","/usr/include/stdlib.h",199,256,565,565,"ares__slist_insert(ares__slist_t *, void *) -> ares__slist_node_t *","ares__slist_t * list, void * val","ares__slist_node_t *","ares__slist_node *","free(void *) -> void","void * __ptr","void","void"
"ares__slist_insert","free","/src/c-ares/src/lib/ares__slist.c","/usr/include/stdlib.h",199,256,565,565,"ares__slist_insert(ares__slist_t *, void *) -> ares__slist_node_t *","ares__slist_t * list, void * val","ares__slist_node_t *","ares__slist_node *","free(void *) -> void","void * __ptr","void","void"
"ares__slist_insert","free","/src/c-ares/src/lib/ares__slist.c","/usr/include/stdlib.h",199,256,565,565,"ares__slist_insert(ares__slist_t *, void *) -> ares__slist_node_t *","ares__slist_t * list, void * val","ares__slist_node_t *","ares__slist_node *","free(void *) -> void","void * __ptr","void","void"
"ares__slist_insert","ares_realloc_zero","/src/c-ares/src/lib/ares__slist.c","/src/c-ares/src/lib/ares_library_init.c",199,256,87,87,"ares__slist_insert(ares__slist_t *, void *) -> ares__slist_node_t *","ares__slist_t * list, void * val","ares__slist_node_t *","ares__slist_node *","ares_realloc_zero(void *, size_t, size_t) -> void *","void * ptr, size_t orig_size, size_t new_size","void *","void *"
"ares__slist_insert","ares_realloc_zero","/src/c-ares/src/lib/ares__slist.c","/src/c-ares/src/lib/ares_library_init.c",199,256,87,87,"ares__slist_insert(ares__slist_t *, void *) -> ares__slist_node_t *","ares__slist_t * list, void * val","ares__slist_node_t *","ares__slist_node *","ares_realloc_zero(void *, size_t, size_t) -> void *","void * ptr, size_t orig_size, size_t new_size","void *","void *"
"ares__slist_insert","ares_realloc_zero","/src/c-ares/src/lib/ares__slist.c","/src/c-ares/src/lib/ares_library_init.c",199,256,87,87,"ares__slist_insert(ares__slist_t *, void *) -> ares__slist_node_t *","ares__slist_t * list, void * val","ares__slist_node_t *","ares__slist_node *","ares_realloc_zero(void *, size_t, size_t) -> void *","void * ptr, size_t orig_size, size_t new_size","void *","void *"
"ares__slist_insert","ares_realloc_zero","/src/c-ares/src/lib/ares__slist.c","/src/c-ares/src/lib/ares_library_init.c",199,256,87,87,"ares__slist_insert(ares__slist_t *, void *) -> ares__slist_node_t *","ares__slist_t * list, void * val","ares__slist_node_t *","ares__slist_node *","ares_realloc_zero(void *, size_t, size_t) -> void *","void * ptr, size_t orig_size, size_t new_size","void *","void *"
"ares__slist_insert","ares_malloc_zero","/src/c-ares/src/lib/ares__slist.c","/src/c-ares/src/lib/ares_library_init.c",199,256,77,77,"ares__slist_insert(ares__slist_t *, void *) -> ares__slist_node_t *","ares__slist_t * list, void * val","ares__slist_node_t *","ares__slist_node *","ares_malloc_zero(size_t) -> void *","size_t size","void *","void *"
"ares__slist_insert","ares_malloc_zero","/src/c-ares/src/lib/ares__slist.c","/src/c-ares/src/lib/ares_library_init.c",199,256,77,77,"ares__slist_insert(ares__slist_t *, void *) -> ares__slist_node_t *","ares__slist_t * list, void * val","ares__slist_node_t *","ares__slist_node *","ares_malloc_zero(size_t) -> void *","size_t size","void *","void *"
