"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__open_connection","memcpy","/src/c-ares/src/lib/ares__socket.c","/usr/include/string.h",243,393,43,43,"ares__open_connection(ares_channel_t *, server_state *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, server_state * server, ares_bool_t is_tcp","ares_status_t","(unnamed enum)","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"ares__open_connection","memset","/src/c-ares/src/lib/ares__socket.c","/usr/include/string.h",243,393,61,61,"ares__open_connection(ares_channel_t *, server_state *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, server_state * server, ares_bool_t is_tcp","ares_status_t","(unnamed enum)","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"ares__open_connection","__bswap_16","/src/c-ares/src/lib/ares__socket.c","/usr/include/x86_64-linux-gnu/bits/byteswap.h",243,393,34,34,"ares__open_connection(ares_channel_t *, server_state *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, server_state * server, ares_bool_t is_tcp","ares_status_t","(unnamed enum)","__bswap_16(__uint16_t) -> __uint16_t","__uint16_t __bsx","__uint16_t","unsigned short"
"ares__open_connection","setsockopt","/src/c-ares/src/lib/ares__socket.c","/usr/include/x86_64-linux-gnu/sys/socket.h",243,393,215,215,"ares__open_connection(ares_channel_t *, server_state *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, server_state * server, ares_bool_t is_tcp","ares_status_t","(unnamed enum)","setsockopt(int, int, int, const void *, socklen_t) -> int","int __fd, int __level, int __optname, const void * __optval, socklen_t __optlen","int","int"
"ares__open_connection","free","/src/c-ares/src/lib/ares__socket.c","/usr/include/stdlib.h",243,393,565,565,"ares__open_connection(ares_channel_t *, server_state *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, server_state * server, ares_bool_t is_tcp","ares_status_t","(unnamed enum)","free(void *) -> void","void * __ptr","void","void"
"ares__open_connection","malloc","/src/c-ares/src/lib/ares__socket.c","/usr/include/stdlib.h",243,393,539,539,"ares__open_connection(ares_channel_t *, server_state *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, server_state * server, ares_bool_t is_tcp","ares_status_t","(unnamed enum)","malloc(size_t) -> void *","size_t __size","void *","void *"
"ares__open_connection","ares__connect_socket","/src/c-ares/src/lib/ares__socket.c","/src/c-ares/src/lib/ares__socket.c",243,393,406,406,"ares__open_connection(ares_channel_t *, server_state *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, server_state * server, ares_bool_t is_tcp","ares_status_t","(unnamed enum)","ares__connect_socket(ares_channel_t *, ares_socket_t, const sockaddr *, ares_socklen_t) -> int","ares_channel_t * channel, ares_socket_t sockfd, const sockaddr * addr, ares_socklen_t addrlen","int","int"
"ares__open_connection","ares__close_socket","/src/c-ares/src/lib/ares__socket.c","/src/c-ares/src/lib/ares__socket.c",243,393,417,417,"ares__open_connection(ares_channel_t *, server_state *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, server_state * server, ares_bool_t is_tcp","ares_status_t","(unnamed enum)","ares__close_socket(ares_channel, ares_channel_t *, ares_socket_t) -> void","ares_channel channel, ares_socket_t s","void","void"
"ares__open_connection","ares__open_socket","/src/c-ares/src/lib/ares__socket.c","/src/c-ares/src/lib/ares__socket.c",243,393,395,395,"ares__open_connection(ares_channel_t *, server_state *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, server_state * server, ares_bool_t is_tcp","ares_status_t","(unnamed enum)","ares__open_socket(ares_channel_t *, int, int, int) -> ares_socket_t","ares_channel_t * channel, int af, int type, int protocol","ares_socket_t","int"
"ares__open_connection","__errno_location","/src/c-ares/src/lib/ares__socket.c","/usr/include/errno.h",243,393,37,37,"ares__open_connection(ares_channel_t *, server_state *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, server_state * server, ares_bool_t is_tcp","ares_status_t","(unnamed enum)","__errno_location() -> int *","","int *","int *"
