"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__channel_threading_init","ares_threadsafety","/src/c-ares/src/lib/ares__threads.c","/src/c-ares/src/lib/ares__threads.c",505,530,415,415,"ares__channel_threading_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares_threadsafety() -> ares_bool_t","","ares_bool_t","(unnamed enum)"
"ares__channel_threading_init","ares__channel_threading_destroy","/src/c-ares/src/lib/ares__threads.c","/src/c-ares/src/lib/ares__threads.c",505,530,532,532,"ares__channel_threading_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__channel_threading_destroy(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares__channel_threading_init","ares__thread_cond_create","/src/c-ares/src/lib/ares__threads.c","/src/c-ares/src/lib/ares__threads.c",505,530,279,279,"ares__channel_threading_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__thread_cond_create() -> ares__thread_cond_t *","","ares__thread_cond_t *","ares__thread_cond *"
"ares__channel_threading_init","ares__thread_cond_create","/src/c-ares/src/lib/ares__threads.c","/src/c-ares/src/lib/ares__threads.c",505,530,279,279,"ares__channel_threading_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__thread_cond_create() -> ares__thread_cond_t *","","ares__thread_cond_t *","ares__thread_cond *"
"ares__channel_threading_init","ares__thread_cond_create","/src/c-ares/src/lib/ares__threads.c","/src/c-ares/src/lib/ares__threads.c",505,530,279,279,"ares__channel_threading_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__thread_cond_create() -> ares__thread_cond_t *","","ares__thread_cond_t *","ares__thread_cond *"
"ares__channel_threading_init","ares__thread_cond_create","/src/c-ares/src/lib/ares__threads.c","/src/c-ares/src/lib/ares__threads.c",505,530,279,279,"ares__channel_threading_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__thread_cond_create() -> ares__thread_cond_t *","","ares__thread_cond_t *","ares__thread_cond *"
"ares__channel_threading_init","ares__thread_mutex_create","/src/c-ares/src/lib/ares__threads.c","/src/c-ares/src/lib/ares__threads.c",505,530,220,220,"ares__channel_threading_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__thread_mutex_create() -> ares__thread_mutex_t *","","ares__thread_mutex_t *","ares__thread_mutex *"
"ares__channel_threading_init","ares__thread_mutex_create","/src/c-ares/src/lib/ares__threads.c","/src/c-ares/src/lib/ares__threads.c",505,530,220,220,"ares__channel_threading_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__thread_mutex_create() -> ares__thread_mutex_t *","","ares__thread_mutex_t *","ares__thread_mutex *"
"ares__channel_threading_init","ares__thread_mutex_create","/src/c-ares/src/lib/ares__threads.c","/src/c-ares/src/lib/ares__threads.c",505,530,220,220,"ares__channel_threading_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__thread_mutex_create() -> ares__thread_mutex_t *","","ares__thread_mutex_t *","ares__thread_mutex *"
"ares__channel_threading_init","ares__thread_mutex_create","/src/c-ares/src/lib/ares__threads.c","/src/c-ares/src/lib/ares__threads.c",505,530,220,220,"ares__channel_threading_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__thread_mutex_create() -> ares__thread_mutex_t *","","ares__thread_mutex_t *","ares__thread_mutex *"
