"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_cancel","ares__channel_unlock","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__threads.c",39,93,545,545,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__channel_unlock(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares_cancel","ares__channel_lock","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__threads.c",39,93,540,540,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__channel_lock(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares_cancel","ares_queue_notify_empty","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__threads.c",39,93,594,594,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares_queue_notify_empty(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares_cancel","ares__free_query","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares_process.c",39,93,1145,1145,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__free_query(query *) -> void","query * query","void","void"
"ares_cancel","ares__check_cleanup_conn","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__close_sockets.c",39,93,82,82,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__check_cleanup_conn(const ares_channel_t *, server_connection *) -> void","const ares_channel_t * channel, server_connection * conn","void","void"
"ares_cancel","ares__dnsrec_convert_cb","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares_search.c",39,93,387,387,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_cancel","ares__llist_create","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,45,45,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares_cancel","ares__llist_create","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,45,45,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares_cancel","ares__llist_create","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,45,45,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares_cancel","ares__llist_create","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,45,45,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares_cancel","ares__llist_len","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,222,222,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_len(const ares__llist_t *) -> size_t","const ares__llist_t * list","size_t","unsigned long"
"ares_cancel","ares__llist_destroy","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,326,326,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_destroy(ares__llist_t *) -> void","ares__llist_t * list","void","void"
"ares_cancel","ares__llist_node_first","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,181,181,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_cancel","ares__llist_node_first","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,181,181,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_cancel","ares__llist_node_first","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,181,181,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_cancel","ares__llist_node_first","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,181,181,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_cancel","ares__llist_node_next","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,197,197,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares_cancel","ares__llist_node_next","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,197,197,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares_cancel","ares__llist_node_next","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,197,197,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares_cancel","ares__llist_node_next","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,197,197,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares_cancel","ares__llist_node_claim","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares__llist.c",39,93,278,278,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","ares__llist_node_claim(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
"ares_cancel","host_callback","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares_getaddrinfo.c",39,93,490,490,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","host_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_cancel","addr_callback","/src/c-ares/src/lib/ares_cancel.c","/src/c-ares/src/lib/ares_gethostbyaddr.c",39,93,163,163,"ares_cancel(ares_channel_t *) -> void","ares_channel_t * channel","void","void","addr_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
