"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__dns_name_write","memset","/src/c-ares/src/lib/ares_dns_name.c","/usr/include/string.h",362,448,61,61,"ares__dns_name_write(ares__buf_t *, ares__llist_t **, ares_bool_t, const char *) -> ares_status_t","ares__buf_t * buf, ares__llist_t ** list, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"ares__dns_name_write","ares__buf_peek","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",362,448,917,917,"ares__dns_name_write(ares__buf_t *, ares__llist_t **, ares_bool_t, const char *) -> ares_status_t","ares__buf_t * buf, ares__llist_t ** list, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_peek(const ares__buf_t *, size_t *) -> const unsigned char *","const ares__buf_t * buf, size_t * len","const unsigned char *","unsigned char *"
"ares__dns_name_write","ares__buf_len","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",362,448,908,908,"ares__dns_name_write(ares__buf_t *, ares__llist_t **, ares_bool_t, const char *) -> ares_status_t","ares__buf_t * buf, ares__llist_t ** list, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_len(const ares__buf_t *) -> size_t","const ares__buf_t * buf","size_t","unsigned long"
"ares__dns_name_write","ares__buf_append_be16","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",362,448,239,239,"ares__dns_name_write(ares__buf_t *, ares__llist_t **, ares_bool_t, const char *) -> ares_status_t","ares__buf_t * buf, ares__llist_t ** list, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_append_be16(ares__buf_t *, unsigned short) -> ares_status_t","ares__buf_t * buf, unsigned short u16","ares_status_t","(unnamed enum)"
"ares__dns_name_write","ares__buf_append_byte","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",362,448,234,234,"ares__dns_name_write(ares__buf_t *, ares__llist_t **, ares_bool_t, const char *) -> ares_status_t","ares__buf_t * buf, ares__llist_t ** list, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_append_byte(ares__buf_t *, unsigned char) -> ares_status_t","ares__buf_t * buf, unsigned char byte","ares_status_t","(unnamed enum)"
"ares__dns_name_write","ares__buf_append","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",362,448,215,215,"ares__dns_name_write(ares__buf_t *, ares__llist_t **, ares_bool_t, const char *) -> ares_status_t","ares__buf_t * buf, ares__llist_t ** list, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_append(ares__buf_t *, const unsigned char *, size_t) -> ares_status_t","ares__buf_t * buf, const unsigned char * data, size_t data_len","ares_status_t","(unnamed enum)"
"ares__dns_name_write","ares_strcpy","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares_str.c",362,448,75,75,"ares__dns_name_write(ares__buf_t *, ares__llist_t **, ares_bool_t, const char *) -> ares_status_t","ares__buf_t * buf, ares__llist_t ** list, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares_strcpy(char *, const char *, size_t) -> size_t","char * dest, const char * src, size_t dest_size","size_t","unsigned long"
"ares__dns_name_write","ares__nameoffset_find","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares_dns_name.c",362,448,86,86,"ares__dns_name_write(ares__buf_t *, ares__llist_t **, ares_bool_t, const char *) -> ares_status_t","ares__buf_t * buf, ares__llist_t ** list, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__nameoffset_find(ares__llist_t *, const char *) -> const ares_nameoffset_t *","ares__llist_t * list, const char * name","const ares_nameoffset_t *","struct <unnamed> *"
"ares__dns_name_write","ares_split_dns_name","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares_dns_name.c",362,448,251,251,"ares__dns_name_write(ares__buf_t *, ares__llist_t **, ares_bool_t, const char *) -> ares_status_t","ares__buf_t * buf, ares__llist_t ** list, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares_split_dns_name(ares_dns_labels_t *, ares_bool_t, const char *) -> ares_status_t","ares_dns_labels_t * labels, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)"
"ares__dns_name_write","ares__nameoffset_create","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares_dns_name.c",362,448,46,46,"ares__dns_name_write(ares__buf_t *, ares__llist_t **, ares_bool_t, const char *) -> ares_status_t","ares__buf_t * buf, ares__llist_t ** list, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)"
