"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__nameoffset_create","ares_strdup","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares_str.c",48,84,46,46,"ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)","ares_strdup(const char *) -> char *","const char * s1","char *","char *"
"ares__nameoffset_create","ares_malloc_zero","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares_library_init.c",48,84,77,77,"ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)","ares_malloc_zero(size_t) -> void *","size_t size","void *","void *"
"ares__nameoffset_create","ares_strlen","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares_str.c",48,84,37,37,"ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)","ares_strlen(const char *) -> size_t","const char * str","size_t","unsigned long"
"ares__nameoffset_create","ares__llist_create","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__llist.c",48,84,45,45,"ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares__nameoffset_create","ares__llist_create","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__llist.c",48,84,45,45,"ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares__nameoffset_create","ares__llist_create","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__llist.c",48,84,45,45,"ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares__nameoffset_create","ares__llist_create","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__llist.c",48,84,45,45,"ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares__nameoffset_create","ares__llist_insert_last","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__llist.c",48,84,150,150,"ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)","ares__llist_insert_last(ares__llist_t *, void *) -> ares__llist_node_t *","ares__llist_t * list, void * val","ares__llist_node_t *","ares__llist_node *"
"ares__nameoffset_create","ares__llist_insert_last","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__llist.c",48,84,150,150,"ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)","ares__llist_insert_last(ares__llist_t *, void *) -> ares__llist_node_t *","ares__llist_t * list, void * val","ares__llist_node_t *","ares__llist_node *"
"ares__nameoffset_create","ares__llist_insert_last","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__llist.c",48,84,150,150,"ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)","ares__llist_insert_last(ares__llist_t *, void *) -> ares__llist_node_t *","ares__llist_t * list, void * val","ares__llist_node_t *","ares__llist_node *"
"ares__nameoffset_create","ares__llist_insert_last","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__llist.c",48,84,150,150,"ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)","ares__llist_insert_last(ares__llist_t *, void *) -> ares__llist_node_t *","ares__llist_t * list, void * val","ares__llist_node_t *","ares__llist_node *"
"ares__nameoffset_create","ares__nameoffset_free","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares_dns_name.c",48,84,36,36,"ares__nameoffset_create(ares__llist_t **, const char *, size_t) -> ares_status_t","ares__llist_t ** list, const char * name, size_t idx","ares_status_t","(unnamed enum)","ares__nameoffset_free(void *) -> void","void * arg","void","void"
