"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_split_dns_name","ares__buf_len","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",254,357,908,908,"ares_split_dns_name(ares_dns_labels_t *, ares_bool_t, const char *) -> ares_status_t","ares_dns_labels_t * labels, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_len(const ares__buf_t *) -> size_t","const ares__buf_t * buf","size_t","unsigned long"
"ares_split_dns_name","ares__buf_fetch_bytes","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",254,357,516,516,"ares_split_dns_name(ares_dns_labels_t *, ares_bool_t, const char *) -> ares_status_t","ares_dns_labels_t * labels, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_fetch_bytes(ares__buf_t *, unsigned char *, size_t) -> ares_status_t","ares__buf_t * buf, unsigned char * bytes, size_t len","ares_status_t","(unnamed enum)"
"ares_split_dns_name","ares__buf_append_byte","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",254,357,234,234,"ares_split_dns_name(ares_dns_labels_t *, ares_bool_t, const char *) -> ares_status_t","ares_dns_labels_t * labels, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_append_byte(ares__buf_t *, unsigned char) -> ares_status_t","ares__buf_t * buf, unsigned char byte","ares_status_t","(unnamed enum)"
"ares_split_dns_name","ares__buf_append","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",254,357,215,215,"ares_split_dns_name(ares_dns_labels_t *, ares_bool_t, const char *) -> ares_status_t","ares_dns_labels_t * labels, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_append(ares__buf_t *, const unsigned char *, size_t) -> ares_status_t","ares__buf_t * buf, const unsigned char * data, size_t data_len","ares_status_t","(unnamed enum)"
"ares_split_dns_name","ares__buf_destroy","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",254,357,78,78,"ares_split_dns_name(ares_dns_labels_t *, ares_bool_t, const char *) -> ares_status_t","ares_dns_labels_t * labels, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_destroy(ares__buf_t *) -> void","ares__buf_t * buf","void","void"
"ares_split_dns_name","ares__buf_create","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",254,357,48,48,"ares_split_dns_name(ares_dns_labels_t *, ares_bool_t, const char *) -> ares_status_t","ares_dns_labels_t * labels, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares_split_dns_name","ares__buf_create","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",254,357,48,48,"ares_split_dns_name(ares_dns_labels_t *, ares_bool_t, const char *) -> ares_status_t","ares_dns_labels_t * labels, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares_split_dns_name","ares__buf_create","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",254,357,48,48,"ares_split_dns_name(ares_dns_labels_t *, ares_bool_t, const char *) -> ares_status_t","ares_dns_labels_t * labels, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares_split_dns_name","ares__buf_create","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares__buf.c",254,357,48,48,"ares_split_dns_name(ares_dns_labels_t *, ares_bool_t, const char *) -> ares_status_t","ares_dns_labels_t * labels, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares_split_dns_name","ares_strlen","/src/c-ares/src/lib/ares_dns_name.c","/src/c-ares/src/lib/ares_str.c",254,357,37,37,"ares_split_dns_name(ares_dns_labels_t *, ares_bool_t, const char *) -> ares_status_t","ares_dns_labels_t * labels, ares_bool_t validate_hostname, const char * name","ares_status_t","(unnamed enum)","ares_strlen(const char *) -> size_t","const char * str","size_t","unsigned long"
