"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_dns_parse_rr","free","/src/c-ares/src/lib/ares_dns_parse.c","/usr/include/stdlib.h",994,1131,565,565,"ares_dns_parse_rr(ares__buf_t *, unsigned int, ares_dns_section_t, ares_dns_record_t *) -> ares_status_t","ares__buf_t * buf, unsigned int flags, ares_dns_section_t sect, ares_dns_record_t * dnsrec","ares_status_t","(unnamed enum)","free(void *) -> void","void * __ptr","void","void"
"ares_dns_parse_rr","ares__dns_name_parse","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_name.c",994,1131,536,536,"ares_dns_parse_rr(ares__buf_t *, unsigned int, ares_dns_section_t, ares_dns_record_t *) -> ares_status_t","ares__buf_t * buf, unsigned int flags, ares_dns_section_t sect, ares_dns_record_t * dnsrec","ares_status_t","(unnamed enum)","ares__dns_name_parse(ares__buf_t *, char **, ares_bool_t) -> ares_status_t","ares__buf_t * buf, char ** name, ares_bool_t is_hostname","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr","ares__buf_len","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares__buf.c",994,1131,908,908,"ares_dns_parse_rr(ares__buf_t *, unsigned int, ares_dns_section_t, ares_dns_record_t *) -> ares_status_t","ares__buf_t * buf, unsigned int flags, ares_dns_section_t sect, ares_dns_record_t * dnsrec","ares_status_t","(unnamed enum)","ares__buf_len(const ares__buf_t *) -> size_t","const ares__buf_t * buf","size_t","unsigned long"
"ares_dns_parse_rr","ares__buf_fetch_be32","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares__buf.c",994,1131,501,501,"ares_dns_parse_rr(ares__buf_t *, unsigned int, ares_dns_section_t, ares_dns_record_t *) -> ares_status_t","ares__buf_t * buf, unsigned int flags, ares_dns_section_t sect, ares_dns_record_t * dnsrec","ares_status_t","(unnamed enum)","ares__buf_fetch_be32(ares__buf_t *, unsigned int *) -> ares_status_t","ares__buf_t * buf, unsigned int * u32","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr","ares__buf_fetch_be16","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares__buf.c",994,1131,483,483,"ares_dns_parse_rr(ares__buf_t *, unsigned int, ares_dns_section_t, ares_dns_record_t *) -> ares_status_t","ares__buf_t * buf, unsigned int flags, ares_dns_section_t sect, ares_dns_record_t * dnsrec","ares_status_t","(unnamed enum)","ares__buf_fetch_be16(ares__buf_t *, unsigned short *) -> ares_status_t","ares__buf_t * buf, unsigned short * u16","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr","ares__buf_consume","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares__buf.c",994,1131,471,471,"ares_dns_parse_rr(ares__buf_t *, unsigned int, ares_dns_section_t, ares_dns_record_t *) -> ares_status_t","ares__buf_t * buf, unsigned int flags, ares_dns_section_t sect, ares_dns_record_t * dnsrec","ares_status_t","(unnamed enum)","ares__buf_consume(ares__buf_t *, size_t) -> ares_status_t","ares__buf_t * buf, size_t len","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr","ares_dns_record_rr_add","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_record.c",994,1131,400,400,"ares_dns_parse_rr(ares__buf_t *, unsigned int, ares_dns_section_t, ares_dns_record_t *) -> ares_status_t","ares__buf_t * buf, unsigned int flags, ares_dns_section_t sect, ares_dns_record_t * dnsrec","ares_status_t","(unnamed enum)","ares_dns_record_rr_add(ares_dns_rr_t **, ares_dns_record_t *, ares_dns_section_t, const char *, ares_dns_rec_type_t, ares_dns_class_t, unsigned int) -> ares_status_t","ares_dns_rr_t ** rr_out, ares_dns_record_t * dnsrec, ares_dns_section_t sect, const char * name, ares_dns_rec_type_t type, ares_dns_class_t rclass, unsigned int ttl","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr","ares_dns_rec_type_isvalid","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_mapping.c",994,1131,84,84,"ares_dns_parse_rr(ares__buf_t *, unsigned int, ares_dns_section_t, ares_dns_record_t *) -> ares_status_t","ares__buf_t * buf, unsigned int flags, ares_dns_section_t sect, ares_dns_record_t * dnsrec","ares_status_t","(unnamed enum)","ares_dns_rec_type_isvalid(ares_dns_rec_type_t, ares_bool_t) -> ares_bool_t","ares_dns_rec_type_t type, ares_bool_t is_query","ares_bool_t","(unnamed enum)"
"ares_dns_parse_rr","ares_dns_rec_type_allow_name_compression","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_mapping.c",994,1131,115,115,"ares_dns_parse_rr(ares__buf_t *, unsigned int, ares_dns_section_t, ares_dns_record_t *) -> ares_status_t","ares__buf_t * buf, unsigned int flags, ares_dns_section_t sect, ares_dns_record_t * dnsrec","ares_status_t","(unnamed enum)","ares_dns_rec_type_allow_name_compression(ares_dns_rec_type_t) -> ares_bool_t","ares_dns_rec_type_t type","ares_bool_t","(unnamed enum)"
"ares_dns_parse_rr","ares_dns_parse_rr_data","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",994,1131,889,889,"ares_dns_parse_rr(ares__buf_t *, unsigned int, ares_dns_section_t, ares_dns_record_t *) -> ares_status_t","ares__buf_t * buf, unsigned int flags, ares_dns_section_t sect, ares_dns_record_t * dnsrec","ares_status_t","(unnamed enum)","ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)"
