"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_dns_parse_rr_data","ares_dns_parse_rr_a","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,158,158,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_a(ares__buf_t *, ares_dns_rr_t *, size_t) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr_data","ares_dns_parse_rr_ns","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,174,174,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_ns(ares__buf_t *, ares_dns_rr_t *, size_t) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr_data","ares_dns_parse_rr_cname","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,183,183,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_cname(ares__buf_t *, ares_dns_rr_t *, size_t) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr_data","ares_dns_parse_rr_soa","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,192,192,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_soa(ares__buf_t *, ares_dns_rr_t *, size_t) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr_data","ares_dns_parse_rr_ptr","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,241,241,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_ptr(ares__buf_t *, ares_dns_rr_t *, size_t) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr_data","ares_dns_parse_rr_hinfo","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,250,250,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_hinfo(ares__buf_t *, ares_dns_rr_t *, size_t) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr_data","ares_dns_parse_rr_mx","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,274,274,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_mx(ares__buf_t *, ares_dns_rr_t *, size_t) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr_data","ares_dns_parse_rr_txt","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,292,292,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_txt(ares__buf_t *, ares_dns_rr_t *, size_t) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr_data","ares_dns_parse_rr_aaaa","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,299,299,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_aaaa(ares__buf_t *, ares_dns_rr_t *, size_t) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr_data","ares_dns_parse_rr_srv","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,315,315,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_srv(ares__buf_t *, ares_dns_rr_t *, size_t) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr_data","ares_dns_parse_rr_naptr","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,345,345,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_naptr(ares__buf_t *, ares_dns_rr_t *, size_t) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr_data","ares_dns_parse_rr_opt","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,392,392,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_opt(ares__buf_t *, ares_dns_rr_t *, size_t, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)"
"ares_dns_parse_rr_data","ares_dns_parse_rr_tlsa","/src/c-ares/src/lib/ares_dns_parse.c","/src/c-ares/src/lib/ares_dns_parse.c",892,934,457,457,"ares_dns_parse_rr_data(ares__buf_t *, size_t, ares_dns_rr_t *, ares_dns_rec_type_t, unsigned short, unsigned short, unsigned int) -> ares_status_t","ares__buf_t * buf, size_t rdlength, ares_dns_rr_t * rr, ares_dns_rec_type_t type, unsigned short raw_type, unsigned short raw_class, unsigned int raw_ttl","ares_status_t","(unnamed enum)","ares_dns_parse_rr_tlsa(ares__buf_t *, ares_dns_rr_t *, size_t) -> ares_status_t","ares__buf_t * buf, ares_dns_rr_t * rr, size_t rdlength","ares_status_t","(unnamed enum)"
