"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_dns_record_duplicate","free","/src/c-ares/src/lib/ares_dns_record.c","/usr/include/stdlib.h",1428,1449,565,565,"ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *","free(void *) -> void","void * __ptr","void","void"
"ares_dns_record_duplicate","free","/src/c-ares/src/lib/ares_dns_record.c","/usr/include/stdlib.h",1428,1449,565,565,"ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *","free(void *) -> void","void * __ptr","void","void"
"ares_dns_record_duplicate","free","/src/c-ares/src/lib/ares_dns_record.c","/usr/include/stdlib.h",1428,1449,565,565,"ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *","free(void *) -> void","void * __ptr","void","void"
"ares_dns_record_duplicate","free","/src/c-ares/src/lib/ares_dns_record.c","/usr/include/stdlib.h",1428,1449,565,565,"ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *","free(void *) -> void","void * __ptr","void","void"
"ares_dns_record_duplicate","ares_dns_write","/src/c-ares/src/lib/ares_dns_record.c","/src/c-ares/src/lib/ares_dns_write.c",1428,1449,991,991,"ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *","ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)"
"ares_dns_record_duplicate","ares_dns_write","/src/c-ares/src/lib/ares_dns_record.c","/src/c-ares/src/lib/ares_dns_write.c",1428,1449,991,991,"ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *","ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)"
"ares_dns_record_duplicate","ares_dns_write","/src/c-ares/src/lib/ares_dns_record.c","/src/c-ares/src/lib/ares_dns_write.c",1428,1449,991,991,"ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *","ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)"
"ares_dns_record_duplicate","ares_dns_write","/src/c-ares/src/lib/ares_dns_record.c","/src/c-ares/src/lib/ares_dns_write.c",1428,1449,991,991,"ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *","ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)"
"ares_dns_record_duplicate","ares_dns_parse","/src/c-ares/src/lib/ares_dns_record.c","/src/c-ares/src/lib/ares_dns_parse.c",1428,1449,1236,1236,"ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *","ares_dns_parse(const unsigned char *, size_t, unsigned int, ares_dns_record_t **) -> ares_status_t","const unsigned char * buf, size_t buf_len, unsigned int flags, ares_dns_record_t ** dnsrec","ares_status_t","(unnamed enum)"
"ares_dns_record_duplicate","ares_dns_parse","/src/c-ares/src/lib/ares_dns_record.c","/src/c-ares/src/lib/ares_dns_parse.c",1428,1449,1236,1236,"ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *","ares_dns_parse(const unsigned char *, size_t, unsigned int, ares_dns_record_t **) -> ares_status_t","const unsigned char * buf, size_t buf_len, unsigned int flags, ares_dns_record_t ** dnsrec","ares_status_t","(unnamed enum)"
"ares_dns_record_duplicate","ares_dns_parse","/src/c-ares/src/lib/ares_dns_record.c","/src/c-ares/src/lib/ares_dns_parse.c",1428,1449,1236,1236,"ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *","ares_dns_parse(const unsigned char *, size_t, unsigned int, ares_dns_record_t **) -> ares_status_t","const unsigned char * buf, size_t buf_len, unsigned int flags, ares_dns_record_t ** dnsrec","ares_status_t","(unnamed enum)"
"ares_dns_record_duplicate","ares_dns_parse","/src/c-ares/src/lib/ares_dns_record.c","/src/c-ares/src/lib/ares_dns_parse.c",1428,1449,1236,1236,"ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *","ares_dns_parse(const unsigned char *, size_t, unsigned int, ares_dns_record_t **) -> ares_status_t","const unsigned char * buf, size_t buf_len, unsigned int flags, ares_dns_record_t ** dnsrec","ares_status_t","(unnamed enum)"
