"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_dns_write","ares__buf_finish_bin","/src/c-ares/src/lib/ares_dns_write.c","/src/c-ares/src/lib/ares__buf.c",993,1045,310,310,"ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)","ares__buf_finish_bin(ares__buf_t *, size_t *) -> unsigned char *","ares__buf_t * buf, size_t * len","unsigned char *","unsigned char *"
"ares_dns_write","ares__buf_destroy","/src/c-ares/src/lib/ares_dns_write.c","/src/c-ares/src/lib/ares__buf.c",993,1045,78,78,"ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)","ares__buf_destroy(ares__buf_t *) -> void","ares__buf_t * buf","void","void"
"ares_dns_write","ares__buf_create","/src/c-ares/src/lib/ares_dns_write.c","/src/c-ares/src/lib/ares__buf.c",993,1045,48,48,"ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares_dns_write","ares__buf_create","/src/c-ares/src/lib/ares_dns_write.c","/src/c-ares/src/lib/ares__buf.c",993,1045,48,48,"ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares_dns_write","ares__buf_create","/src/c-ares/src/lib/ares_dns_write.c","/src/c-ares/src/lib/ares__buf.c",993,1045,48,48,"ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares_dns_write","ares__buf_create","/src/c-ares/src/lib/ares_dns_write.c","/src/c-ares/src/lib/ares__buf.c",993,1045,48,48,"ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares_dns_write","ares__llist_destroy","/src/c-ares/src/lib/ares_dns_write.c","/src/c-ares/src/lib/ares__llist.c",993,1045,326,326,"ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)","ares__llist_destroy(ares__llist_t *) -> void","ares__llist_t * list","void","void"
"ares_dns_write","ares_dns_write_header","/src/c-ares/src/lib/ares_dns_write.c","/src/c-ares/src/lib/ares_dns_write.c",993,1045,35,35,"ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)","ares_dns_write_header(const ares_dns_record_t *, ares__buf_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, ares__buf_t * buf","ares_status_t","(unnamed enum)"
"ares_dns_write","ares_dns_write_questions","/src/c-ares/src/lib/ares_dns_write.c","/src/c-ares/src/lib/ares_dns_write.c",993,1045,136,136,"ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)","ares_dns_write_questions(const ares_dns_record_t *, ares__llist_t **, ares__buf_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, ares__llist_t ** namelist, ares__buf_t * buf","ares_status_t","(unnamed enum)"
"ares_dns_write","ares_dns_write_rr","/src/c-ares/src/lib/ares_dns_write.c","/src/c-ares/src/lib/ares_dns_write.c",993,1045,834,834,"ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)","ares_dns_write_rr(const ares_dns_record_t *, ares__llist_t **, ares_dns_section_t, ares__buf_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, ares__llist_t ** namelist, ares_dns_section_t section, ares__buf_t * buf","ares_status_t","(unnamed enum)"
