"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_event_process_updates","free","/src/c-ares/src/lib/ares_event_thread.c","/usr/include/stdlib.h",207,247,565,565,"ares_event_process_updates(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","free(void *) -> void","void * __ptr","void","void"
"ares_event_process_updates","ares__llist_node_first","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",207,247,181,181,"ares_event_process_updates(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_event_process_updates","ares__llist_node_first","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",207,247,181,181,"ares_event_process_updates(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_event_process_updates","ares__llist_node_first","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",207,247,181,181,"ares_event_process_updates(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_event_process_updates","ares__llist_node_first","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",207,247,181,181,"ares_event_process_updates(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_event_process_updates","ares__llist_node_claim","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",207,247,278,278,"ares_event_process_updates(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__llist_node_claim(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
"ares_event_process_updates","ares__htable_asvp_remove","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__htable_asvp.c",207,247,212,212,"ares_event_process_updates(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__htable_asvp_remove(ares__htable_asvp_t *, ares_socket_t) -> ares_bool_t","ares__htable_asvp_t * htable, ares_socket_t key","ares_bool_t","(unnamed enum)"
"ares_event_process_updates","ares__htable_asvp_get_direct","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__htable_asvp.c",207,247,204,204,"ares_event_process_updates(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__htable_asvp_get_direct(const ares__htable_asvp_t *, ares_socket_t) -> void *","const ares__htable_asvp_t * htable, ares_socket_t key","void *","void *"
"ares_event_process_updates","ares__htable_asvp_insert","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__htable_asvp.c",207,247,149,149,"ares_event_process_updates(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__htable_asvp_insert(ares__htable_asvp_t *, ares_socket_t, void *) -> ares_bool_t","ares__htable_asvp_t * htable, ares_socket_t key, void * val","ares_bool_t","(unnamed enum)"
"ares_event_process_updates","ares_event_destroy_cb","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares_event_thread.c",207,247,31,31,"ares_event_process_updates(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares_event_destroy_cb(void *) -> void","void * arg","void","void"
