"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_event_thread_destroy_int","free","/src/c-ares/src/lib/ares_event_thread.c","/usr/include/stdlib.h",285,320,565,565,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","free(void *) -> void","void * __ptr","void","void"
"ares_event_thread_destroy_int","ares__llist_destroy","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",285,320,326,326,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__llist_destroy(ares__llist_t *) -> void","ares__llist_t * list","void","void"
"ares_event_thread_destroy_int","ares__llist_node_first","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",285,320,181,181,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_event_thread_destroy_int","ares__llist_node_first","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",285,320,181,181,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_event_thread_destroy_int","ares__llist_node_first","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",285,320,181,181,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_event_thread_destroy_int","ares__llist_node_first","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",285,320,181,181,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_event_thread_destroy_int","ares__llist_node_claim","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",285,320,278,278,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__llist_node_claim(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
"ares_event_thread_destroy_int","ares__htable_asvp_destroy","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__htable_asvp.c",285,320,43,43,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__htable_asvp_destroy(ares__htable_asvp_t *) -> void","ares__htable_asvp_t * htable","void","void"
"ares_event_thread_destroy_int","ares__thread_join","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__threads.c",285,320,393,393,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__thread_join(ares__thread_t *, void **) -> ares_status_t","ares__thread_t * thread, void ** rv","ares_status_t","(unnamed enum)"
"ares_event_thread_destroy_int","ares__thread_mutex_unlock","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__threads.c",285,320,267,267,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__thread_mutex_unlock(ares__thread_mutex_t *) -> void","ares__thread_mutex_t * mut","void","void"
"ares_event_thread_destroy_int","ares__thread_mutex_lock","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__threads.c",285,320,259,259,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__thread_mutex_lock(ares__thread_mutex_t *) -> void","ares__thread_mutex_t * mut","void","void"
"ares_event_thread_destroy_int","ares__thread_mutex_destroy","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__threads.c",285,320,250,250,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares__thread_mutex_destroy(ares__thread_mutex_t *) -> void","ares__thread_mutex_t * mut","void","void"
"ares_event_thread_destroy_int","ares_event_destroy_cb","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares_event_thread.c",285,320,31,31,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares_event_destroy_cb(void *) -> void","void * arg","void","void"
"ares_event_thread_destroy_int","ares_event_thread_wake","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares_event_thread.c",285,320,161,161,"ares_event_thread_destroy_int(ares_event_thread_t *) -> void","ares_event_thread_t * e","void","void","ares_event_thread_wake(const ares_event_thread_t *) -> void","const ares_event_thread_t * e","void","void"
