"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_event_thread_init","ares_malloc_zero","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares_library_init.c",392,452,77,77,"ares_event_thread_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares_malloc_zero(size_t) -> void *","size_t size","void *","void *"
"ares_event_thread_init","ares__llist_create","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",392,452,45,45,"ares_event_thread_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares_event_thread_init","ares__llist_create","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",392,452,45,45,"ares_event_thread_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares_event_thread_init","ares__llist_create","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",392,452,45,45,"ares_event_thread_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares_event_thread_init","ares__llist_create","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__llist.c",392,452,45,45,"ares_event_thread_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__llist_create(ares__llist_destructor_t) -> ares__llist_t *","ares__llist_destructor_t destruct","ares__llist_t *","ares__llist *"
"ares_event_thread_init","ares__htable_asvp_create","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__htable_asvp.c",392,452,90,90,"ares_event_thread_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__htable_asvp_create(ares__htable_asvp_val_free_t) -> ares__htable_asvp_t *","ares__htable_asvp_val_free_t val_free","ares__htable_asvp_t *","ares__htable_asvp *"
"ares_event_thread_init","ares__htable_asvp_create","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__htable_asvp.c",392,452,90,90,"ares_event_thread_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__htable_asvp_create(ares__htable_asvp_val_free_t) -> ares__htable_asvp_t *","ares__htable_asvp_val_free_t val_free","ares__htable_asvp_t *","ares__htable_asvp *"
"ares_event_thread_init","ares__htable_asvp_create","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__htable_asvp.c",392,452,90,90,"ares_event_thread_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__htable_asvp_create(ares__htable_asvp_val_free_t) -> ares__htable_asvp_t *","ares__htable_asvp_val_free_t val_free","ares__htable_asvp_t *","ares__htable_asvp *"
"ares_event_thread_init","ares__htable_asvp_create","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__htable_asvp.c",392,452,90,90,"ares_event_thread_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__htable_asvp_create(ares__htable_asvp_val_free_t) -> ares__htable_asvp_t *","ares__htable_asvp_val_free_t val_free","ares__htable_asvp_t *","ares__htable_asvp *"
"ares_event_thread_init","ares__thread_create","/src/c-ares/src/lib/ares_event_thread.c","/src/c-ares/src/lib/ares__threads.c",392,452,371,371,"ares_event_thread_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)","ares__thread_create(ares__thread_t **, ares__thread_func_t, void *) -> ares_status_t","ares__thread_t ** thread, ares__thread_func_t func, void * arg","ares_status_t","(unnamed enum)"
