"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_getaddrinfo_int","ares_strdup","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_str.c",546,648,46,46,"ares_getaddrinfo_int(ares_channel_t *, const char *, const char *, const ares_addrinfo_hints *, ares_addrinfo_callback, void *) -> void","ares_channel_t * channel, const char * name, const char * service, const ares_addrinfo_hints * hints, ares_addrinfo_callback callback, void * arg","void","void","ares_strdup(const char *) -> char *","const char * s1","char *","char *"
"ares_getaddrinfo_int","free","/src/c-ares/src/lib/ares_getaddrinfo.c","/usr/include/stdlib.h",546,648,565,565,"ares_getaddrinfo_int(ares_channel_t *, const char *, const char *, const ares_addrinfo_hints *, ares_addrinfo_callback, void *) -> void","ares_channel_t * channel, const char * name, const char * service, const ares_addrinfo_hints * hints, ares_addrinfo_callback callback, void * arg","void","void","free(void *) -> void","void * __ptr","void","void"
"ares_getaddrinfo_int","strtoul","/src/c-ares/src/lib/ares_getaddrinfo.c","/usr/include/stdlib.h",546,648,180,180,"ares_getaddrinfo_int(ares_channel_t *, const char *, const char *, const ares_addrinfo_hints *, ares_addrinfo_callback, void *) -> void","ares_channel_t * channel, const char * name, const char * service, const ares_addrinfo_hints * hints, ares_addrinfo_callback callback, void * arg","void","void","strtoul(const char *__restrict__, char **__restrict__, int) -> unsigned long","const char *__restrict__ __nptr, char **__restrict__ __endptr, int __base","unsigned long","unsigned long"
"ares_getaddrinfo_int","ares_freeaddrinfo","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_freeaddrinfo.c",546,648,60,60,"ares_getaddrinfo_int(ares_channel_t *, const char *, const char *, const ares_addrinfo_hints *, ares_addrinfo_callback, void *) -> void","ares_channel_t * channel, const char * name, const char * service, const ares_addrinfo_hints * hints, ares_addrinfo_callback callback, void * arg","void","void","ares_freeaddrinfo(ares_addrinfo *) -> void","ares_addrinfo * ai","void","void"
"ares_getaddrinfo_int","ares__dnsrec_convert_cb","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_search.c",546,648,387,387,"ares_getaddrinfo_int(ares_channel_t *, const char *, const char *, const ares_addrinfo_hints *, ares_addrinfo_callback, void *) -> void","ares_channel_t * channel, const char * name, const char * service, const ares_addrinfo_hints * hints, ares_addrinfo_callback callback, void * arg","void","void","ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_getaddrinfo_int","ares__search_name_list","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_search.c",546,648,183,183,"ares_getaddrinfo_int(ares_channel_t *, const char *, const char *, const ares_addrinfo_hints *, ares_addrinfo_callback, void *) -> void","ares_channel_t * channel, const char * name, const char * service, const ares_addrinfo_hints * hints, ares_addrinfo_callback callback, void * arg","void","void","ares__search_name_list(const ares_channel_t *, const char *, char ***, size_t *) -> ares_status_t","const ares_channel_t * channel, const char * name, char *** names, size_t * names_len","ares_status_t","(unnamed enum)"
"ares_getaddrinfo_int","ares_malloc_zero","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_library_init.c",546,648,77,77,"ares_getaddrinfo_int(ares_channel_t *, const char *, const char *, const ares_addrinfo_hints *, ares_addrinfo_callback, void *) -> void","ares_channel_t * channel, const char * name, const char * service, const ares_addrinfo_hints * hints, ares_addrinfo_callback callback, void * arg","void","void","ares_malloc_zero(size_t) -> void *","size_t size","void *","void *"
"ares_getaddrinfo_int","ares__is_onion_domain","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_getnameinfo.c",546,648,427,427,"ares_getaddrinfo_int(ares_channel_t *, const char *, const char *, const ares_addrinfo_hints *, ares_addrinfo_callback, void *) -> void","ares_channel_t * channel, const char * name, const char * service, const ares_addrinfo_hints * hints, ares_addrinfo_callback callback, void * arg","void","void","ares__is_onion_domain(const char *) -> ares_bool_t","const char * name","ares_bool_t","(unnamed enum)"
"ares_getaddrinfo_int","__errno_location","/src/c-ares/src/lib/ares_getaddrinfo.c","/usr/include/errno.h",546,648,37,37,"ares_getaddrinfo_int(ares_channel_t *, const char *, const char *, const ares_addrinfo_hints *, ares_addrinfo_callback, void *) -> void","ares_channel_t * channel, const char * name, const char * service, const ares_addrinfo_hints * hints, ares_addrinfo_callback callback, void * arg","void","void","__errno_location() -> int *","","int *","int *"
"ares_getaddrinfo_int","host_callback","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_getaddrinfo.c",546,648,490,490,"ares_getaddrinfo_int(ares_channel_t *, const char *, const char *, const ares_addrinfo_hints *, ares_addrinfo_callback, void *) -> void","ares_channel_t * channel, const char * name, const char * service, const ares_addrinfo_hints * hints, ares_addrinfo_callback callback, void * arg","void","void","host_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
