"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"end_hquery","ares_freeaddrinfo","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_freeaddrinfo.c",340,365,60,60,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","ares_freeaddrinfo(ares_addrinfo *) -> void","ares_addrinfo * ai","void","void"
"end_hquery","ares__sortaddrinfo","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares__sortaddrinfo.c",340,365,397,397,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","ares__sortaddrinfo(ares_channel_t *, ares_addrinfo_node *) -> ares_status_t","ares_channel_t * channel, ares_addrinfo_node * list_sentinel","ares_status_t","(unnamed enum)"
"end_hquery","ares__dnsrec_convert_cb","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_search.c",340,365,387,387,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"end_hquery","host_callback","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_getaddrinfo.c",340,365,490,490,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","host_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"end_hquery","hquery_free","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_getaddrinfo.c",340,365,328,328,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","hquery_free(host_query *, ares_bool_t) -> void","host_query * hquery, ares_bool_t cleanup_ai","void","void"
"end_hquery","addr_callback","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_gethostbyaddr.c",340,365,163,163,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","addr_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"end_hquery","ares_gethostbyname_callback","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_gethostbyname.c",340,365,66,66,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void"
"end_hquery","nameinfo_callback","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_getnameinfo.c",340,365,202,202,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void"
"end_hquery","ares_query_dnsrec_cb","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_query.c",340,365,45,45,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","ares_query_dnsrec_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"end_hquery","search_callback","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/lib/ares_search.c",340,365,109,109,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","search_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"end_hquery","callback","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/tools/adig.c",340,365,739,739,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void"
"end_hquery","ai_callback","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/tools/ahost.c",340,365,236,236,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","ai_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void"
"end_hquery","callback","/src/c-ares/src/lib/ares_getaddrinfo.c","/src/c-ares/src/tools/ahost.c",340,365,216,216,"end_hquery(host_query *, ares_status_t) -> void","host_query * hquery, ares_status_t status","void","void","callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void"
