"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_gethostbyaddr_int","memcpy","/src/c-ares/src/lib/ares_gethostbyaddr.c","/usr/include/string.h",74,112,43,43,"ares_gethostbyaddr_int(ares_channel_t *, const void *, int, int, ares_host_callback, void *) -> void","ares_channel_t * channel, const void * addr, int addrlen, int family, ares_host_callback callback, void * arg","void","void","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"ares_gethostbyaddr_int","ares_strdup","/src/c-ares/src/lib/ares_gethostbyaddr.c","/src/c-ares/src/lib/ares_str.c",74,112,46,46,"ares_gethostbyaddr_int(ares_channel_t *, const void *, int, int, ares_host_callback, void *) -> void","ares_channel_t * channel, const void * addr, int addrlen, int family, ares_host_callback callback, void * arg","void","void","ares_strdup(const char *) -> char *","const char * s1","char *","char *"
"ares_gethostbyaddr_int","free","/src/c-ares/src/lib/ares_gethostbyaddr.c","/usr/include/stdlib.h",74,112,565,565,"ares_gethostbyaddr_int(ares_channel_t *, const void *, int, int, ares_host_callback, void *) -> void","ares_channel_t * channel, const void * addr, int addrlen, int family, ares_host_callback callback, void * arg","void","void","free(void *) -> void","void * __ptr","void","void"
"ares_gethostbyaddr_int","malloc","/src/c-ares/src/lib/ares_gethostbyaddr.c","/usr/include/stdlib.h",74,112,539,539,"ares_gethostbyaddr_int(ares_channel_t *, const void *, int, int, ares_host_callback, void *) -> void","ares_channel_t * channel, const void * addr, int addrlen, int family, ares_host_callback callback, void * arg","void","void","malloc(size_t) -> void *","size_t __size","void *","void *"
"ares_gethostbyaddr_int","ares__dnsrec_convert_cb","/src/c-ares/src/lib/ares_gethostbyaddr.c","/src/c-ares/src/lib/ares_search.c",74,112,387,387,"ares_gethostbyaddr_int(ares_channel_t *, const void *, int, int, ares_host_callback, void *) -> void","ares_channel_t * channel, const void * addr, int addrlen, int family, ares_host_callback callback, void * arg","void","void","ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_gethostbyaddr_int","host_callback","/src/c-ares/src/lib/ares_gethostbyaddr.c","/src/c-ares/src/lib/ares_getaddrinfo.c",74,112,490,490,"ares_gethostbyaddr_int(ares_channel_t *, const void *, int, int, ares_host_callback, void *) -> void","ares_channel_t * channel, const void * addr, int addrlen, int family, ares_host_callback callback, void * arg","void","void","host_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_gethostbyaddr_int","addr_callback","/src/c-ares/src/lib/ares_gethostbyaddr.c","/src/c-ares/src/lib/ares_gethostbyaddr.c",74,112,163,163,"ares_gethostbyaddr_int(ares_channel_t *, const void *, int, int, ares_host_callback, void *) -> void","ares_channel_t * channel, const void * addr, int addrlen, int family, ares_host_callback callback, void * arg","void","void","addr_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_gethostbyaddr_int","next_lookup","/src/c-ares/src/lib/ares_gethostbyaddr.c","/src/c-ares/src/lib/ares_gethostbyaddr.c",74,112,125,125,"ares_gethostbyaddr_int(ares_channel_t *, const void *, int, int, ares_host_callback, void *) -> void","ares_channel_t * channel, const void * addr, int addrlen, int family, ares_host_callback callback, void * arg","void","void","next_lookup(addr_query *) -> void","addr_query * aquery","void","void"
"ares_gethostbyaddr_int","ares_gethostbyname_callback","/src/c-ares/src/lib/ares_gethostbyaddr.c","/src/c-ares/src/lib/ares_gethostbyname.c",74,112,66,66,"ares_gethostbyaddr_int(ares_channel_t *, const void *, int, int, ares_host_callback, void *) -> void","ares_channel_t * channel, const void * addr, int addrlen, int family, ares_host_callback callback, void * arg","void","void","ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void"
"ares_gethostbyaddr_int","nameinfo_callback","/src/c-ares/src/lib/ares_gethostbyaddr.c","/src/c-ares/src/lib/ares_getnameinfo.c",74,112,202,202,"ares_gethostbyaddr_int(ares_channel_t *, const void *, int, int, ares_host_callback, void *) -> void","ares_channel_t * channel, const void * addr, int addrlen, int family, ares_host_callback callback, void * arg","void","void","nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void"
