"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_gethostbyname_callback","ares__addrinfo2hostent","/src/c-ares/src/lib/ares_gethostbyname.c","/src/c-ares/src/lib/ares__addrinfo2hostent.c",68,100,57,57,"ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void","ares__addrinfo2hostent(const ares_addrinfo *, int, hostent **) -> ares_status_t","const ares_addrinfo * ai, int family, hostent ** host","ares_status_t","(unnamed enum)"
"ares_gethostbyname_callback","ares_free_hostent","/src/c-ares/src/lib/ares_gethostbyname.c","/src/c-ares/src/lib/ares_free_hostent.c",68,100,37,37,"ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void","ares_free_hostent(hostent *) -> void","hostent * host","void","void"
"ares_gethostbyname_callback","free","/src/c-ares/src/lib/ares_gethostbyname.c","/usr/include/stdlib.h",68,100,565,565,"ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void","free(void *) -> void","void * __ptr","void","void"
"ares_gethostbyname_callback","ares_freeaddrinfo","/src/c-ares/src/lib/ares_gethostbyname.c","/src/c-ares/src/lib/ares_freeaddrinfo.c",68,100,60,60,"ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void","ares_freeaddrinfo(ares_addrinfo *) -> void","ares_addrinfo * ai","void","void"
"ares_gethostbyname_callback","ares__dnsrec_convert_cb","/src/c-ares/src/lib/ares_gethostbyname.c","/src/c-ares/src/lib/ares_search.c",68,100,387,387,"ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void","ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_gethostbyname_callback","host_callback","/src/c-ares/src/lib/ares_gethostbyname.c","/src/c-ares/src/lib/ares_getaddrinfo.c",68,100,490,490,"ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void","host_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_gethostbyname_callback","addr_callback","/src/c-ares/src/lib/ares_gethostbyname.c","/src/c-ares/src/lib/ares_gethostbyaddr.c",68,100,163,163,"ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void","addr_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_gethostbyname_callback","sort6_addresses","/src/c-ares/src/lib/ares_gethostbyname.c","/src/c-ares/src/lib/ares_gethostbyname.c",68,100,184,184,"ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void","sort6_addresses(const hostent *, const apattern *, size_t) -> void","const hostent * host, const apattern * sortlist, size_t nsort","void","void"
"ares_gethostbyname_callback","sort_addresses","/src/c-ares/src/lib/ares_gethostbyname.c","/src/c-ares/src/lib/ares_gethostbyname.c",68,100,128,128,"ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void","sort_addresses(const hostent *, const apattern *, size_t) -> void","const hostent * host, const apattern * sortlist, size_t nsort","void","void"
"ares_gethostbyname_callback","ares_gethostbyname_callback","/src/c-ares/src/lib/ares_gethostbyname.c","/src/c-ares/src/lib/ares_gethostbyname.c",68,100,66,66,"ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void","ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void"
