"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"nameinfo_callback","free","/src/c-ares/src/lib/ares_getnameinfo.c","/usr/include/stdlib.h",204,272,565,565,"nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","free(void *) -> void","void * __ptr","void","void"
"nameinfo_callback","strchr","/src/c-ares/src/lib/ares_getnameinfo.c","/usr/include/string.h",204,272,226,226,"nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","strchr(const char *, int) -> char *","const char * __s, int __c","char *","char *"
"nameinfo_callback","gethostname","/src/c-ares/src/lib/ares_getnameinfo.c","/usr/include/unistd.h",204,272,877,877,"nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","gethostname(char *, size_t) -> int","char * __name, size_t __len","int","int"
"nameinfo_callback","ares_inet_ntop","/src/c-ares/src/lib/ares_getnameinfo.c","/src/c-ares/src/lib/inet_ntop.c",204,272,209,209,"nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","ares_inet_ntop(int, const void *, char *, ares_socklen_t) -> const char *","int af, const void * src, char * dst, ares_socklen_t size","const char *","char *"
"nameinfo_callback","ares__dnsrec_convert_cb","/src/c-ares/src/lib/ares_getnameinfo.c","/src/c-ares/src/lib/ares_search.c",204,272,387,387,"nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"nameinfo_callback","host_callback","/src/c-ares/src/lib/ares_getnameinfo.c","/src/c-ares/src/lib/ares_getaddrinfo.c",204,272,490,490,"nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","host_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"nameinfo_callback","addr_callback","/src/c-ares/src/lib/ares_getnameinfo.c","/src/c-ares/src/lib/ares_gethostbyaddr.c",204,272,163,163,"nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","addr_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"nameinfo_callback","ares_gethostbyname_callback","/src/c-ares/src/lib/ares_getnameinfo.c","/src/c-ares/src/lib/ares_gethostbyname.c",204,272,66,66,"nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void"
"nameinfo_callback","ares_striendstr","/src/c-ares/src/lib/ares_getnameinfo.c","/src/c-ares/src/lib/ares_getnameinfo.c",204,272,390,390,"nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","ares_striendstr(const char *, const char *) -> char *","const char * s1, const char * s2","char *","char *"
"nameinfo_callback","append_scopeid","/src/c-ares/src/lib/ares_getnameinfo.c","/src/c-ares/src/lib/ares_getnameinfo.c",204,272,350,350,"nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","append_scopeid(const sockaddr_in6 *, unsigned int, char *, size_t) -> void","const sockaddr_in6 * addr6, unsigned int flags, char * buf, size_t buflen","void","void"
