"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_getsock","ares__channel_unlock","/src/c-ares/src/lib/ares_getsock.c","/src/c-ares/src/lib/ares__threads.c",34,88,545,545,"ares_getsock(ares_channel_t *, ares_socket_t *, int) -> int","ares_channel_t * channel, ares_socket_t * socks, int numsocks","int","int","ares__channel_unlock(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares_getsock","ares__channel_lock","/src/c-ares/src/lib/ares_getsock.c","/src/c-ares/src/lib/ares__threads.c",34,88,540,540,"ares_getsock(ares_channel_t *, ares_socket_t *, int) -> int","ares_channel_t * channel, ares_socket_t * socks, int numsocks","int","int","ares__channel_lock(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares_getsock","ares__buf_len","/src/c-ares/src/lib/ares_getsock.c","/src/c-ares/src/lib/ares__buf.c",34,88,908,908,"ares_getsock(ares_channel_t *, ares_socket_t *, int) -> int","ares_channel_t * channel, ares_socket_t * socks, int numsocks","int","int","ares__buf_len(const ares__buf_t *) -> size_t","const ares__buf_t * buf","size_t","unsigned long"
"ares_getsock","ares__llist_len","/src/c-ares/src/lib/ares_getsock.c","/src/c-ares/src/lib/ares__llist.c",34,88,222,222,"ares_getsock(ares_channel_t *, ares_socket_t *, int) -> int","ares_channel_t * channel, ares_socket_t * socks, int numsocks","int","int","ares__llist_len(const ares__llist_t *) -> size_t","const ares__llist_t * list","size_t","unsigned long"
"ares_getsock","ares__llist_node_val","/src/c-ares/src/lib/ares_getsock.c","/src/c-ares/src/lib/ares__llist.c",34,88,213,213,"ares_getsock(ares_channel_t *, ares_socket_t *, int) -> int","ares_channel_t * channel, ares_socket_t * socks, int numsocks","int","int","ares__llist_node_val(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
"ares_getsock","ares__llist_node_first","/src/c-ares/src/lib/ares_getsock.c","/src/c-ares/src/lib/ares__llist.c",34,88,181,181,"ares_getsock(ares_channel_t *, ares_socket_t *, int) -> int","ares_channel_t * channel, ares_socket_t * socks, int numsocks","int","int","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_getsock","ares__llist_node_first","/src/c-ares/src/lib/ares_getsock.c","/src/c-ares/src/lib/ares__llist.c",34,88,181,181,"ares_getsock(ares_channel_t *, ares_socket_t *, int) -> int","ares_channel_t * channel, ares_socket_t * socks, int numsocks","int","int","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_getsock","ares__llist_node_first","/src/c-ares/src/lib/ares_getsock.c","/src/c-ares/src/lib/ares__llist.c",34,88,181,181,"ares_getsock(ares_channel_t *, ares_socket_t *, int) -> int","ares_channel_t * channel, ares_socket_t * socks, int numsocks","int","int","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_getsock","ares__llist_node_first","/src/c-ares/src/lib/ares_getsock.c","/src/c-ares/src/lib/ares__llist.c",34,88,181,181,"ares_getsock(ares_channel_t *, ares_socket_t *, int) -> int","ares_channel_t * channel, ares_socket_t * socks, int numsocks","int","int","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares_getsock","ares__llist_node_next","/src/c-ares/src/lib/ares_getsock.c","/src/c-ares/src/lib/ares__llist.c",34,88,197,197,"ares_getsock(ares_channel_t *, ares_socket_t *, int) -> int","ares_channel_t * channel, ares_socket_t * socks, int numsocks","int","int","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
