"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_init_options","ares_destroy","/src/c-ares/src/lib/ares_init.c","/src/c-ares/src/lib/ares_destroy.c",269,390,35,35,"ares_init_options(ares_channel_t **, const ares_options *, int) -> int","ares_channel_t ** channelptr, const ares_options * options, int optmask","int","int","ares_destroy(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares_init_options","ares_library_initialized","/src/c-ares/src/lib/ares_init.c","/src/c-ares/src/lib/ares_library_init.c",269,390,154,154,"ares_init_options(ares_channel_t **, const ares_options *, int) -> int","ares_channel_t ** channelptr, const ares_options * options, int optmask","int","int","ares_library_initialized() -> int","","int","int"
"ares_init_options","ares_event_thread_init","/src/c-ares/src/lib/ares_init.c","/src/c-ares/src/lib/ares_event_thread.c",269,390,391,391,"ares_init_options(ares_channel_t **, const ares_options *, int) -> int","ares_channel_t ** channelptr, const ares_options * options, int optmask","int","int","ares_event_thread_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)"
"ares_init_options","ares__channel_threading_init","/src/c-ares/src/lib/ares_init.c","/src/c-ares/src/lib/ares__threads.c",269,390,504,504,"ares_init_options(ares_channel_t **, const ares_options *, int) -> int","ares_channel_t ** channelptr, const ares_options * options, int optmask","int","int","ares__channel_threading_init(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)"
"ares_init_options","ares__qcache_create","/src/c-ares/src/lib/ares_init.c","/src/c-ares/src/lib/ares_qcache.c",269,390,205,205,"ares_init_options(ares_channel_t **, const ares_options *, int) -> int","ares_channel_t ** channelptr, const ares_options * options, int optmask","int","int","ares__qcache_create(ares_rand_state *, unsigned int, ares__qcache_t **) -> ares_status_t","ares_rand_state * rand_state, unsigned int max_ttl, ares__qcache_t ** cache_out","ares_status_t","(unnamed enum)"
"ares_init_options","ares__init_by_sysconfig","/src/c-ares/src/lib/ares_init.c","/src/c-ares/src/lib/ares_sysconfig.c",269,390,1070,1070,"ares_init_options(ares_channel_t **, const ares_options *, int) -> int","ares_channel_t ** channelptr, const ares_options * options, int optmask","int","int","ares__init_by_sysconfig(ares_channel_t *) -> ares_status_t","ares_channel_t * channel","ares_status_t","(unnamed enum)"
"ares_init_options","ares__init_by_options","/src/c-ares/src/lib/ares_init.c","/src/c-ares/src/lib/ares_options.c",269,390,256,256,"ares_init_options(ares_channel_t **, const ares_options *, int) -> int","ares_channel_t ** channelptr, const ares_options * options, int optmask","int","int","ares__init_by_options(ares_channel_t *, const ares_options *, int) -> ares_status_t","ares_channel_t * channel, const ares_options * options, int optmask","ares_status_t","(unnamed enum)"
"ares_init_options","ares__init_rand_state","/src/c-ares/src/lib/ares_init.c","/src/c-ares/src/lib/ares_rand.c",269,390,208,208,"ares_init_options(ares_channel_t **, const ares_options *, int) -> int","ares_channel_t ** channelptr, const ares_options * options, int optmask","int","int","ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *"
"ares_init_options","ares__init_rand_state","/src/c-ares/src/lib/ares_init.c","/src/c-ares/src/lib/ares_rand.c",269,390,208,208,"ares_init_options(ares_channel_t **, const ares_options *, int) -> int","ares_channel_t ** channelptr, const ares_options * options, int optmask","int","int","ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *"
"ares_init_options","ares__init_rand_state","/src/c-ares/src/lib/ares_init.c","/src/c-ares/src/lib/ares_rand.c",269,390,208,208,"ares_init_options(ares_channel_t **, const ares_options *, int) -> int","ares_channel_t ** channelptr, const ares_options * options, int optmask","int","int","ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *"
