"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_parse_ns_reply","memset","/src/c-ares/src/lib/ares_parse_ns_reply.c","/usr/include/string.h",44,157,61,61,"ares_parse_ns_reply(const unsigned char *, int, hostent **) -> int","const unsigned char * abuf, int alen_int, hostent ** host","int","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"ares_parse_ns_reply","ares_strdup","/src/c-ares/src/lib/ares_parse_ns_reply.c","/src/c-ares/src/lib/ares_str.c",44,157,46,46,"ares_parse_ns_reply(const unsigned char *, int, hostent **) -> int","const unsigned char * abuf, int alen_int, hostent ** host","int","int","ares_strdup(const char *) -> char *","const char * s1","char *","char *"
"ares_parse_ns_reply","ares_free_hostent","/src/c-ares/src/lib/ares_parse_ns_reply.c","/src/c-ares/src/lib/ares_free_hostent.c",44,157,37,37,"ares_parse_ns_reply(const unsigned char *, int, hostent **) -> int","const unsigned char * abuf, int alen_int, hostent ** host","int","int","ares_free_hostent(hostent *) -> void","hostent * host","void","void"
"ares_parse_ns_reply","malloc","/src/c-ares/src/lib/ares_parse_ns_reply.c","/usr/include/stdlib.h",44,157,539,539,"ares_parse_ns_reply(const unsigned char *, int, hostent **) -> int","const unsigned char * abuf, int alen_int, hostent ** host","int","int","malloc(size_t) -> void *","size_t __size","void *","void *"
"ares_parse_ns_reply","ares_dns_parse","/src/c-ares/src/lib/ares_parse_ns_reply.c","/src/c-ares/src/lib/ares_dns_parse.c",44,157,1236,1236,"ares_parse_ns_reply(const unsigned char *, int, hostent **) -> int","const unsigned char * abuf, int alen_int, hostent ** host","int","int","ares_dns_parse(const unsigned char *, size_t, unsigned int, ares_dns_record_t **) -> ares_status_t","const unsigned char * buf, size_t buf_len, unsigned int flags, ares_dns_record_t ** dnsrec","ares_status_t","(unnamed enum)"
"ares_parse_ns_reply","ares_dns_rr_get_str","/src/c-ares/src/lib/ares_parse_ns_reply.c","/src/c-ares/src/lib/ares_dns_record.c",44,157,870,870,"ares_parse_ns_reply(const unsigned char *, int, hostent **) -> int","const unsigned char * abuf, int alen_int, hostent ** host","int","int","ares_dns_rr_get_str(const ares_dns_rr_t *, ares_dns_rr_key_t) -> const char *","const ares_dns_rr_t * dns_rr, ares_dns_rr_key_t key","const char *","char *"
"ares_parse_ns_reply","ares_dns_rr_get_class","/src/c-ares/src/lib/ares_parse_ns_reply.c","/src/c-ares/src/lib/ares_dns_record.c",44,157,558,558,"ares_parse_ns_reply(const unsigned char *, int, hostent **) -> int","const unsigned char * abuf, int alen_int, hostent ** host","int","int","ares_dns_rr_get_class(const ares_dns_rr_t *) -> ares_dns_class_t","const ares_dns_rr_t * rr","ares_dns_class_t","(unnamed enum)"
"ares_parse_ns_reply","ares_dns_rr_get_type","/src/c-ares/src/lib/ares_parse_ns_reply.c","/src/c-ares/src/lib/ares_dns_record.c",44,157,550,550,"ares_parse_ns_reply(const unsigned char *, int, hostent **) -> int","const unsigned char * abuf, int alen_int, hostent ** host","int","int","ares_dns_rr_get_type(const ares_dns_rr_t *) -> ares_dns_rec_type_t","const ares_dns_rr_t * rr","ares_dns_rec_type_t","(unnamed enum)"
"ares_parse_ns_reply","ares_dns_record_rr_get","/src/c-ares/src/lib/ares_parse_ns_reply.c","/src/c-ares/src/lib/ares_dns_record.c",44,157,503,503,"ares_parse_ns_reply(const unsigned char *, int, hostent **) -> int","const unsigned char * abuf, int alen_int, hostent ** host","int","int","ares_dns_record_rr_get(ares_dns_record_t *, ares_dns_section_t, size_t) -> ares_dns_rr_t *","ares_dns_record_t * dnsrec, ares_dns_section_t sect, size_t idx","ares_dns_rr_t *","ares_dns_rr *"
"ares_parse_ns_reply","ares_dns_record_rr_get","/src/c-ares/src/lib/ares_parse_ns_reply.c","/src/c-ares/src/lib/ares_dns_record.c",44,157,503,503,"ares_parse_ns_reply(const unsigned char *, int, hostent **) -> int","const unsigned char * abuf, int alen_int, hostent ** host","int","int","ares_dns_record_rr_get(ares_dns_record_t *, ares_dns_section_t, size_t) -> ares_dns_rr_t *","ares_dns_record_t * dnsrec, ares_dns_section_t sect, size_t idx","ares_dns_rr_t *","ares_dns_rr *"
