"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_parse_srv_reply","ares_strdup","/src/c-ares/src/lib/ares_parse_srv_reply.c","/src/c-ares/src/lib/ares_str.c",34,116,46,46,"ares_parse_srv_reply(const unsigned char *, int, ares_srv_reply **) -> int","const unsigned char * abuf, int alen_int, ares_srv_reply ** srv_out","int","int","ares_strdup(const char *) -> char *","const char * s1","char *","char *"
"ares_parse_srv_reply","ares_free_data","/src/c-ares/src/lib/ares_parse_srv_reply.c","/src/c-ares/src/lib/ares_data.c",34,116,50,50,"ares_parse_srv_reply(const unsigned char *, int, ares_srv_reply **) -> int","const unsigned char * abuf, int alen_int, ares_srv_reply ** srv_out","int","int","ares_free_data(void *) -> void","void * dataptr","void","void"
"ares_parse_srv_reply","ares_dns_parse","/src/c-ares/src/lib/ares_parse_srv_reply.c","/src/c-ares/src/lib/ares_dns_parse.c",34,116,1236,1236,"ares_parse_srv_reply(const unsigned char *, int, ares_srv_reply **) -> int","const unsigned char * abuf, int alen_int, ares_srv_reply ** srv_out","int","int","ares_dns_parse(const unsigned char *, size_t, unsigned int, ares_dns_record_t **) -> ares_status_t","const unsigned char * buf, size_t buf_len, unsigned int flags, ares_dns_record_t ** dnsrec","ares_status_t","(unnamed enum)"
"ares_parse_srv_reply","ares_dns_rr_get_u16","/src/c-ares/src/lib/ares_parse_srv_reply.c","/src/c-ares/src/lib/ares_dns_record.c",34,116,809,809,"ares_parse_srv_reply(const unsigned char *, int, ares_srv_reply **) -> int","const unsigned char * abuf, int alen_int, ares_srv_reply ** srv_out","int","int","ares_dns_rr_get_u16(const ares_dns_rr_t *, ares_dns_rr_key_t) -> unsigned short","const ares_dns_rr_t * dns_rr, ares_dns_rr_key_t key","unsigned short","unsigned short"
"ares_parse_srv_reply","ares_dns_rr_get_str","/src/c-ares/src/lib/ares_parse_srv_reply.c","/src/c-ares/src/lib/ares_dns_record.c",34,116,870,870,"ares_parse_srv_reply(const unsigned char *, int, ares_srv_reply **) -> int","const unsigned char * abuf, int alen_int, ares_srv_reply ** srv_out","int","int","ares_dns_rr_get_str(const ares_dns_rr_t *, ares_dns_rr_key_t) -> const char *","const ares_dns_rr_t * dns_rr, ares_dns_rr_key_t key","const char *","char *"
"ares_parse_srv_reply","ares_dns_rr_get_class","/src/c-ares/src/lib/ares_parse_srv_reply.c","/src/c-ares/src/lib/ares_dns_record.c",34,116,558,558,"ares_parse_srv_reply(const unsigned char *, int, ares_srv_reply **) -> int","const unsigned char * abuf, int alen_int, ares_srv_reply ** srv_out","int","int","ares_dns_rr_get_class(const ares_dns_rr_t *) -> ares_dns_class_t","const ares_dns_rr_t * rr","ares_dns_class_t","(unnamed enum)"
"ares_parse_srv_reply","ares_dns_rr_get_type","/src/c-ares/src/lib/ares_parse_srv_reply.c","/src/c-ares/src/lib/ares_dns_record.c",34,116,550,550,"ares_parse_srv_reply(const unsigned char *, int, ares_srv_reply **) -> int","const unsigned char * abuf, int alen_int, ares_srv_reply ** srv_out","int","int","ares_dns_rr_get_type(const ares_dns_rr_t *) -> ares_dns_rec_type_t","const ares_dns_rr_t * rr","ares_dns_rec_type_t","(unnamed enum)"
"ares_parse_srv_reply","ares_dns_record_rr_get","/src/c-ares/src/lib/ares_parse_srv_reply.c","/src/c-ares/src/lib/ares_dns_record.c",34,116,503,503,"ares_parse_srv_reply(const unsigned char *, int, ares_srv_reply **) -> int","const unsigned char * abuf, int alen_int, ares_srv_reply ** srv_out","int","int","ares_dns_record_rr_get(ares_dns_record_t *, ares_dns_section_t, size_t) -> ares_dns_rr_t *","ares_dns_record_t * dnsrec, ares_dns_section_t sect, size_t idx","ares_dns_rr_t *","ares_dns_rr *"
"ares_parse_srv_reply","ares_dns_record_rr_get","/src/c-ares/src/lib/ares_parse_srv_reply.c","/src/c-ares/src/lib/ares_dns_record.c",34,116,503,503,"ares_parse_srv_reply(const unsigned char *, int, ares_srv_reply **) -> int","const unsigned char * abuf, int alen_int, ares_srv_reply ** srv_out","int","int","ares_dns_record_rr_get(ares_dns_record_t *, ares_dns_section_t, size_t) -> ares_dns_rr_t *","ares_dns_record_t * dnsrec, ares_dns_section_t sect, size_t idx","ares_dns_rr_t *","ares_dns_rr *"
"ares_parse_srv_reply","ares_dns_record_rr_get","/src/c-ares/src/lib/ares_parse_srv_reply.c","/src/c-ares/src/lib/ares_dns_record.c",34,116,503,503,"ares_parse_srv_reply(const unsigned char *, int, ares_srv_reply **) -> int","const unsigned char * abuf, int alen_int, ares_srv_reply ** srv_out","int","int","ares_dns_record_rr_get(ares_dns_record_t *, ares_dns_section_t, size_t) -> ares_dns_rr_t *","ares_dns_record_t * dnsrec, ares_dns_section_t sect, size_t idx","ares_dns_rr_t *","ares_dns_rr *"
