"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__send_query","ares__socket_write","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__socket.c",881,1046,438,438,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__socket_write(ares_channel_t *, ares_socket_t, const void *, size_t) -> ares_ssize_t","ares_channel_t * channel, ares_socket_t s, const void * data, size_t len","ares_ssize_t","long"
"ares__send_query","ares__open_connection","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__socket.c",881,1046,240,240,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__open_connection(ares_channel_t *, server_state *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, server_state * server, ares_bool_t is_tcp","ares_status_t","(unnamed enum)"
"ares__send_query","ares__close_connection","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__close_sockets.c",881,1046,44,44,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__close_connection(server_connection *) -> void","server_connection * conn","void","void"
"ares__send_query","ares__requeue_query","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares_process.c",881,1046,765,765,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__requeue_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)"
"ares__send_query","ares__buf_len","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__buf.c",881,1046,908,908,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__buf_len(const ares__buf_t *) -> size_t","const ares__buf_t * buf","size_t","unsigned long"
"ares__send_query","ares__llist_insert_last","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__llist.c",881,1046,150,150,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__llist_insert_last(ares__llist_t *, void *) -> ares__llist_node_t *","ares__llist_t * list, void * val","ares__llist_node_t *","ares__llist_node *"
"ares__send_query","ares__llist_insert_last","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__llist.c",881,1046,150,150,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__llist_insert_last(ares__llist_t *, void *) -> ares__llist_node_t *","ares__llist_t * list, void * val","ares__llist_node_t *","ares__llist_node *"
"ares__send_query","ares__llist_insert_last","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__llist.c",881,1046,150,150,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__llist_insert_last(ares__llist_t *, void *) -> ares__llist_node_t *","ares__llist_t * list, void * val","ares__llist_node_t *","ares__llist_node *"
"ares__send_query","ares__llist_insert_last","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__llist.c",881,1046,150,150,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__llist_insert_last(ares__llist_t *, void *) -> ares__llist_node_t *","ares__llist_t * list, void * val","ares__llist_node_t *","ares__llist_node *"
"ares__send_query","ares__llist_node_val","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__llist.c",881,1046,213,213,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__llist_node_val(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
"ares__send_query","ares__llist_node_first","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__llist.c",881,1046,181,181,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__send_query","ares__llist_node_first","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__llist.c",881,1046,181,181,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__send_query","ares__llist_node_first","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__llist.c",881,1046,181,181,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__send_query","ares__llist_node_first","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__llist.c",881,1046,181,181,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__send_query","ares__llist_node_destroy","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__llist.c",881,1046,293,293,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__llist_node_destroy(ares__llist_node_t *) -> void","ares__llist_node_t * node","void","void"
"ares__send_query","ares__slist_node_destroy","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",881,1046,448,448,"ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)","ares__slist_node_destroy(ares__slist_node_t *) -> void","ares__slist_node_t * node","void","void"
