"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"end_query","free","/src/c-ares/src/lib/ares_process.c","/usr/include/stdlib.h",1132,1143,565,565,"end_query(ares_channel_t *, query *, ares_status_t, const ares_dns_record_t *) -> void","ares_channel_t * channel, query * query, ares_status_t status, const ares_dns_record_t * dnsrec","void","void","free(void *) -> void","void * __ptr","void","void"
"end_query","ares_queue_notify_empty","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__threads.c",1132,1143,594,594,"end_query(ares_channel_t *, query *, ares_status_t, const ares_dns_record_t *) -> void","ares_channel_t * channel, query * query, ares_status_t status, const ares_dns_record_t * dnsrec","void","void","ares_queue_notify_empty(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"end_query","ares__free_query","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares_process.c",1132,1143,1145,1145,"end_query(ares_channel_t *, query *, ares_status_t, const ares_dns_record_t *) -> void","ares_channel_t * channel, query * query, ares_status_t status, const ares_dns_record_t * dnsrec","void","void","ares__free_query(query *) -> void","query * query","void","void"
"end_query","ares__dnsrec_convert_cb","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares_search.c",1132,1143,387,387,"end_query(ares_channel_t *, query *, ares_status_t, const ares_dns_record_t *) -> void","ares_channel_t * channel, query * query, ares_status_t status, const ares_dns_record_t * dnsrec","void","void","ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"end_query","host_callback","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares_getaddrinfo.c",1132,1143,490,490,"end_query(ares_channel_t *, query *, ares_status_t, const ares_dns_record_t *) -> void","ares_channel_t * channel, query * query, ares_status_t status, const ares_dns_record_t * dnsrec","void","void","host_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"end_query","addr_callback","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares_gethostbyaddr.c",1132,1143,163,163,"end_query(ares_channel_t *, query *, ares_status_t, const ares_dns_record_t *) -> void","ares_channel_t * channel, query * query, ares_status_t status, const ares_dns_record_t * dnsrec","void","void","addr_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"end_query","ares_gethostbyname_callback","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares_gethostbyname.c",1132,1143,66,66,"end_query(ares_channel_t *, query *, ares_status_t, const ares_dns_record_t *) -> void","ares_channel_t * channel, query * query, ares_status_t status, const ares_dns_record_t * dnsrec","void","void","ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void"
"end_query","nameinfo_callback","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares_getnameinfo.c",1132,1143,202,202,"end_query(ares_channel_t *, query *, ares_status_t, const ares_dns_record_t *) -> void","ares_channel_t * channel, query * query, ares_status_t status, const ares_dns_record_t * dnsrec","void","void","nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void"
"end_query","ares_query_dnsrec_cb","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares_query.c",1132,1143,45,45,"end_query(ares_channel_t *, query *, ares_status_t, const ares_dns_record_t *) -> void","ares_channel_t * channel, query * query, ares_status_t status, const ares_dns_record_t * dnsrec","void","void","ares_query_dnsrec_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"end_query","search_callback","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares_search.c",1132,1143,109,109,"end_query(ares_channel_t *, query *, ares_status_t, const ares_dns_record_t *) -> void","ares_channel_t * channel, query * query, ares_status_t status, const ares_dns_record_t * dnsrec","void","void","search_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"end_query","callback","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/tools/adig.c",1132,1143,739,739,"end_query(ares_channel_t *, query *, ares_status_t, const ares_dns_record_t *) -> void","ares_channel_t * channel, query * query, ares_status_t status, const ares_dns_record_t * dnsrec","void","void","callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void"
