"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"process_timeouts","ares__check_cleanup_conn","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__close_sockets.c",546,570,82,82,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","ares__check_cleanup_conn(const ares_channel_t *, server_connection *) -> void","const ares_channel_t * channel, server_connection * conn","void","void"
"process_timeouts","ares__requeue_query","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares_process.c",546,570,765,765,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","ares__requeue_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)"
"process_timeouts","ares__timedout","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares_process.c",546,570,105,105,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","ares__timedout(const timeval *, const timeval *) -> ares_bool_t","const timeval * now, const timeval * check","ares_bool_t","(unnamed enum)"
"process_timeouts","ares__slist_node_val","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",546,570,413,413,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","ares__slist_node_val(ares__slist_node_t *) -> void *","ares__slist_node_t * node","void *","void *"
"process_timeouts","ares__slist_node_next","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",546,570,397,397,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","ares__slist_node_next(ares__slist_node_t *) -> ares__slist_node_t *","ares__slist_node_t * node","ares__slist_node_t *","ares__slist_node *"
"process_timeouts","ares__slist_node_next","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",546,570,397,397,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","ares__slist_node_next(ares__slist_node_t *) -> ares__slist_node_t *","ares__slist_node_t * node","ares__slist_node_t *","ares__slist_node *"
"process_timeouts","ares__slist_node_next","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",546,570,397,397,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","ares__slist_node_next(ares__slist_node_t *) -> ares__slist_node_t *","ares__slist_node_t * node","ares__slist_node_t *","ares__slist_node *"
"process_timeouts","ares__slist_node_next","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",546,570,397,397,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","ares__slist_node_next(ares__slist_node_t *) -> ares__slist_node_t *","ares__slist_node_t * node","ares__slist_node_t *","ares__slist_node *"
"process_timeouts","ares__slist_node_first","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",546,570,380,380,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","ares__slist_node_first(ares__slist_t *) -> ares__slist_node_t *","ares__slist_t * list","ares__slist_node_t *","ares__slist_node *"
"process_timeouts","ares__slist_node_first","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",546,570,380,380,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","ares__slist_node_first(ares__slist_t *) -> ares__slist_node_t *","ares__slist_t * list","ares__slist_node_t *","ares__slist_node *"
"process_timeouts","ares__slist_node_first","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",546,570,380,380,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","ares__slist_node_first(ares__slist_t *) -> ares__slist_node_t *","ares__slist_t * list","ares__slist_node_t *","ares__slist_node *"
"process_timeouts","ares__slist_node_first","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",546,570,380,380,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","ares__slist_node_first(ares__slist_t *) -> ares__slist_node_t *","ares__slist_t * list","ares__slist_node_t *","ares__slist_node *"
"process_timeouts","server_increment_failures","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares_process.c",546,570,73,73,"process_timeouts(ares_channel_t *, timeval *) -> void","ares_channel_t * channel, timeval * now","void","void","server_increment_failures(server_state *) -> void","server_state * server","void","void"
