"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"write_tcp_data","ares__socket_write","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__socket.c",211,268,438,438,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","ares__socket_write(ares_channel_t *, ares_socket_t, const void *, size_t) -> ares_ssize_t","ares_channel_t * channel, ares_socket_t s, const void * data, size_t len","ares_ssize_t","long"
"write_tcp_data","ares__buf_peek","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__buf.c",211,268,917,917,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","ares__buf_peek(const ares__buf_t *, size_t *) -> const unsigned char *","const ares__buf_t * buf, size_t * len","const unsigned char *","unsigned char *"
"write_tcp_data","ares__buf_len","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__buf.c",211,268,908,908,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","ares__buf_len(const ares__buf_t *) -> size_t","const ares__buf_t * buf","size_t","unsigned long"
"write_tcp_data","ares__buf_consume","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__buf.c",211,268,471,471,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","ares__buf_consume(ares__buf_t *, size_t) -> ares_status_t","ares__buf_t * buf, size_t len","ares_status_t","(unnamed enum)"
"write_tcp_data","__errno_location","/src/c-ares/src/lib/ares_process.c","/usr/include/errno.h",211,268,37,37,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","__errno_location() -> int *","","int *","int *"
"write_tcp_data","ares__slist_node_val","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",211,268,413,413,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","ares__slist_node_val(ares__slist_node_t *) -> void *","ares__slist_node_t * node","void *","void *"
"write_tcp_data","ares__slist_node_next","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",211,268,397,397,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","ares__slist_node_next(ares__slist_node_t *) -> ares__slist_node_t *","ares__slist_node_t * node","ares__slist_node_t *","ares__slist_node *"
"write_tcp_data","ares__slist_node_next","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",211,268,397,397,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","ares__slist_node_next(ares__slist_node_t *) -> ares__slist_node_t *","ares__slist_node_t * node","ares__slist_node_t *","ares__slist_node *"
"write_tcp_data","ares__slist_node_next","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",211,268,397,397,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","ares__slist_node_next(ares__slist_node_t *) -> ares__slist_node_t *","ares__slist_node_t * node","ares__slist_node_t *","ares__slist_node *"
"write_tcp_data","ares__slist_node_next","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",211,268,397,397,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","ares__slist_node_next(ares__slist_node_t *) -> ares__slist_node_t *","ares__slist_node_t * node","ares__slist_node_t *","ares__slist_node *"
"write_tcp_data","ares__slist_node_first","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",211,268,380,380,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","ares__slist_node_first(ares__slist_t *) -> ares__slist_node_t *","ares__slist_t * list","ares__slist_node_t *","ares__slist_node *"
"write_tcp_data","ares__slist_node_first","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",211,268,380,380,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","ares__slist_node_first(ares__slist_t *) -> ares__slist_node_t *","ares__slist_t * list","ares__slist_node_t *","ares__slist_node *"
"write_tcp_data","ares__slist_node_first","/src/c-ares/src/lib/ares_process.c","/src/c-ares/src/lib/ares__slist.c",211,268,380,380,"write_tcp_data(ares_channel_t *, fd_set *, ares_socket_t) -> void","ares_channel_t * channel, fd_set * write_fds, ares_socket_t write_fd","void","void","ares__slist_node_first(ares__slist_t *) -> ares__slist_node_t *","ares__slist_t * list","ares__slist_node_t *","ares__slist_node *"
