"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__init_rand_state","free","/src/c-ares/src/lib/ares_rand.c","/usr/include/stdlib.h",209,223,565,565,"ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *","free(void *) -> void","void * __ptr","void","void"
"ares__init_rand_state","free","/src/c-ares/src/lib/ares_rand.c","/usr/include/stdlib.h",209,223,565,565,"ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *","free(void *) -> void","void * __ptr","void","void"
"ares__init_rand_state","free","/src/c-ares/src/lib/ares_rand.c","/usr/include/stdlib.h",209,223,565,565,"ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *","free(void *) -> void","void * __ptr","void","void"
"ares__init_rand_state","free","/src/c-ares/src/lib/ares_rand.c","/usr/include/stdlib.h",209,223,565,565,"ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *","free(void *) -> void","void * __ptr","void","void"
"ares__init_rand_state","ares_malloc_zero","/src/c-ares/src/lib/ares_rand.c","/src/c-ares/src/lib/ares_library_init.c",209,223,77,77,"ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *","ares_malloc_zero(size_t) -> void *","size_t size","void *","void *"
"ares__init_rand_state","ares_malloc_zero","/src/c-ares/src/lib/ares_rand.c","/src/c-ares/src/lib/ares_library_init.c",209,223,77,77,"ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *","ares_malloc_zero(size_t) -> void *","size_t size","void *","void *"
"ares__init_rand_state","ares_malloc_zero","/src/c-ares/src/lib/ares_rand.c","/src/c-ares/src/lib/ares_library_init.c",209,223,77,77,"ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *","ares_malloc_zero(size_t) -> void *","size_t size","void *","void *"
"ares__init_rand_state","ares_malloc_zero","/src/c-ares/src/lib/ares_rand.c","/src/c-ares/src/lib/ares_library_init.c",209,223,77,77,"ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *","ares_malloc_zero(size_t) -> void *","size_t size","void *","void *"
"ares__init_rand_state","ares__init_rand_engine","/src/c-ares/src/lib/ares_rand.c","/src/c-ares/src/lib/ares_rand.c",209,223,178,178,"ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *","ares__init_rand_engine(ares_rand_state *) -> ares_bool_t","ares_rand_state * state","ares_bool_t","(unnamed enum)"
"ares__init_rand_state","ares__init_rand_engine","/src/c-ares/src/lib/ares_rand.c","/src/c-ares/src/lib/ares_rand.c",209,223,178,178,"ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *","ares__init_rand_engine(ares_rand_state *) -> ares_bool_t","ares_rand_state * state","ares_bool_t","(unnamed enum)"
"ares__init_rand_state","ares__init_rand_engine","/src/c-ares/src/lib/ares_rand.c","/src/c-ares/src/lib/ares_rand.c",209,223,178,178,"ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *","ares__init_rand_engine(ares_rand_state *) -> ares_bool_t","ares_rand_state * state","ares_bool_t","(unnamed enum)"
"ares__init_rand_state","ares__init_rand_engine","/src/c-ares/src/lib/ares_rand.c","/src/c-ares/src/lib/ares_rand.c",209,223,178,178,"ares__init_rand_state() -> ares_rand_state *","","ares_rand_state *","ares_rand_state *","ares__init_rand_engine(ares_rand_state *) -> ares_bool_t","ares_rand_state * state","ares_bool_t","(unnamed enum)"
