"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__dnsrec_convert_cb","free","/src/c-ares/src/lib/ares_search.c","/usr/include/stdlib.h",389,405,565,565,"ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void","free(void *) -> void","void * __ptr","void","void"
"ares__dnsrec_convert_cb","ares__dnsrec_convert_cb","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_search.c",389,405,387,387,"ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void","ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares__dnsrec_convert_cb","ares_dns_write","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_dns_write.c",389,405,991,991,"ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void","ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)"
"ares__dnsrec_convert_cb","host_callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_getaddrinfo.c",389,405,490,490,"ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void","host_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares__dnsrec_convert_cb","addr_callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_gethostbyaddr.c",389,405,163,163,"ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void","addr_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares__dnsrec_convert_cb","ares_gethostbyname_callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_gethostbyname.c",389,405,66,66,"ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void","ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void"
"ares__dnsrec_convert_cb","nameinfo_callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_getnameinfo.c",389,405,202,202,"ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void","nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void"
"ares__dnsrec_convert_cb","ares_query_dnsrec_cb","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_query.c",389,405,45,45,"ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void","ares_query_dnsrec_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares__dnsrec_convert_cb","search_callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_search.c",389,405,109,109,"ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void","search_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares__dnsrec_convert_cb","callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/tools/adig.c",389,405,739,739,"ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void","callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void"
"ares__dnsrec_convert_cb","ai_callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/tools/ahost.c",389,405,236,236,"ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void","ai_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void"
"ares__dnsrec_convert_cb","callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/tools/ahost.c",389,405,216,216,"ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void","callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void"
