"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__lookup_hostaliases","ares_strdup","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_str.c",493,600,46,46,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","ares_strdup(const char *) -> char *","const char * s1","char *","char *"
"ares__lookup_hostaliases","getenv","/src/c-ares/src/lib/ares_search.c","/usr/include/stdlib.h",493,600,634,634,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","getenv(const char *) -> char *","const char * __name","char *","char *"
"ares__lookup_hostaliases","strcasecmp","/src/c-ares/src/lib/ares_search.c","/usr/include/strings.h",493,600,116,116,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","strcasecmp(const char *, const char *) -> int","const char * __s1, const char * __s2","int","int"
"ares__lookup_hostaliases","strchr","/src/c-ares/src/lib/ares_search.c","/usr/include/string.h",493,600,226,226,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","strchr(const char *, int) -> char *","const char * __s, int __c","char *","char *"
"ares__lookup_hostaliases","ares__buf_load_file","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares__buf.c",493,600,1140,1140,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","ares__buf_load_file(const char *, ares__buf_t *) -> ares_status_t","const char * filename, ares__buf_t * buf","ares_status_t","(unnamed enum)"
"ares__lookup_hostaliases","ares__buf_split","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares__buf.c",493,600,782,782,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","ares__buf_split(ares__buf_t *, const unsigned char *, size_t, ares__buf_split_t, size_t, ares__llist_t **) -> ares_status_t","ares__buf_t * buf, const unsigned char * delims, size_t delims_len, ares__buf_split_t flags, size_t max_sections, ares__llist_t ** list","ares_status_t","(unnamed enum)"
"ares__lookup_hostaliases","ares__buf_consume_nonwhitespace","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares__buf.c",493,600,633,633,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","ares__buf_consume_nonwhitespace(ares__buf_t *) -> size_t","ares__buf_t * buf","size_t","unsigned long"
"ares__lookup_hostaliases","ares__buf_consume_whitespace","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares__buf.c",493,600,610,610,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","ares__buf_consume_whitespace(ares__buf_t *, ares_bool_t) -> size_t","ares__buf_t * buf, ares_bool_t include_linefeed","size_t","unsigned long"
"ares__lookup_hostaliases","ares__buf_tag_fetch_string","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares__buf.c",493,600,421,421,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","ares__buf_tag_fetch_string(const ares__buf_t *, char *, size_t) -> ares_status_t","const ares__buf_t * buf, char * str, size_t len","ares_status_t","(unnamed enum)"
"ares__lookup_hostaliases","ares__buf_tag","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares__buf.c",493,600,351,351,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","ares__buf_tag(ares__buf_t *) -> void","ares__buf_t * buf","void","void"
"ares__lookup_hostaliases","ares__buf_destroy","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares__buf.c",493,600,78,78,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","ares__buf_destroy(ares__buf_t *) -> void","ares__buf_t * buf","void","void"
"ares__lookup_hostaliases","ares__buf_create","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares__buf.c",493,600,48,48,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares__lookup_hostaliases","ares__buf_create","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares__buf.c",493,600,48,48,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
"ares__lookup_hostaliases","ares__buf_create","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares__buf.c",493,600,48,48,"ares__lookup_hostaliases(const ares_channel_t *, const char *, char **) -> ares_status_t","const ares_channel_t * channel, const char * name, char ** alias","ares_status_t","(unnamed enum)","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
