"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_search_int","free","/src/c-ares/src/lib/ares_search.c","/usr/include/stdlib.h",295,362,565,565,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","free(void *) -> void","void * __ptr","void","void"
"ares_search_int","ares__dnsrec_convert_cb","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_search.c",295,362,387,387,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_search_int","ares__search_name_list","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_search.c",295,362,183,183,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares__search_name_list(const ares_channel_t *, const char *, char ***, size_t *) -> ares_status_t","const ares_channel_t * channel, const char * name, char *** names, size_t * names_len","ares_status_t","(unnamed enum)"
"ares_search_int","ares_malloc_zero","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_library_init.c",295,362,77,77,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares_malloc_zero(size_t) -> void *","size_t size","void *","void *"
"ares_search_int","ares__is_onion_domain","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_getnameinfo.c",295,362,427,427,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares__is_onion_domain(const char *) -> ares_bool_t","const char * name","ares_bool_t","(unnamed enum)"
"ares_search_int","ares_dns_record_duplicate","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_dns_record.c",295,362,1427,1427,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *"
"ares_search_int","ares_dns_record_duplicate","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_dns_record.c",295,362,1427,1427,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *"
"ares_search_int","ares_dns_record_duplicate","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_dns_record.c",295,362,1427,1427,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *"
"ares_search_int","ares_dns_record_duplicate","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_dns_record.c",295,362,1427,1427,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares_dns_record_duplicate(const ares_dns_record_t *) -> ares_dns_record_t *","const ares_dns_record_t * dnsrec","ares_dns_record_t *","ares_dns_record *"
"ares_search_int","ares_dns_record_query_get","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_dns_record.c",295,362,312,312,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares_dns_record_query_get(const ares_dns_record_t *, size_t, const char **, ares_dns_rec_type_t *, ares_dns_class_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, size_t idx, const char ** name, ares_dns_rec_type_t * qtype, ares_dns_class_t * qclass","ares_status_t","(unnamed enum)"
"ares_search_int","ares_dns_record_query_cnt","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_dns_record.c",295,362,230,230,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares_dns_record_query_cnt(const ares_dns_record_t *) -> size_t","const ares_dns_record_t * dnsrec","size_t","unsigned long"
"ares_search_int","host_callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_getaddrinfo.c",295,362,490,490,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","host_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_search_int","addr_callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_gethostbyaddr.c",295,362,163,163,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","addr_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_search_int","ares_gethostbyname_callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_gethostbyname.c",295,362,66,66,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void"
"ares_search_int","nameinfo_callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_getnameinfo.c",295,362,202,202,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void"
"ares_search_int","ares_query_dnsrec_cb","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_query.c",295,362,45,45,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares_query_dnsrec_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_search_int","ares_search_next","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_search.c",295,362,80,80,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ares_search_next(ares_channel_t *, search_query *, ares_bool_t *) -> ares_status_t","ares_channel_t * channel, search_query * squery, ares_bool_t * skip_cleanup","ares_status_t","(unnamed enum)"
"ares_search_int","squery_free","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_search.c",295,362,57,57,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","squery_free(search_query *) -> void","search_query * squery","void","void"
"ares_search_int","search_callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/lib/ares_search.c",295,362,109,109,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","search_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_search_int","callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/tools/adig.c",295,362,739,739,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void"
"ares_search_int","ai_callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/tools/ahost.c",295,362,236,236,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","ai_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void"
"ares_search_int","callback","/src/c-ares/src/lib/ares_search.c","/src/c-ares/src/tools/ahost.c",295,362,216,216,"ares_search_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg","ares_status_t","(unnamed enum)","callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void"
