"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_send_dnsrec_int","memset","/src/c-ares/src/lib/ares_send.c","/usr/include/string.h",55,145,61,61,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"ares_send_dnsrec_int","free","/src/c-ares/src/lib/ares_send.c","/usr/include/stdlib.h",55,145,565,565,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","free(void *) -> void","void * __ptr","void","void"
"ares_send_dnsrec_int","malloc","/src/c-ares/src/lib/ares_send.c","/usr/include/stdlib.h",55,145,539,539,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","malloc(size_t) -> void *","size_t __size","void *","void *"
"ares_send_dnsrec_int","ares_qcache_fetch","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares_qcache.c",55,145,396,396,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares_qcache_fetch(ares_channel_t *, const timeval *, const ares_dns_record_t *, const ares_dns_record_t **) -> ares_status_t","ares_channel_t * channel, const timeval * now, const ares_dns_record_t * dnsrec, const ares_dns_record_t ** dnsrec_resp","ares_status_t","(unnamed enum)"
"ares_send_dnsrec_int","ares__tvnow","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares__timeval.c",55,145,49,49,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares__tvnow() -> timeval","","timeval","timeval"
"ares_send_dnsrec_int","ares__free_query","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares_process.c",55,145,1145,1145,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares__free_query(query *) -> void","query * query","void","void"
"ares_send_dnsrec_int","ares__dnsrec_convert_cb","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares_search.c",55,145,387,387,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares__dnsrec_convert_cb(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_send_dnsrec_int","ares__send_query","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares_process.c",55,145,880,880,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares__send_query(query *, timeval *) -> ares_status_t","query * query, timeval * now","ares_status_t","(unnamed enum)"
"ares_send_dnsrec_int","ares__llist_insert_last","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares__llist.c",55,145,150,150,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares__llist_insert_last(ares__llist_t *, void *) -> ares__llist_node_t *","ares__llist_t * list, void * val","ares__llist_node_t *","ares__llist_node *"
"ares_send_dnsrec_int","ares__llist_insert_last","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares__llist.c",55,145,150,150,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares__llist_insert_last(ares__llist_t *, void *) -> ares__llist_node_t *","ares__llist_t * list, void * val","ares__llist_node_t *","ares__llist_node *"
"ares_send_dnsrec_int","ares__llist_insert_last","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares__llist.c",55,145,150,150,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares__llist_insert_last(ares__llist_t *, void *) -> ares__llist_node_t *","ares__llist_t * list, void * val","ares__llist_node_t *","ares__llist_node *"
"ares_send_dnsrec_int","ares__llist_insert_last","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares__llist.c",55,145,150,150,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares__llist_insert_last(ares__llist_t *, void *) -> ares__llist_node_t *","ares__llist_t * list, void * val","ares__llist_node_t *","ares__llist_node *"
"ares_send_dnsrec_int","ares_dns_write","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares_dns_write.c",55,145,991,991,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)"
"ares_send_dnsrec_int","ares__htable_szvp_insert","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares__htable_szvp.c",55,145,115,115,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares__htable_szvp_insert(ares__htable_szvp_t *, size_t, void *) -> ares_bool_t","ares__htable_szvp_t * htable, size_t key, void * val","ares_bool_t","(unnamed enum)"
"ares_send_dnsrec_int","ares__slist_len","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares__slist.c",55,145,422,422,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares__slist_len(const ares__slist_t *) -> size_t","const ares__slist_t * list","size_t","unsigned long"
"ares_send_dnsrec_int","host_callback","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares_getaddrinfo.c",55,145,490,490,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","host_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_send_dnsrec_int","addr_callback","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares_gethostbyaddr.c",55,145,163,163,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","addr_callback(void *, ares_status_t, size_t, const ares_dns_record_t *) -> void","void * arg, ares_status_t status, size_t timeouts, const ares_dns_record_t * dnsrec","void","void"
"ares_send_dnsrec_int","ares_gethostbyname_callback","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares_gethostbyname.c",55,145,66,66,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","ares_gethostbyname_callback(void *, int, int, ares_addrinfo *) -> void","void * arg, int status, int timeouts, ares_addrinfo * result","void","void"
"ares_send_dnsrec_int","nameinfo_callback","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares_getnameinfo.c",55,145,202,202,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","nameinfo_callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void"
"ares_send_dnsrec_int","default_malloc","/src/c-ares/src/lib/ares_send.c","/src/c-ares/src/lib/ares_library_init.c",55,145,50,50,"ares_send_dnsrec_int(ares_channel_t *, const ares_dns_record_t *, ares_callback_dnsrec, void *, unsigned short *) -> ares_status_t","ares_channel_t * channel, const ares_dns_record_t * dnsrec, ares_callback_dnsrec callback, void * arg, unsigned short * qid","ares_status_t","(unnamed enum)","default_malloc(size_t) -> void *","size_t size","void *","void *"
