"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__parse_sortlist","free","/src/c-ares/src/lib/ares_sysconfig_files.c","/usr/include/stdlib.h",219,283,565,565,"ares__parse_sortlist(apattern **, size_t *, const char *) -> ares_status_t","apattern ** sortlist, size_t * nsort, const char * str","ares_status_t","(unnamed enum)","free(void *) -> void","void * __ptr","void","void"
"ares__parse_sortlist","ares__buf_split","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__buf.c",219,283,782,782,"ares__parse_sortlist(apattern **, size_t *, const char *) -> ares_status_t","apattern ** sortlist, size_t * nsort, const char * str","ares_status_t","(unnamed enum)","ares__buf_split(ares__buf_t *, const unsigned char *, size_t, ares__buf_split_t, size_t, ares__llist_t **) -> ares_status_t","ares__buf_t * buf, const unsigned char * delims, size_t delims_len, ares__buf_split_t flags, size_t max_sections, ares__llist_t ** list","ares_status_t","(unnamed enum)"
"ares__parse_sortlist","ares__buf_destroy","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__buf.c",219,283,78,78,"ares__parse_sortlist(apattern **, size_t *, const char *) -> ares_status_t","apattern ** sortlist, size_t * nsort, const char * str","ares_status_t","(unnamed enum)","ares__buf_destroy(ares__buf_t *) -> void","ares__buf_t * buf","void","void"
"ares__parse_sortlist","ares__buf_create_const","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__buf.c",219,283,59,59,"ares__parse_sortlist(apattern **, size_t *, const char *) -> ares_status_t","apattern ** sortlist, size_t * nsort, const char * str","ares_status_t","(unnamed enum)","ares__buf_create_const(const unsigned char *, size_t) -> ares__buf_t *","const unsigned char * data, size_t data_len","ares__buf_t *","ares__buf *"
"ares__parse_sortlist","ares__buf_create_const","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__buf.c",219,283,59,59,"ares__parse_sortlist(apattern **, size_t *, const char *) -> ares_status_t","apattern ** sortlist, size_t * nsort, const char * str","ares_status_t","(unnamed enum)","ares__buf_create_const(const unsigned char *, size_t) -> ares__buf_t *","const unsigned char * data, size_t data_len","ares__buf_t *","ares__buf *"
"ares__parse_sortlist","ares__buf_create_const","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__buf.c",219,283,59,59,"ares__parse_sortlist(apattern **, size_t *, const char *) -> ares_status_t","apattern ** sortlist, size_t * nsort, const char * str","ares_status_t","(unnamed enum)","ares__buf_create_const(const unsigned char *, size_t) -> ares__buf_t *","const unsigned char * data, size_t data_len","ares__buf_t *","ares__buf *"
"ares__parse_sortlist","ares__buf_create_const","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__buf.c",219,283,59,59,"ares__parse_sortlist(apattern **, size_t *, const char *) -> ares_status_t","apattern ** sortlist, size_t * nsort, const char * str","ares_status_t","(unnamed enum)","ares__buf_create_const(const unsigned char *, size_t) -> ares__buf_t *","const unsigned char * data, size_t data_len","ares__buf_t *","ares__buf *"
"ares__parse_sortlist","ares_strlen","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares_str.c",219,283,37,37,"ares__parse_sortlist(apattern **, size_t *, const char *) -> ares_status_t","apattern ** sortlist, size_t * nsort, const char * str","ares_status_t","(unnamed enum)","ares_strlen(const char *) -> size_t","const char * str","size_t","unsigned long"
"ares__parse_sortlist","ares__llist_destroy","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__llist.c",219,283,326,326,"ares__parse_sortlist(apattern **, size_t *, const char *) -> ares_status_t","apattern ** sortlist, size_t * nsort, const char * str","ares_status_t","(unnamed enum)","ares__llist_destroy(ares__llist_t *) -> void","ares__llist_t * list","void","void"
"ares__parse_sortlist","ares__llist_node_val","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__llist.c",219,283,213,213,"ares__parse_sortlist(apattern **, size_t *, const char *) -> ares_status_t","apattern ** sortlist, size_t * nsort, const char * str","ares_status_t","(unnamed enum)","ares__llist_node_val(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
