"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"parse_resolvconf_line","strcmp","/src/c-ares/src/lib/ares_sysconfig_files.c","/usr/include/string.h",559,624,137,137,"parse_resolvconf_line(ares_sysconfig_t *, ares__buf_t *) -> ares_status_t","ares_sysconfig_t * sysconfig, ares__buf_t * line","ares_status_t","(unnamed enum)","strcmp(const char *, const char *) -> int","const char * __s1, const char * __s2","int","int"
"parse_resolvconf_line","ares__sconfig_append_fromstr","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares_update_servers.c",559,624,447,447,"parse_resolvconf_line(ares_sysconfig_t *, ares__buf_t *) -> ares_status_t","ares_sysconfig_t * sysconfig, ares__buf_t * line","ares_status_t","(unnamed enum)","ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)"
"parse_resolvconf_line","ares__parse_sortlist","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares_sysconfig_files.c",559,624,217,217,"parse_resolvconf_line(ares_sysconfig_t *, ares__buf_t *) -> ares_status_t","ares_sysconfig_t * sysconfig, ares__buf_t * line","ares_status_t","(unnamed enum)","ares__parse_sortlist(apattern **, size_t *, const char *) -> ares_status_t","apattern ** sortlist, size_t * nsort, const char * str","ares_status_t","(unnamed enum)"
"parse_resolvconf_line","ares__buf_begins_with","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__buf.c",559,624,887,887,"parse_resolvconf_line(ares_sysconfig_t *, ares__buf_t *) -> ares_status_t","ares_sysconfig_t * sysconfig, ares__buf_t * line","ares_status_t","(unnamed enum)","ares__buf_begins_with(const ares__buf_t *, const unsigned char *, size_t) -> ares_bool_t","const ares__buf_t * buf, const unsigned char * data, size_t data_len","ares_bool_t","(unnamed enum)"
"parse_resolvconf_line","ares__buf_consume_nonwhitespace","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__buf.c",559,624,633,633,"parse_resolvconf_line(ares_sysconfig_t *, ares__buf_t *) -> ares_status_t","ares_sysconfig_t * sysconfig, ares__buf_t * line","ares_status_t","(unnamed enum)","ares__buf_consume_nonwhitespace(ares__buf_t *) -> size_t","ares__buf_t * buf","size_t","unsigned long"
"parse_resolvconf_line","ares__buf_consume_whitespace","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__buf.c",559,624,610,610,"parse_resolvconf_line(ares_sysconfig_t *, ares__buf_t *) -> ares_status_t","ares_sysconfig_t * sysconfig, ares__buf_t * line","ares_status_t","(unnamed enum)","ares__buf_consume_whitespace(ares__buf_t *, ares_bool_t) -> size_t","ares__buf_t * buf, ares_bool_t include_linefeed","size_t","unsigned long"
"parse_resolvconf_line","ares__buf_tag_fetch_string","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__buf.c",559,624,421,421,"parse_resolvconf_line(ares_sysconfig_t *, ares__buf_t *) -> ares_status_t","ares_sysconfig_t * sysconfig, ares__buf_t * line","ares_status_t","(unnamed enum)","ares__buf_tag_fetch_string(const ares__buf_t *, char *, size_t) -> ares_status_t","const ares__buf_t * buf, char * str, size_t len","ares_status_t","(unnamed enum)"
"parse_resolvconf_line","ares__buf_tag_rollback","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__buf.c",559,624,360,360,"parse_resolvconf_line(ares_sysconfig_t *, ares__buf_t *) -> ares_status_t","ares_sysconfig_t * sysconfig, ares__buf_t * line","ares_status_t","(unnamed enum)","ares__buf_tag_rollback(ares__buf_t *) -> ares_status_t","ares__buf_t * buf","ares_status_t","(unnamed enum)"
"parse_resolvconf_line","ares__buf_tag","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares__buf.c",559,624,351,351,"parse_resolvconf_line(ares_sysconfig_t *, ares__buf_t *) -> ares_status_t","ares_sysconfig_t * sysconfig, ares__buf_t * line","ares_status_t","(unnamed enum)","ares__buf_tag(ares__buf_t *) -> void","ares__buf_t * buf","void","void"
"parse_resolvconf_line","ares__str_trim","/src/c-ares/src/lib/ares_sysconfig_files.c","/src/c-ares/src/lib/ares_str.c",559,624,155,155,"parse_resolvconf_line(ares_sysconfig_t *, ares__buf_t *) -> ares_status_t","ares_sysconfig_t * sysconfig, ares__buf_t * line","ares_status_t","(unnamed enum)","ares__str_trim(char *) -> void","char * str","void","void"
