"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__sconfig_append_fromstr","ares__sconfig_append","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_update_servers.c",450,498,373,373,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__sconfig_append(ares__llist_t **, const ares_addr *, unsigned short, unsigned short, const char *) -> ares_status_t","ares__llist_t ** sconfig, const ares_addr * addr, unsigned short udp_port, unsigned short tcp_port, const char * ll_iface","ares_status_t","(unnamed enum)"
"ares__sconfig_append_fromstr","ares__buf_split","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",450,498,782,782,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__buf_split(ares__buf_t *, const unsigned char *, size_t, ares__buf_split_t, size_t, ares__llist_t **) -> ares_status_t","ares__buf_t * buf, const unsigned char * delims, size_t delims_len, ares__buf_split_t flags, size_t max_sections, ares__llist_t ** list","ares_status_t","(unnamed enum)"
"ares__sconfig_append_fromstr","ares__buf_destroy","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",450,498,78,78,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__buf_destroy(ares__buf_t *) -> void","ares__buf_t * buf","void","void"
"ares__sconfig_append_fromstr","ares__buf_create_const","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",450,498,59,59,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__buf_create_const(const unsigned char *, size_t) -> ares__buf_t *","const unsigned char * data, size_t data_len","ares__buf_t *","ares__buf *"
"ares__sconfig_append_fromstr","ares__buf_create_const","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",450,498,59,59,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__buf_create_const(const unsigned char *, size_t) -> ares__buf_t *","const unsigned char * data, size_t data_len","ares__buf_t *","ares__buf *"
"ares__sconfig_append_fromstr","ares__buf_create_const","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",450,498,59,59,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__buf_create_const(const unsigned char *, size_t) -> ares__buf_t *","const unsigned char * data, size_t data_len","ares__buf_t *","ares__buf *"
"ares__sconfig_append_fromstr","ares__buf_create_const","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",450,498,59,59,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__buf_create_const(const unsigned char *, size_t) -> ares__buf_t *","const unsigned char * data, size_t data_len","ares__buf_t *","ares__buf *"
"ares__sconfig_append_fromstr","ares_strlen","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_str.c",450,498,37,37,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares_strlen(const char *) -> size_t","const char * str","size_t","unsigned long"
"ares__sconfig_append_fromstr","ares__llist_destroy","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",450,498,326,326,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__llist_destroy(ares__llist_t *) -> void","ares__llist_t * list","void","void"
"ares__sconfig_append_fromstr","ares__llist_node_val","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",450,498,213,213,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__llist_node_val(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
"ares__sconfig_append_fromstr","ares__llist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",450,498,181,181,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__sconfig_append_fromstr","ares__llist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",450,498,181,181,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__sconfig_append_fromstr","ares__llist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",450,498,181,181,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__sconfig_append_fromstr","ares__llist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",450,498,181,181,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__sconfig_append_fromstr","ares__llist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",450,498,197,197,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__sconfig_append_fromstr","ares__llist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",450,498,197,197,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__sconfig_append_fromstr","ares__llist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",450,498,197,197,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__sconfig_append_fromstr","ares__llist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",450,498,197,197,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__sconfig_append_fromstr","parse_nameserver","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_update_servers.c",450,498,216,216,"ares__sconfig_append_fromstr(ares__llist_t **, const char *, ares_bool_t) -> ares_status_t","ares__llist_t ** sconfig, const char * str, ares_bool_t ignore_invalid","ares_status_t","(unnamed enum)","parse_nameserver(ares__buf_t *, ares_sconfig_t *) -> ares_status_t","ares__buf_t * buf, ares_sconfig_t * sconfig","ares_status_t","(unnamed enum)"
