"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__server_in_newconfig","ares__llist_node_val","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",640,664,213,213,"ares__server_in_newconfig(const server_state *, ares__llist_t *) -> ares_bool_t","const server_state * server, ares__llist_t * srvlist","ares_bool_t","(unnamed enum)","ares__llist_node_val(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
"ares__server_in_newconfig","ares__llist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",640,664,181,181,"ares__server_in_newconfig(const server_state *, ares__llist_t *) -> ares_bool_t","const server_state * server, ares__llist_t * srvlist","ares_bool_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__server_in_newconfig","ares__llist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",640,664,181,181,"ares__server_in_newconfig(const server_state *, ares__llist_t *) -> ares_bool_t","const server_state * server, ares__llist_t * srvlist","ares_bool_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__server_in_newconfig","ares__llist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",640,664,181,181,"ares__server_in_newconfig(const server_state *, ares__llist_t *) -> ares_bool_t","const server_state * server, ares__llist_t * srvlist","ares_bool_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__server_in_newconfig","ares__llist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",640,664,181,181,"ares__server_in_newconfig(const server_state *, ares__llist_t *) -> ares_bool_t","const server_state * server, ares__llist_t * srvlist","ares_bool_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__server_in_newconfig","ares__llist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",640,664,197,197,"ares__server_in_newconfig(const server_state *, ares__llist_t *) -> ares_bool_t","const server_state * server, ares__llist_t * srvlist","ares_bool_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__server_in_newconfig","ares__llist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",640,664,197,197,"ares__server_in_newconfig(const server_state *, ares__llist_t *) -> ares_bool_t","const server_state * server, ares__llist_t * srvlist","ares_bool_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__server_in_newconfig","ares__llist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",640,664,197,197,"ares__server_in_newconfig(const server_state *, ares__llist_t *) -> ares_bool_t","const server_state * server, ares__llist_t * srvlist","ares_bool_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__server_in_newconfig","ares__llist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",640,664,197,197,"ares__server_in_newconfig(const server_state *, ares__llist_t *) -> ares_bool_t","const server_state * server, ares__llist_t * srvlist","ares_bool_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__server_in_newconfig","ares__addr_match","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_update_servers.c",640,664,66,66,"ares__server_in_newconfig(const server_state *, ares__llist_t *) -> ares_bool_t","const server_state * server, ares__llist_t * srvlist","ares_bool_t","(unnamed enum)","ares__addr_match(const ares_addr *, const ares_addr *) -> ares_bool_t","const ares_addr * addr1, const ares_addr * addr2","ares_bool_t","(unnamed enum)"
"ares__server_in_newconfig","ares__sconfig_get_port","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_update_servers.c",640,664,500,500,"ares__server_in_newconfig(const server_state *, ares__llist_t *) -> ares_bool_t","const server_state * server, ares__llist_t * srvlist","ares_bool_t","(unnamed enum)","ares__sconfig_get_port(const ares_channel_t *, const ares_sconfig_t *, ares_bool_t) -> unsigned short","const ares_channel_t * channel, const ares_sconfig_t * s, ares_bool_t is_tcp","unsigned short","unsigned short"
