"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__servers_update","ares__channel_unlock","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__threads.c",693,768,545,545,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__channel_unlock(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares__servers_update","ares__channel_lock","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__threads.c",693,768,540,540,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__channel_lock(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares__servers_update","ares__qcache_flush","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_qcache.c",693,768,159,159,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__qcache_flush(ares__qcache_t *) -> void","ares__qcache_t * cache","void","void"
"ares__servers_update","ares_strlen","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_str.c",693,768,37,37,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares_strlen(const char *) -> size_t","const char * str","size_t","unsigned long"
"ares__servers_update","ares__llist_node_val","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",693,768,213,213,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__llist_node_val(ares__llist_node_t *) -> void *","ares__llist_node_t * node","void *","void *"
"ares__servers_update","ares__llist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",693,768,181,181,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__servers_update","ares__llist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",693,768,181,181,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__servers_update","ares__llist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",693,768,181,181,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__servers_update","ares__llist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",693,768,181,181,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__llist_node_first(ares__llist_t *) -> ares__llist_node_t *","ares__llist_t * list","ares__llist_node_t *","ares__llist_node *"
"ares__servers_update","ares__llist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",693,768,197,197,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__servers_update","ares__llist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",693,768,197,197,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__servers_update","ares__llist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",693,768,197,197,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__servers_update","ares__llist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__llist.c",693,768,197,197,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__llist_node_next(ares__llist_node_t *) -> ares__llist_node_t *","ares__llist_node_t * node","ares__llist_node_t *","ares__llist_node *"
"ares__servers_update","ares_strcpy","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_str.c",693,768,75,75,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares_strcpy(char *, const char *, size_t) -> size_t","char * dest, const char * src, size_t dest_size","size_t","unsigned long"
"ares__servers_update","ares__slist_node_reinsert","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__slist.c",693,768,307,307,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__slist_node_reinsert(ares__slist_node_t *) -> void","ares__slist_node_t * node","void","void"
"ares__servers_update","ares__slist_node_val","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__slist.c",693,768,413,413,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__slist_node_val(ares__slist_node_t *) -> void *","ares__slist_node_t * node","void *","void *"
"ares__servers_update","ares__server_isdup","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_update_servers.c",693,768,543,543,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__server_isdup(const ares_channel_t *, ares__llist_node_t *) -> ares_bool_t","const ares_channel_t * channel, ares__llist_node_t * s","ares_bool_t","(unnamed enum)"
"ares__servers_update","ares__server_find","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_update_servers.c",693,768,517,517,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__server_find(ares_channel_t *, const ares_sconfig_t *) -> ares__slist_node_t *","ares_channel_t * channel, const ares_sconfig_t * s","ares__slist_node_t *","ares__slist_node *"
"ares__servers_update","ares__server_create","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_update_servers.c",693,768,574,574,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__server_create(ares_channel_t *, const ares_sconfig_t *, size_t) -> ares_status_t","ares_channel_t * channel, const ares_sconfig_t * sconfig, size_t idx","ares_status_t","(unnamed enum)"
"ares__servers_update","ares__servers_remove_stale","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_update_servers.c",693,768,666,666,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__servers_remove_stale(ares_channel_t *, ares__llist_t *) -> void","ares_channel_t * channel, ares__llist_t * srvlist","void","void"
"ares__servers_update","ares__servers_trim_single","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_update_servers.c",693,768,683,683,"ares__servers_update(ares_channel_t *, ares__llist_t *, ares_bool_t) -> ares_status_t","ares_channel_t * channel, ares__llist_t * server_list, ares_bool_t user_specified","ares_status_t","(unnamed enum)","ares__servers_trim_single(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
