"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_get_servers_csv","ares_inet_ntop","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/inet_ntop.c",1114,1193,209,209,"ares_get_servers_csv(ares_channel_t *) -> char *","ares_channel_t * channel","char *","char *","ares_inet_ntop(int, const void *, char *, ares_socklen_t) -> const char *","int af, const void * src, char * dst, ares_socklen_t size","const char *","char *"
"ares_get_servers_csv","ares__channel_unlock","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__threads.c",1114,1193,545,545,"ares_get_servers_csv(ares_channel_t *) -> char *","ares_channel_t * channel","char *","char *","ares__channel_unlock(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares_get_servers_csv","ares__channel_lock","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__threads.c",1114,1193,540,540,"ares_get_servers_csv(ares_channel_t *) -> char *","ares_channel_t * channel","char *","char *","ares__channel_lock(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares_get_servers_csv","ares__buf_len","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",1114,1193,908,908,"ares_get_servers_csv(ares_channel_t *) -> char *","ares_channel_t * channel","char *","char *","ares__buf_len(const ares__buf_t *) -> size_t","const ares__buf_t * buf","size_t","unsigned long"
"ares_get_servers_csv","ares__buf_finish_str","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",1114,1193,330,330,"ares_get_servers_csv(ares_channel_t *) -> char *","ares_channel_t * channel","char *","char *","ares__buf_finish_str(ares__buf_t *, size_t *) -> char *","ares__buf_t * buf, size_t * len","char *","char *"
"ares_get_servers_csv","ares__buf_append_num_dec","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",1114,1193,1014,1014,"ares_get_servers_csv(ares_channel_t *) -> char *","ares_channel_t * channel","char *","char *","ares__buf_append_num_dec(ares__buf_t *, size_t, size_t) -> ares_status_t","ares__buf_t * buf, size_t num, size_t len","ares_status_t","(unnamed enum)"
"ares_get_servers_csv","ares__buf_append_str","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",1114,1193,1064,1064,"ares_get_servers_csv(ares_channel_t *) -> char *","ares_channel_t * channel","char *","char *","ares__buf_append_str(ares__buf_t *, const char *) -> ares_status_t","ares__buf_t * buf, const char * str","ares_status_t","(unnamed enum)"
"ares_get_servers_csv","ares__buf_append_byte","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",1114,1193,234,234,"ares_get_servers_csv(ares_channel_t *) -> char *","ares_channel_t * channel","char *","char *","ares__buf_append_byte(ares__buf_t *, unsigned char) -> ares_status_t","ares__buf_t * buf, unsigned char byte","ares_status_t","(unnamed enum)"
"ares_get_servers_csv","ares__buf_destroy","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",1114,1193,78,78,"ares_get_servers_csv(ares_channel_t *) -> char *","ares_channel_t * channel","char *","char *","ares__buf_destroy(ares__buf_t *) -> void","ares__buf_t * buf","void","void"
"ares_get_servers_csv","ares__buf_create","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__buf.c",1114,1193,48,48,"ares_get_servers_csv(ares_channel_t *) -> char *","ares_channel_t * channel","char *","char *","ares__buf_create() -> ares__buf_t *","","ares__buf_t *","ares__buf *"
