"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares_get_servers_ports","memcpy","/src/c-ares/src/lib/ares_update_servers.c","/usr/include/string.h",967,1020,43,43,"ares_get_servers_ports(ares_channel_t *, ares_addr_port_node **) -> int","ares_channel_t * channel, ares_addr_port_node ** servers","int","int","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"ares_get_servers_ports","ares_free_data","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares_data.c",967,1020,50,50,"ares_get_servers_ports(ares_channel_t *, ares_addr_port_node **) -> int","ares_channel_t * channel, ares_addr_port_node ** servers","int","int","ares_free_data(void *) -> void","void * dataptr","void","void"
"ares_get_servers_ports","ares__channel_unlock","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__threads.c",967,1020,545,545,"ares_get_servers_ports(ares_channel_t *, ares_addr_port_node **) -> int","ares_channel_t * channel, ares_addr_port_node ** servers","int","int","ares__channel_unlock(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares_get_servers_ports","ares__channel_lock","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__threads.c",967,1020,540,540,"ares_get_servers_ports(ares_channel_t *, ares_addr_port_node **) -> int","ares_channel_t * channel, ares_addr_port_node ** servers","int","int","ares__channel_lock(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"ares_get_servers_ports","ares__slist_node_val","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__slist.c",967,1020,413,413,"ares_get_servers_ports(ares_channel_t *, ares_addr_port_node **) -> int","ares_channel_t * channel, ares_addr_port_node ** servers","int","int","ares__slist_node_val(ares__slist_node_t *) -> void *","ares__slist_node_t * node","void *","void *"
"ares_get_servers_ports","ares__slist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__slist.c",967,1020,397,397,"ares_get_servers_ports(ares_channel_t *, ares_addr_port_node **) -> int","ares_channel_t * channel, ares_addr_port_node ** servers","int","int","ares__slist_node_next(ares__slist_node_t *) -> ares__slist_node_t *","ares__slist_node_t * node","ares__slist_node_t *","ares__slist_node *"
"ares_get_servers_ports","ares__slist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__slist.c",967,1020,397,397,"ares_get_servers_ports(ares_channel_t *, ares_addr_port_node **) -> int","ares_channel_t * channel, ares_addr_port_node ** servers","int","int","ares__slist_node_next(ares__slist_node_t *) -> ares__slist_node_t *","ares__slist_node_t * node","ares__slist_node_t *","ares__slist_node *"
"ares_get_servers_ports","ares__slist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__slist.c",967,1020,397,397,"ares_get_servers_ports(ares_channel_t *, ares_addr_port_node **) -> int","ares_channel_t * channel, ares_addr_port_node ** servers","int","int","ares__slist_node_next(ares__slist_node_t *) -> ares__slist_node_t *","ares__slist_node_t * node","ares__slist_node_t *","ares__slist_node *"
"ares_get_servers_ports","ares__slist_node_next","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__slist.c",967,1020,397,397,"ares_get_servers_ports(ares_channel_t *, ares_addr_port_node **) -> int","ares_channel_t * channel, ares_addr_port_node ** servers","int","int","ares__slist_node_next(ares__slist_node_t *) -> ares__slist_node_t *","ares__slist_node_t * node","ares__slist_node_t *","ares__slist_node *"
"ares_get_servers_ports","ares__slist_node_first","/src/c-ares/src/lib/ares_update_servers.c","/src/c-ares/src/lib/ares__slist.c",967,1020,380,380,"ares_get_servers_ports(ares_channel_t *, ares_addr_port_node **) -> int","ares_channel_t * channel, ares_addr_port_node ** servers","int","int","ares__slist_node_first(ares__slist_t *) -> ares__slist_node_t *","ares__slist_t * list","ares__slist_node_t *","ares__slist_node *"
