"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"enqueue_query","ares_free_string","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_free_string.c",783,841,33,33,"enqueue_query(ares_channel_t *, const adig_config_t *, const char *) -> ares_status_t","ares_channel_t * channel, const adig_config_t * config, const char * name","ares_status_t","(unnamed enum)","ares_free_string(void *) -> void","void * str","void","void"
"enqueue_query","ares_send","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_send.c",783,841,167,167,"enqueue_query(ares_channel_t *, const adig_config_t *, const char *) -> ares_status_t","ares_channel_t * channel, const adig_config_t * config, const char * name","ares_status_t","(unnamed enum)","ares_send(ares_channel_t *, const unsigned char *, int, ares_callback, void *) -> void","ares_channel_t * channel, const unsigned char * qbuf, int qlen, ares_callback callback, void * arg","void","void"
"enqueue_query","ares_dns_pton","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares__hosts_file.c",783,841,101,101,"enqueue_query(ares_channel_t *, const adig_config_t *, const char *) -> ares_status_t","ares_channel_t * channel, const adig_config_t * config, const char * name","ares_status_t","(unnamed enum)","ares_dns_pton(const char *, ares_addr *, size_t *) -> const void *","const char * ipaddr, ares_addr * addr, size_t * out_len","const void *","void *"
"enqueue_query","ares_dns_write","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_write.c",783,841,991,991,"enqueue_query(ares_channel_t *, const adig_config_t *, const char *) -> ares_status_t","ares_channel_t * channel, const adig_config_t * config, const char * name","ares_status_t","(unnamed enum)","ares_dns_write(const ares_dns_record_t *, unsigned char **, size_t *) -> ares_status_t","const ares_dns_record_t * dnsrec, unsigned char ** buf, size_t * buf_len","ares_status_t","(unnamed enum)"
"enqueue_query","ares_dns_rr_set_u16","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",783,841,1038,1038,"enqueue_query(ares_channel_t *, const adig_config_t *, const char *) -> ares_status_t","ares_channel_t * channel, const adig_config_t * config, const char * name","ares_status_t","(unnamed enum)","ares_dns_rr_set_u16(ares_dns_rr_t *, ares_dns_rr_key_t, unsigned short) -> ares_status_t","ares_dns_rr_t * dns_rr, ares_dns_rr_key_t key, unsigned short val","ares_status_t","(unnamed enum)"
"enqueue_query","ares_dns_rr_set_u8","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",783,841,1020,1020,"enqueue_query(ares_channel_t *, const adig_config_t *, const char *) -> ares_status_t","ares_channel_t * channel, const adig_config_t * config, const char * name","ares_status_t","(unnamed enum)","ares_dns_rr_set_u8(ares_dns_rr_t *, ares_dns_rr_key_t, unsigned char) -> ares_status_t","ares_dns_rr_t * dns_rr, ares_dns_rr_key_t key, unsigned char val","ares_status_t","(unnamed enum)"
"enqueue_query","ares_dns_record_rr_add","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",783,841,400,400,"enqueue_query(ares_channel_t *, const adig_config_t *, const char *) -> ares_status_t","ares_channel_t * channel, const adig_config_t * config, const char * name","ares_status_t","(unnamed enum)","ares_dns_record_rr_add(ares_dns_rr_t **, ares_dns_record_t *, ares_dns_section_t, const char *, ares_dns_rec_type_t, ares_dns_class_t, unsigned int) -> ares_status_t","ares_dns_rr_t ** rr_out, ares_dns_record_t * dnsrec, ares_dns_section_t sect, const char * name, ares_dns_rec_type_t type, ares_dns_class_t rclass, unsigned int ttl","ares_status_t","(unnamed enum)"
"enqueue_query","ares_dns_record_query_add","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",783,841,238,238,"enqueue_query(ares_channel_t *, const adig_config_t *, const char *) -> ares_status_t","ares_channel_t * channel, const adig_config_t * config, const char * name","ares_status_t","(unnamed enum)","ares_dns_record_query_add(ares_dns_record_t *, const char *, ares_dns_rec_type_t, ares_dns_class_t) -> ares_status_t","ares_dns_record_t * dnsrec, const char * name, ares_dns_rec_type_t qtype, ares_dns_class_t qclass","ares_status_t","(unnamed enum)"
"enqueue_query","ares_dns_record_destroy","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",783,841,195,195,"enqueue_query(ares_channel_t *, const adig_config_t *, const char *) -> ares_status_t","ares_channel_t * channel, const adig_config_t * config, const char * name","ares_status_t","(unnamed enum)","ares_dns_record_destroy(ares_dns_record_t *) -> void","ares_dns_record_t * dnsrec","void","void"
"enqueue_query","ares_dns_record_create","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",783,841,35,35,"enqueue_query(ares_channel_t *, const adig_config_t *, const char *) -> ares_status_t","ares_channel_t * channel, const adig_config_t * config, const char * name","ares_status_t","(unnamed enum)","ares_dns_record_create(ares_dns_record_t **, unsigned short, unsigned short, ares_dns_opcode_t, ares_dns_rcode_t) -> ares_status_t","ares_dns_record_t ** dnsrec, unsigned short id, unsigned short flags, ares_dns_opcode_t opcode, ares_dns_rcode_t rcode","ares_status_t","(unnamed enum)"
"enqueue_query","ares_dns_addr_to_ptr","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",783,841,1264,1264,"enqueue_query(ares_channel_t *, const adig_config_t *, const char *) -> ares_status_t","ares_channel_t * channel, const adig_config_t * config, const char * name","ares_status_t","(unnamed enum)","ares_dns_addr_to_ptr(const ares_addr *) -> char *","const ares_addr * addr","char *","char *"
