"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"main","memset","/src/c-ares/src/tools/adig.c","/usr/include/string.h",883,965,61,61,"main(int, char **) -> int","int argc, char ** argv","int","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"main","printf","/src/c-ares/src/tools/adig.c","/usr/include/stdio.h",883,965,332,332,"main(int, char **) -> int","int argc, char ** argv","int","int","printf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"main","fprintf","/src/c-ares/src/tools/adig.c","/usr/include/stdio.h",883,965,326,326,"main(int, char **) -> int","int argc, char ** argv","int","int","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"main","ares_set_servers_ports_csv","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_update_servers.c",883,965,1107,1107,"main(int, char **) -> int","int argc, char ** argv","int","int","ares_set_servers_ports_csv(ares_channel_t *, const char *) -> int","ares_channel_t * channel, const char * _csv","int","int"
"main","ares_strerror","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_strerror.c",883,965,32,32,"main(int, char **) -> int","int argc, char ** argv","int","int","ares_strerror(int) -> const char *","int code","const char *","char *"
"main","ares_destroy","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_destroy.c",883,965,35,35,"main(int, char **) -> int","int argc, char ** argv","int","int","ares_destroy(ares_channel_t *) -> void","ares_channel_t * channel","void","void"
"main","ares_init_options","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_init.c",883,965,267,267,"main(int, char **) -> int","int argc, char ** argv","int","int","ares_init_options(ares_channel_t **, const ares_options *, int) -> int","ares_channel_t ** channelptr, const ares_options * options, int optmask","int","int"
"main","ares_version","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_version.c",883,965,30,30,"main(int, char **) -> int","int argc, char ** argv","int","int","ares_version(int *) -> const char *","int * version","const char *","char *"
"main","ares_library_cleanup","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_library_init.c",883,965,132,132,"main(int, char **) -> int","int argc, char ** argv","int","int","ares_library_cleanup() -> void","","void","void"
"main","ares_library_init","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_library_init.c",883,965,101,101,"main(int, char **) -> int","int argc, char ** argv","int","int","ares_library_init(int) -> int","int flags","int","int"
"main","read_cmdline","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",883,965,149,149,"main(int, char **) -> int","int argc, char ** argv","int","int","read_cmdline(int, const char **, adig_config_t *) -> ares_bool_t","int argc, const char ** argv, adig_config_t * config","ares_bool_t","(unnamed enum)"
"main","print_help","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",883,965,119,119,"main(int, char **) -> int","int argc, char ** argv","int","int","print_help() -> void","","void","void"
"main","enqueue_query","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",883,965,780,780,"main(int, char **) -> int","int argc, char ** argv","int","int","enqueue_query(ares_channel_t *, const adig_config_t *, const char *) -> ares_status_t","ares_channel_t * channel, const adig_config_t * config, const char * name","ares_status_t","(unnamed enum)"
"main","event_loop","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",883,965,843,843,"main(int, char **) -> int","int argc, char ** argv","int","int","event_loop(ares_channel_t *) -> int","ares_channel_t * channel","int","int"
"main","free_config","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",883,965,113,113,"main(int, char **) -> int","int argc, char ** argv","int","int","free_config(adig_config_t *) -> void","adig_config_t * config","void","void"
"main","memset","/src/c-ares/src/tools/ahost.c","/usr/include/string.h",67,214,61,61,"main(int, char **) -> int","int argc, char ** argv","int","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"main","select","/src/c-ares/src/tools/ahost.c","/usr/include/x86_64-linux-gnu/sys/select.h",67,214,101,101,"main(int, char **) -> int","int argc, char ** argv","int","int","select(int, fd_set *__restrict__, fd_set *__restrict__, fd_set *__restrict__, timeval *__restrict__) -> int","int __nfds, fd_set *__restrict__ __readfds, fd_set *__restrict__ __writefds, fd_set *__restrict__ __exceptfds, timeval *__restrict__ __timeout","int","int"
"main","fprintf","/src/c-ares/src/tools/ahost.c","/usr/include/stdio.h",67,214,326,326,"main(int, char **) -> int","int argc, char ** argv","int","int","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"main","free","/src/c-ares/src/tools/ahost.c","/usr/include/stdlib.h",67,214,565,565,"main(int, char **) -> int","int argc, char ** argv","int","int","free(void *) -> void","void * __ptr","void","void"
"main","realloc","/src/c-ares/src/tools/ahost.c","/usr/include/stdlib.h",67,214,550,550,"main(int, char **) -> int","int argc, char ** argv","int","int","realloc(void *, size_t) -> void *","void * __ptr, size_t __size","void *","void *"
"main","strcasecmp","/src/c-ares/src/tools/ahost.c","/usr/include/strings.h",67,214,116,116,"main(int, char **) -> int","int argc, char ** argv","int","int","strcasecmp(const char *, const char *) -> int","const char * __s1, const char * __s2","int","int"
"main","strdup","/src/c-ares/src/tools/ahost.c","/usr/include/string.h",67,214,167,167,"main(int, char **) -> int","int argc, char ** argv","int","int","strdup(const char *) -> char *","const char * __s","char *","char *"
