"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"print_header","printf","/src/c-ares/src/tools/adig.c","/usr/include/stdio.h",280,292,332,332,"print_header(const ares_dns_record_t *) -> void","const ares_dns_record_t * dnsrec","void","void","printf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"print_header","ares_dns_record_rr_cnt","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",280,292,336,336,"print_header(const ares_dns_record_t *) -> void","const ares_dns_record_t * dnsrec","void","void","ares_dns_record_rr_cnt(const ares_dns_record_t *, ares_dns_section_t) -> size_t","const ares_dns_record_t * dnsrec, ares_dns_section_t sect","size_t","unsigned long"
"print_header","ares_dns_record_query_cnt","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",280,292,230,230,"print_header(const ares_dns_record_t *) -> void","const ares_dns_record_t * dnsrec","void","void","ares_dns_record_query_cnt(const ares_dns_record_t *) -> size_t","const ares_dns_record_t * dnsrec","size_t","unsigned long"
"print_header","ares_dns_record_get_rcode","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",280,292,87,87,"print_header(const ares_dns_record_t *) -> void","const ares_dns_record_t * dnsrec","void","void","ares_dns_record_get_rcode(const ares_dns_record_t *) -> ares_dns_rcode_t","const ares_dns_record_t * dnsrec","ares_dns_rcode_t","(unnamed enum)"
"print_header","ares_dns_record_get_opcode","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",280,292,79,79,"print_header(const ares_dns_record_t *) -> void","const ares_dns_record_t * dnsrec","void","void","ares_dns_record_get_opcode(const ares_dns_record_t *) -> ares_dns_opcode_t","const ares_dns_record_t * dnsrec","ares_dns_opcode_t","(unnamed enum)"
"print_header","ares_dns_record_get_flags","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",280,292,71,71,"print_header(const ares_dns_record_t *) -> void","const ares_dns_record_t * dnsrec","void","void","ares_dns_record_get_flags(const ares_dns_record_t *) -> unsigned short","const ares_dns_record_t * dnsrec","unsigned short","unsigned short"
"print_header","ares_dns_record_get_id","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",280,292,63,63,"print_header(const ares_dns_record_t *) -> void","const ares_dns_record_t * dnsrec","void","void","ares_dns_record_get_id(const ares_dns_record_t *) -> unsigned short","const ares_dns_record_t * dnsrec","unsigned short","unsigned short"
"print_header","ares_dns_rcode_tostr","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_mapping.c",280,292,839,839,"print_header(const ares_dns_record_t *) -> void","const ares_dns_record_t * dnsrec","void","void","ares_dns_rcode_tostr(ares_dns_rcode_t) -> const char *","ares_dns_rcode_t rcode","const char *","char *"
"print_header","ares_dns_opcode_tostr","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_mapping.c",280,292,237,237,"print_header(const ares_dns_record_t *) -> void","const ares_dns_record_t * dnsrec","void","void","ares_dns_opcode_tostr(ares_dns_opcode_t) -> const char *","ares_dns_opcode_t opcode","const char *","char *"
"print_header","print_flags","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",280,292,254,254,"print_header(const ares_dns_record_t *) -> void","const ares_dns_record_t * dnsrec","void","void","print_flags(ares_dns_flags_t) -> void","ares_dns_flags_t flags","void","void"
