"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"print_rr","printf","/src/c-ares/src/tools/adig.c","/usr/include/stdio.h",622,687,332,332,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","printf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"print_rr","strlen","/src/c-ares/src/tools/adig.c","/usr/include/string.h",622,687,385,385,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","strlen(const char *) -> size_t","const char * __s","size_t","unsigned long"
"print_rr","ares_dns_rr_get_ttl","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",622,687,566,566,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","ares_dns_rr_get_ttl(const ares_dns_rr_t *) -> unsigned int","const ares_dns_rr_t * rr","unsigned int","unsigned int"
"print_rr","ares_dns_rr_get_class","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",622,687,558,558,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","ares_dns_rr_get_class(const ares_dns_rr_t *) -> ares_dns_class_t","const ares_dns_rr_t * rr","ares_dns_class_t","(unnamed enum)"
"print_rr","ares_dns_rr_get_type","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",622,687,550,550,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","ares_dns_rr_get_type(const ares_dns_rr_t *) -> ares_dns_rec_type_t","const ares_dns_rr_t * rr","ares_dns_rec_type_t","(unnamed enum)"
"print_rr","ares_dns_rr_get_name","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",622,687,542,542,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","ares_dns_rr_get_name(const ares_dns_rr_t *) -> const char *","const ares_dns_rr_t * rr","const char *","char *"
"print_rr","ares_dns_rr_key_datatype","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_mapping.c",622,687,408,408,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","ares_dns_rr_key_datatype(ares_dns_rr_key_t) -> ares_dns_datatype_t","ares_dns_rr_key_t key","ares_dns_datatype_t","(unnamed enum)"
"print_rr","ares_dns_rr_get_keys","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_mapping.c",622,687,529,529,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","ares_dns_rr_get_keys(ares_dns_rec_type_t, size_t *) -> const ares_dns_rr_key_t *","ares_dns_rec_type_t type, size_t * cnt","const ares_dns_rr_key_t *","enum <unnamed> *"
"print_rr","ares_dns_class_tostr","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_mapping.c",622,687,220,220,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","ares_dns_class_tostr(ares_dns_class_t) -> const char *","ares_dns_class_t qclass","const char *","char *"
"print_rr","ares_dns_rec_type_tostr","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_mapping.c",622,687,175,175,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","ares_dns_rec_type_tostr(ares_dns_rec_type_t) -> const char *","ares_dns_rec_type_t type","const char *","char *"
"print_rr","print_addr","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",622,687,558,558,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","print_addr(const ares_dns_rr_t *, ares_dns_rr_key_t) -> void","const ares_dns_rr_t * rr, ares_dns_rr_key_t key","void","void"
"print_rr","print_addr6","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",622,687,567,567,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","print_addr6(const ares_dns_rr_t *, ares_dns_rr_key_t) -> void","const ares_dns_rr_t * rr, ares_dns_rr_key_t key","void","void"
"print_rr","print_u8","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",622,687,576,576,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","print_u8(const ares_dns_rr_t *, ares_dns_rr_key_t) -> void","const ares_dns_rr_t * rr, ares_dns_rr_key_t key","void","void"
"print_rr","print_u16","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",622,687,582,582,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","print_u16(const ares_dns_rr_t *, ares_dns_rr_key_t) -> void","const ares_dns_rr_t * rr, ares_dns_rr_key_t key","void","void"
"print_rr","print_u32","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",622,687,588,588,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","print_u32(const ares_dns_rr_t *, ares_dns_rr_key_t) -> void","const ares_dns_rr_t * rr, ares_dns_rr_key_t key","void","void"
"print_rr","print_name","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",622,687,594,594,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","print_name(const ares_dns_rr_t *, ares_dns_rr_key_t) -> void","const ares_dns_rr_t * rr, ares_dns_rr_key_t key","void","void"
"print_rr","print_str","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",622,687,600,600,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","print_str(const ares_dns_rr_t *, ares_dns_rr_key_t) -> void","const ares_dns_rr_t * rr, ares_dns_rr_key_t key","void","void"
"print_rr","print_bin","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",622,687,606,606,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","print_bin(const ares_dns_rr_t *, ares_dns_rr_key_t) -> void","const ares_dns_rr_t * rr, ares_dns_rr_key_t key","void","void"
"print_rr","print_binp","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",622,687,613,613,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","print_binp(const ares_dns_rr_t *, ares_dns_rr_key_t) -> void","const ares_dns_rr_t * rr, ares_dns_rr_key_t key","void","void"
"print_rr","print_opts","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",622,687,497,497,"print_rr(const ares_dns_rr_t *) -> void","const ares_dns_rr_t * rr","void","void","print_opts(const ares_dns_rr_t *, ares_dns_rr_key_t) -> void","const ares_dns_rr_t * rr, ares_dns_rr_key_t key","void","void"
