"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"callback","printf","/src/c-ares/src/tools/adig.c","/usr/include/stdio.h",741,778,332,332,"callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void","printf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"callback","fprintf","/src/c-ares/src/tools/adig.c","/usr/include/stdio.h",741,778,326,326,"callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"callback","ares_strerror","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_strerror.c",741,778,32,32,"callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void","ares_strerror(int) -> const char *","int code","const char *","char *"
"callback","ares_dns_parse","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_parse.c",741,778,1236,1236,"callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void","ares_dns_parse(const unsigned char *, size_t, unsigned int, ares_dns_record_t **) -> ares_status_t","const unsigned char * buf, size_t buf_len, unsigned int flags, ares_dns_record_t ** dnsrec","ares_status_t","(unnamed enum)"
"callback","ares_dns_record_destroy","/src/c-ares/src/tools/adig.c","/src/c-ares/src/lib/ares_dns_record.c",741,778,195,195,"callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void","ares_dns_record_destroy(ares_dns_record_t *) -> void","ares_dns_record_t * dnsrec","void","void"
"callback","print_header","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",741,778,279,279,"callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void","print_header(const ares_dns_record_t *) -> void","const ares_dns_record_t * dnsrec","void","void"
"callback","print_opt_psuedosection","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",741,778,723,723,"callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void","print_opt_psuedosection(ares_dns_record_t *) -> void","ares_dns_record_t * dnsrec","void","void"
"callback","print_question","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",741,778,294,294,"callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void","print_question(const ares_dns_record_t *) -> void","const ares_dns_record_t * dnsrec","void","void"
"callback","print_section","/src/c-ares/src/tools/adig.c","/src/c-ares/src/tools/adig.c",741,778,702,702,"callback(void *, int, int, unsigned char *, int) -> void","void * arg, int status, int timeouts, unsigned char * abuf, int alen","void","void","print_section(ares_dns_record_t *, ares_dns_section_t) -> void","ares_dns_record_t * dnsrec, ares_dns_section_t section","void","void"
"callback","puts","/src/c-ares/src/tools/ahost.c","/usr/include/stdio.h",217,234,632,632,"callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","puts(const char *) -> int","const char * __s","int","int"
"callback","printf","/src/c-ares/src/tools/ahost.c","/usr/include/stdio.h",217,234,332,332,"callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","printf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"callback","fprintf","/src/c-ares/src/tools/ahost.c","/usr/include/stdio.h",217,234,326,326,"callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"callback","ares_inet_ntop","/src/c-ares/src/tools/ahost.c","/src/c-ares/src/lib/inet_ntop.c",217,234,209,209,"callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","ares_inet_ntop(int, const void *, char *, ares_socklen_t) -> const char *","int af, const void * src, char * dst, ares_socklen_t size","const char *","char *"
"callback","ares_strerror","/src/c-ares/src/tools/ahost.c","/src/c-ares/src/lib/ares_strerror.c",217,234,32,32,"callback(void *, int, int, hostent *) -> void","void * arg, int status, int timeouts, hostent * host","void","void","ares_strerror(int) -> const char *","int code","const char *","char *"
