"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"main","opt_help","/src/openssl/test/testutil/main.c","/src/openssl/apps/lib/opt.c",16,41,1186,1186,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","opt_help(const OPTIONS *) -> void","const OPTIONS * list","void","void"
"main","test_close_streams","/src/openssl/test/testutil/main.c","/src/openssl/test/testutil/basic_output.c",16,41,62,62,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_close_streams() -> void","","void","void"
"main","test_open_streams","/src/openssl/test/testutil/main.c","/src/openssl/test/testutil/basic_output.c",16,41,29,29,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_open_streams() -> void","","void","void"
"main","test_printf_stderr","/src/openssl/test/testutil/main.c","/src/openssl/test/testutil/output.c",16,41,24,24,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_printf_stderr(const char *) -> int","const char * fmt","int","int"
"main","run_tests","/src/openssl/test/testutil/main.c","/src/openssl/test/testutil/driver.c",16,41,286,286,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","run_tests(const char *) -> int","const char * test_prog_name","int","int"
"main","pulldown_test_framework","/src/openssl/test/testutil/main.c","/src/openssl/test/testutil/driver.c",16,41,240,240,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","pulldown_test_framework(int) -> int","int ret","int","int"
"main","test_get_options","/src/openssl/test/testutil/main.c","/src/openssl/test/testutil/test_options.c",16,41,14,14,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_get_options() -> const OPTIONS *","","const OPTIONS *","options_st *"
"main","setup_test_framework","/src/openssl/test/testutil/main.c","/src/openssl/test/testutil/driver.c",16,41,103,103,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","setup_test_framework(int, char *[]) -> int","int argc, char *[] argv","int","int"
"main","cleanup_tests","/src/openssl/test/testutil/main.c","/src/openssl/test/testutil/test_cleanup.c",16,41,12,12,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","cleanup_tests() -> void","","void","void"
"main","setup_tests","/src/openssl/test/testutil/main.c","/src/openssl/test/testutil.h",16,41,237,237,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","setup_tests() -> int","","int","int"
"main","global_init","/src/openssl/test/testutil/main.c","/src/openssl/test/testutil/testutil_init.c",16,41,138,138,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","global_init() -> int","","int","int"
"main","opt_check_usage","/src/openssl/test/testutil/main.c","/src/openssl/test/testutil/options.c",16,41,50,50,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","opt_check_usage() -> void","","void","void"
"main","printf","/src/zlib/test/example.c","/usr/include/stdio.h",491,546,332,332,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","printf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"main","fprintf","/src/zlib/test/example.c","/usr/include/stdio.h",491,546,326,326,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"main","strcmp","/src/zlib/test/example.c","/usr/include/string.h",491,546,137,137,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","strcmp(const char *, const char *) -> int","const char * __s1, const char * __s2","int","int"
"main","exit","/src/zlib/test/example.c","/usr/include/stdlib.h",491,546,617,617,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","exit(int) -> void","int __status","void","void"
"main","free","/src/zlib/test/example.c","/usr/include/stdlib.h",491,546,565,565,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","free(void *) -> void","void * __ptr","void","void"
"main","calloc","/src/zlib/test/example.c","/usr/include/stdlib.h",491,546,542,542,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","calloc(size_t, size_t) -> void *","size_t __nmemb, size_t __size","void *","void *"
"main","zlibCompileFlags","/src/zlib/test/example.c","/src/zlib/zutil.c",491,546,31,31,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","zlibCompileFlags() -> uLong","","uLong","unsigned long"
"main","zlibVersion","/src/zlib/test/example.c","/src/zlib/zutil.c",491,546,27,27,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","zlibVersion() -> const char *","","const char *","char *"
"main","test_compress","/src/zlib/test/example.c","/src/zlib/test/example.c",491,546,60,60,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_compress(Byte *, uLong, Byte *, uLong) -> void","Byte * compr, uLong comprLen, Byte * uncompr, uLong uncomprLen","void","void"
"main","test_gzio","/src/zlib/test/example.c","/src/zlib/test/example.c",491,546,84,84,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_gzio(const char *, Byte *, uLong) -> void","const char * fname, Byte * uncompr, uLong uncomprLen","void","void"
"main","test_deflate","/src/zlib/test/example.c","/src/zlib/test/example.c",491,546,166,166,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_deflate(Byte *, uLong) -> void","Byte * compr, uLong comprLen","void","void"
"main","test_inflate","/src/zlib/test/example.c","/src/zlib/test/example.c",491,546,201,201,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_inflate(Byte *, uLong, Byte *, uLong) -> void","Byte * compr, uLong comprLen, Byte * uncompr, uLong uncomprLen","void","void"
"main","test_large_deflate","/src/zlib/test/example.c","/src/zlib/test/example.c",491,546,240,240,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_large_deflate(Byte *, uLong, Byte *, uLong) -> void","Byte * compr, uLong comprLen, Byte * uncompr, uLong uncomprLen","void","void"
"main","test_large_inflate","/src/zlib/test/example.c","/src/zlib/test/example.c",491,546,293,293,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_large_inflate(Byte *, uLong, Byte *, uLong) -> void","Byte * compr, uLong comprLen, Byte * uncompr, uLong uncomprLen","void","void"
"main","test_flush","/src/zlib/test/example.c","/src/zlib/test/example.c",491,546,332,332,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_flush(Byte *, uLong *) -> void","Byte * compr, uLong * comprLen","void","void"
"main","test_sync","/src/zlib/test/example.c","/src/zlib/test/example.c",491,546,367,367,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_sync(Byte *, uLong, Byte *, uLong) -> void","Byte * compr, uLong comprLen, Byte * uncompr, uLong uncomprLen","void","void"
"main","test_dict_deflate","/src/zlib/test/example.c","/src/zlib/test/example.c",491,546,408,408,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","test_dict_deflate(Byte *, uLong) -> void","Byte * compr, uLong comprLen","void","void"
