"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"sh_init","syscall","/src/openssl/crypto/mem_sec.c","/usr/include/unistd.h",427,592,1056,1056,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","syscall(long) -> long","long __sysno","long","long"
"sh_init","sysconf","/src/openssl/crypto/mem_sec.c","/usr/include/unistd.h",427,592,619,619,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","sysconf(int) -> long","int __name","long","long"
"sh_init","CRYPTO_zalloc","/src/openssl/crypto/mem_sec.c","/src/openssl/crypto/mem.c",427,592,218,218,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","CRYPTO_zalloc(size_t, const char *, int) -> void *","size_t num, const char * file, int line","void *","void *"
"sh_init","__errno_location","/src/openssl/crypto/mem_sec.c","/usr/include/errno.h",427,592,37,37,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","__errno_location() -> int *","","int *","int *"
"sh_init","OPENSSL_die","/src/openssl/crypto/mem_sec.c","/src/openssl/crypto/cryptlib.c",427,592,255,255,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","OPENSSL_die(const char *, const char *, int) -> void","const char * message, const char * file, int line","void","void"
"sh_init","memset","/src/openssl/crypto/mem_sec.c","/usr/include/string.h",427,592,61,61,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"sh_init","mlock","/src/openssl/crypto/mem_sec.c","/usr/include/x86_64-linux-gnu/sys/mman.h",427,592,103,103,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","mlock(const void *, size_t) -> int","const void * __addr, size_t __len","int","int"
"sh_init","madvise","/src/openssl/crypto/mem_sec.c","/usr/include/x86_64-linux-gnu/sys/mman.h",427,592,94,94,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","madvise(void *, size_t, int) -> int","void * __addr, size_t __len, int __advice","int","int"
"sh_init","mprotect","/src/openssl/crypto/mem_sec.c","/usr/include/x86_64-linux-gnu/sys/mman.h",427,592,81,81,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","mprotect(void *, size_t, int) -> int","void * __addr, size_t __len, int __prot","int","int"
"sh_init","mmap","/src/openssl/crypto/mem_sec.c","/usr/include/x86_64-linux-gnu/sys/mman.h",427,592,57,57,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","mmap(void *, size_t, int, int, int, __off_t) -> void *","void * __addr, size_t __len, int __prot, int __flags, int __fd, __off_t __offset","void *","void *"
"sh_init","sh_add_to_list","/src/openssl/crypto/mem_sec.c","/src/openssl/crypto/mem_sec.c",427,592,390,390,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","sh_add_to_list(char **, char *) -> void","char ** list, char * ptr","void","void"
"sh_init","sh_setbit","/src/openssl/crypto/mem_sec.c","/src/openssl/crypto/mem_sec.c",427,592,378,378,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","sh_setbit(char *, int, unsigned char *) -> void","char * ptr, int list, unsigned char * table","void","void"
"sh_init","sh_done","/src/openssl/crypto/mem_sec.c","/src/openssl/crypto/mem_sec.c",427,592,594,594,"sh_init(size_t, size_t) -> int","size_t size, size_t minsize","int","int","sh_done() -> void","","void","void"
