"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ParseIT8","cmsIT8SetSheetType","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2059,2134,1337,1337,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","cmsIT8SetSheetType(cmsHANDLE, const char *) -> cmsBool","cmsHANDLE hIT8, const char * Type","cmsBool","int"
"ParseIT8","ReadType","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2059,2134,2037,2037,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","ReadType(cmsIT8 *, char *) -> void","cmsIT8 * it8, char * SheetTypePtr","void","void"
"ParseIT8","InSymbol","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2059,2134,684,684,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"ParseIT8","SkipEOLN","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2059,2134,970,970,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","SkipEOLN(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"ParseIT8","DataFormatSection","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2059,2134,1835,1835,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","DataFormatSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int"
"ParseIT8","DataSection","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2059,2134,1876,1876,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","DataSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int"
"ParseIT8","AllocTable","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2059,2134,1245,1245,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","AllocTable(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"ParseIT8","isseparator","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2059,2134,359,359,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","isseparator(int) -> cmsBool","int c","cmsBool","int"
"ParseIT8","NextCh","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2059,2134,483,483,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","NextCh(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"ParseIT8","HeaderSection","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2059,2134,1928,1928,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int"
