"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"BlackPreservingGrayOnlySampler","cmsEvalToneCurve16","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsgamma.c",714,729,1370,1370,"BlackPreservingGrayOnlySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int","cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short"
"BlackPreservingGrayOnlySampler","DefaultEvalParametricFn","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsgamma.c",714,729,313,313,"BlackPreservingGrayOnlySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int","DefaultEvalParametricFn(cmsInt32Number, const cmsFloat64Number[], cmsFloat64Number) -> cmsFloat64Number","cmsInt32Number Type, const cmsFloat64Number[] Params, cmsFloat64Number R","cmsFloat64Number","double"
"BlackPreservingGrayOnlySampler","LinLerp1D","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsintrp.c",714,729,194,194,"BlackPreservingGrayOnlySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int","LinLerp1D(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Value, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"BlackPreservingGrayOnlySampler","Eval1Input","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsintrp.c",714,729,267,267,"BlackPreservingGrayOnlySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int","Eval1Input(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p16","void","void"
"BlackPreservingGrayOnlySampler","BilinearInterp16","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsintrp.c",714,729,397,397,"BlackPreservingGrayOnlySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int","BilinearInterp16(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"BlackPreservingGrayOnlySampler","TrilinearInterp16","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsintrp.c",714,729,528,528,"BlackPreservingGrayOnlySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int","TrilinearInterp16(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"BlackPreservingGrayOnlySampler","TetrahedralInterp16","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsintrp.c",714,729,708,708,"BlackPreservingGrayOnlySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int","TetrahedralInterp16(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"BlackPreservingGrayOnlySampler","Eval4Inputs","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsintrp.c",714,729,842,842,"BlackPreservingGrayOnlySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int","Eval4Inputs(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p16","void","void"
"BlackPreservingGrayOnlySampler","Eval5Inputs","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsintrp.c",714,729,1071,1071,"BlackPreservingGrayOnlySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int","Eval5Inputs(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p16","void","void"
"BlackPreservingGrayOnlySampler","Eval6Inputs","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsintrp.c",714,729,1160,1160,"BlackPreservingGrayOnlySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int","Eval6Inputs(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p16","void","void"
"BlackPreservingGrayOnlySampler","Eval7Inputs","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsintrp.c",714,729,1246,1246,"BlackPreservingGrayOnlySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int","Eval7Inputs(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p16","void","void"
