"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_cmsFree","_cmsContextGetClientChunk","/src/lcms/src/cmserr.c","/src/lcms/src/cmsplugin.c",293,298,691,691,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","_cmsContextGetClientChunk(cmsContext, _cmsMemoryClient) -> void *","cmsContext ContextID, _cmsMemoryClient mc","void *","void *"
"_cmsFree","_cmsFreeDefaultFn","/src/lcms/src/cmserr.c","/src/lcms/src/cmserr.c",293,298,116,116,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","_cmsFreeDefaultFn(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void"
"_cmsFree","CLutElemTypeFree","/src/lcms/src/cmserr.c","/src/lcms/src/cmslut.c",293,298,531,531,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","CLutElemTypeFree(cmsStage *) -> void","cmsStage * mpe","void","void"
"_cmsFree","MatrixElemTypeFree","/src/lcms/src/cmserr.c","/src/lcms/src/cmslut.c",293,298,363,363,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","MatrixElemTypeFree(cmsStage *) -> void","cmsStage * mpe","void","void"
"_cmsFree","CurveSetElemTypeFree","/src/lcms/src/cmserr.c","/src/lcms/src/cmslut.c",293,298,187,187,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","CurveSetElemTypeFree(cmsStage *) -> void","cmsStage * mpe","void","void"
"_cmsFree","FreeNamedColorList","/src/lcms/src/cmserr.c","/src/lcms/src/cmsnamed.c",293,298,672,672,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","FreeNamedColorList(cmsStage *) -> void","cmsStage * mpe","void","void"
"_cmsFree","Type_Dictionary_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,5283,5283,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_Dictionary_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_vcgt_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,4847,4847,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_vcgt_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_MPE_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,4612,4612,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_MPE_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","GenericMPEfree","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,3920,3920,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","GenericMPEfree(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_ViewingConditions_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,3899,3899,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_ViewingConditions_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_Screening_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,3832,3832,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_Screening_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_CrdInfo_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,3745,3745,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_CrdInfo_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_UcrBg_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,3613,3613,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_UcrBg_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_ProfileSequenceId_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,3501,3501,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_ProfileSequenceId_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_ProfileSequenceDesc_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,3379,3379,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_ProfileSequenceDesc_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_NamedColor_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,3217,3217,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_NamedColor_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_ColorantTable_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,3078,3078,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_ColorantTable_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_LUTB2A_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,2972,2972,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_LUTB2A_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_LUTA2B_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,2789,2789,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_LUTA2B_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_LUT16_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,2286,2286,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_LUT16_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_LUT8_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,1969,1969,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_LUT8_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_MLU_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,1575,1575,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_MLU_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_Measurement_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,1423,1423,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_Measurement_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_DateTime_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,1359,1359,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_DateTime_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
"_cmsFree","Type_ParametricCurve_Free","/src/lcms/src/cmserr.c","/src/lcms/src/cmstypes.c",293,298,1289,1289,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void","Type_ParametricCurve_Free(_cms_typehandler_struct *, void *) -> void","_cms_typehandler_struct * self, void * Ptr","void","void"
