"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsEvalToneCurve16","__assert_fail","/src/lcms/src/cmsgamma.c","/usr/include/assert.h",1371,1378,69,69,"cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"cmsEvalToneCurve16","DefaultEvalParametricFn","/src/lcms/src/cmsgamma.c","/src/lcms/src/cmsgamma.c",1371,1378,313,313,"cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short","DefaultEvalParametricFn(cmsInt32Number, const cmsFloat64Number[], cmsFloat64Number) -> cmsFloat64Number","cmsInt32Number Type, const cmsFloat64Number[] Params, cmsFloat64Number R","cmsFloat64Number","double"
"cmsEvalToneCurve16","LinLerp1Dfloat","/src/lcms/src/cmsgamma.c","/src/lcms/src/cmsintrp.c",1371,1378,231,231,"cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short","LinLerp1Dfloat(const cmsFloat32Number[], cmsFloat32Number[], const cmsInterpParams *) -> void","const cmsFloat32Number[] Value, cmsFloat32Number[] Output, const cmsInterpParams * p","void","void"
"cmsEvalToneCurve16","LinLerp1D","/src/lcms/src/cmsgamma.c","/src/lcms/src/cmsintrp.c",1371,1378,194,194,"cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short","LinLerp1D(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Value, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"cmsEvalToneCurve16","Eval1InputFloat","/src/lcms/src/cmsgamma.c","/src/lcms/src/cmsintrp.c",1371,1378,298,298,"cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short","Eval1InputFloat(const cmsFloat32Number[], cmsFloat32Number[], const cmsInterpParams *) -> void","const cmsFloat32Number[] Value, cmsFloat32Number[] Output, const cmsInterpParams * p","void","void"
"cmsEvalToneCurve16","Eval1Input","/src/lcms/src/cmsgamma.c","/src/lcms/src/cmsintrp.c",1371,1378,267,267,"cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short","Eval1Input(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p16","void","void"
"cmsEvalToneCurve16","BilinearInterpFloat","/src/lcms/src/cmsgamma.c","/src/lcms/src/cmsintrp.c",1371,1378,344,344,"cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short","BilinearInterpFloat(const cmsFloat32Number[], cmsFloat32Number[], const cmsInterpParams *) -> void","const cmsFloat32Number[] Input, cmsFloat32Number[] Output, const cmsInterpParams * p","void","void"
"cmsEvalToneCurve16","BilinearInterp16","/src/lcms/src/cmsgamma.c","/src/lcms/src/cmsintrp.c",1371,1378,397,397,"cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short","BilinearInterp16(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"cmsEvalToneCurve16","TrilinearInterpFloat","/src/lcms/src/cmsgamma.c","/src/lcms/src/cmsintrp.c",1371,1378,456,456,"cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short","TrilinearInterpFloat(const cmsFloat32Number[], cmsFloat32Number[], const cmsInterpParams *) -> void","const cmsFloat32Number[] Input, cmsFloat32Number[] Output, const cmsInterpParams * p","void","void"
"cmsEvalToneCurve16","TrilinearInterp16","/src/lcms/src/cmsgamma.c","/src/lcms/src/cmsintrp.c",1371,1378,528,528,"cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short","TrilinearInterp16(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
"cmsEvalToneCurve16","TetrahedralInterpFloat","/src/lcms/src/cmsgamma.c","/src/lcms/src/cmsintrp.c",1371,1378,607,607,"cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short","TetrahedralInterpFloat(const cmsFloat32Number[], cmsFloat32Number[], const cmsInterpParams *) -> void","const cmsFloat32Number[] Input, cmsFloat32Number[] Output, const cmsInterpParams * p","void","void"
"cmsEvalToneCurve16","TetrahedralInterp16","/src/lcms/src/cmsgamma.c","/src/lcms/src/cmsintrp.c",1371,1378,708,708,"cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short","TetrahedralInterp16(const cmsUInt16Number[], cmsUInt16Number[], const cmsInterpParams *) -> void","const cmsUInt16Number[] Input, cmsUInt16Number[] Output, const cmsInterpParams * p","void","void"
