"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_cmsCreateGamutCheckPipeline","cmsDeleteTransform","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsxform.c",294,411,147,147,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void"
"_cmsCreateGamutCheckPipeline","cmsCreateExtendedTransform","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsxform.c",294,411,1009,1009,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsCreateExtendedTransform(cmsContext, cmsUInt32Number, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsUInt32Number nProfiles, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsHPROFILE hGamutProfile, cmsUInt32Number nGamutPCSposition, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
"_cmsCreateGamutCheckPipeline","cmsCreateTransformTHR","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsxform.c",294,411,1202,1202,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsCreateTransformTHR(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
"_cmsCreateGamutCheckPipeline","cmsCreateLab4ProfileTHR","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsvirt.c",294,411,521,521,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsCreateLab4ProfileTHR(cmsContext, const cmsCIExyY *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint","cmsHPROFILE","void *"
"_cmsCreateGamutCheckPipeline","cmsCloseProfile","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio0.c",294,411,1433,1433,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"_cmsCreateGamutCheckPipeline","cmsChannelsOf","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmspcs.c",294,411,877,877,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsChannelsOf(cmsColorSpaceSignature) -> cmsUInt32Number","cmsColorSpaceSignature ColorSpace","cmsUInt32Number","unsigned int"
"_cmsCreateGamutCheckPipeline","cmsIsMatrixShaper","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio1.c",294,411,810,810,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsIsMatrixShaper(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"_cmsCreateGamutCheckPipeline","cmsGetColorSpace","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio0.c",294,411,953,953,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsGetColorSpace(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"_cmsCreateGamutCheckPipeline","cmsStageSampleCLut16bit","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmslut.c",294,411,750,750,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int"
"_cmsCreateGamutCheckPipeline","cmsStageAllocCLut16bit","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmslut.c",294,411,610,610,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsStageAllocCLut16bit(cmsContext, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, const cmsUInt16Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nGridPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsUInt16Number * Table","cmsStage *","_cmsStage_struct *"
