"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_cmsReadHeader","memmove","/src/lcms/src/cmsio0.c","/usr/include/string.h",683,773,46,46,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","memmove(void *, const void *, size_t) -> void *","void * __dest, const void * __src, size_t __n","void *","void *"
"_cmsReadHeader","_cmsDecodeDateTimeNumber","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",683,773,401,401,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","_cmsDecodeDateTimeNumber(const cmsDateTimeNumber *, tm *) -> void","const cmsDateTimeNumber * Source, tm * Dest","void","void"
"_cmsReadHeader","_cmsReadUInt32Number","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",683,773,156,156,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","_cmsReadUInt32Number(cmsIOHANDLER *, cmsUInt32Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number * n","cmsBool","int"
"_cmsReadHeader","_cmsAdjustEndianess64","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",683,773,79,79,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","_cmsAdjustEndianess64(cmsUInt64Number *, cmsUInt64Number *) -> void","cmsUInt64Number * Result, cmsUInt64Number * QWord","void","void"
"_cmsReadHeader","_cmsAdjustEndianess32","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",683,773,58,58,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","_cmsAdjustEndianess32(cmsUInt32Number) -> cmsUInt32Number","cmsUInt32Number DWord","cmsUInt32Number","unsigned int"
"_cmsReadHeader","cmsSignalError","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",683,773,509,509,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"_cmsReadHeader","_validatedVersion","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",683,773,663,663,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","_validatedVersion(cmsUInt32Number) -> cmsUInt32Number","cmsUInt32Number DWord","cmsUInt32Number","unsigned int"
"_cmsReadHeader","FileRead","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",683,773,315,315,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","FileRead(cmsIOHANDLER *, void *, cmsUInt32Number, cmsUInt32Number) -> cmsUInt32Number","cmsIOHANDLER * iohandler, void * Buffer, cmsUInt32Number size, cmsUInt32Number count","cmsUInt32Number","unsigned int"
"_cmsReadHeader","MemoryRead","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",683,773,147,147,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","MemoryRead(_cms_io_handler *, void *, cmsUInt32Number, cmsUInt32Number) -> cmsUInt32Number","_cms_io_handler * iohandler, void * Buffer, cmsUInt32Number size, cmsUInt32Number count","cmsUInt32Number","unsigned int"
"_cmsReadHeader","NULLRead","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",683,773,48,48,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","NULLRead(cmsIOHANDLER *, void *, cmsUInt32Number, cmsUInt32Number) -> cmsUInt32Number","cmsIOHANDLER * iohandler, void * Buffer, cmsUInt32Number size, cmsUInt32Number count","cmsUInt32Number","unsigned int"
