"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_cmsWriteHeader","cmsD50_XYZ","/src/lcms/src/cmsio0.c","/src/lcms/src/cmswtpnt.c",777,851,31,31,"_cmsWriteHeader(_cmsICCPROFILE *, cmsUInt32Number) -> cmsBool","_cmsICCPROFILE * Icc, cmsUInt32Number UsedSpace","cmsBool","int","cmsD50_XYZ() -> const cmsCIEXYZ *","","const cmsCIEXYZ *","struct <unnamed> *"
"_cmsWriteHeader","memset","/src/lcms/src/cmsio0.c","/usr/include/string.h",777,851,62,62,"_cmsWriteHeader(_cmsICCPROFILE *, cmsUInt32Number) -> cmsBool","_cmsICCPROFILE * Icc, cmsUInt32Number UsedSpace","cmsBool","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"_cmsWriteHeader","memmove","/src/lcms/src/cmsio0.c","/usr/include/string.h",777,851,46,46,"_cmsWriteHeader(_cmsICCPROFILE *, cmsUInt32Number) -> cmsBool","_cmsICCPROFILE * Icc, cmsUInt32Number UsedSpace","cmsBool","int","memmove(void *, const void *, size_t) -> void *","void * __dest, const void * __src, size_t __n","void *","void *"
"_cmsWriteHeader","_cmsEncodeDateTimeNumber","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",777,851,418,418,"_cmsWriteHeader(_cmsICCPROFILE *, cmsUInt32Number) -> cmsBool","_cmsICCPROFILE * Icc, cmsUInt32Number UsedSpace","cmsBool","int","_cmsEncodeDateTimeNumber(cmsDateTimeNumber *, const tm *) -> void","cmsDateTimeNumber * Dest, const tm * Source","void","void"
"_cmsWriteHeader","_cmsDoubleTo15Fixed16","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",777,851,394,394,"_cmsWriteHeader(_cmsICCPROFILE *, cmsUInt32Number) -> cmsBool","_cmsICCPROFILE * Icc, cmsUInt32Number UsedSpace","cmsBool","int","_cmsDoubleTo15Fixed16(cmsFloat64Number) -> cmsS15Fixed16Number","cmsFloat64Number v","cmsS15Fixed16Number","int"
"_cmsWriteHeader","_cmsWriteUInt32Number","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",777,851,290,290,"_cmsWriteHeader(_cmsICCPROFILE *, cmsUInt32Number) -> cmsBool","_cmsICCPROFILE * Icc, cmsUInt32Number UsedSpace","cmsBool","int","_cmsWriteUInt32Number(cmsIOHANDLER *, cmsUInt32Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number n","cmsBool","int"
"_cmsWriteHeader","_cmsAdjustEndianess64","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",777,851,79,79,"_cmsWriteHeader(_cmsICCPROFILE *, cmsUInt32Number) -> cmsBool","_cmsICCPROFILE * Icc, cmsUInt32Number UsedSpace","cmsBool","int","_cmsAdjustEndianess64(cmsUInt64Number *, cmsUInt64Number *) -> void","cmsUInt64Number * Result, cmsUInt64Number * QWord","void","void"
"_cmsWriteHeader","_cmsAdjustEndianess32","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",777,851,58,58,"_cmsWriteHeader(_cmsICCPROFILE *, cmsUInt32Number) -> cmsBool","_cmsICCPROFILE * Icc, cmsUInt32Number UsedSpace","cmsBool","int","_cmsAdjustEndianess32(cmsUInt32Number) -> cmsUInt32Number","cmsUInt32Number DWord","cmsUInt32Number","unsigned int"
"_cmsWriteHeader","FileWrite","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",777,851,355,355,"_cmsWriteHeader(_cmsICCPROFILE *, cmsUInt32Number) -> cmsBool","_cmsICCPROFILE * Icc, cmsUInt32Number UsedSpace","cmsBool","int","FileWrite(cmsIOHANDLER *, cmsUInt32Number, const void *) -> cmsBool","cmsIOHANDLER * iohandler, cmsUInt32Number size, const void * Buffer","cmsBool","int"
"_cmsWriteHeader","MemoryWrite","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",777,851,196,196,"_cmsWriteHeader(_cmsICCPROFILE *, cmsUInt32Number) -> cmsBool","_cmsICCPROFILE * Icc, cmsUInt32Number UsedSpace","cmsBool","int","MemoryWrite(_cms_io_handler *, cmsUInt32Number, const void *) -> cmsBool","_cms_io_handler * iohandler, cmsUInt32Number size, const void * Ptr","cmsBool","int"
"_cmsWriteHeader","NULLWrite","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",777,851,76,76,"_cmsWriteHeader(_cmsICCPROFILE *, cmsUInt32Number) -> cmsBool","_cmsICCPROFILE * Icc, cmsUInt32Number UsedSpace","cmsBool","int","NULLWrite(cmsIOHANDLER *, cmsUInt32Number, const void *) -> cmsBool","cmsIOHANDLER * iohandler, cmsUInt32Number size, const void * Ptr","cmsBool","int"
