"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsSaveProfileToMem","cmsSaveProfileToIOhandler","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1406,1428,1315,1315,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsSaveProfileToIOhandler(cmsHPROFILE, cmsIOHANDLER *) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsIOHANDLER * io","cmsUInt32Number","unsigned int"
"cmsSaveProfileToMem","cmsCloseIOhandler","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1406,1428,473,473,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsCloseIOhandler(cmsIOHANDLER *) -> cmsBool","cmsIOHANDLER * io","cmsBool","int"
"cmsSaveProfileToMem","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1406,1428,238,238,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToMem","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1406,1428,238,238,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToMem","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1406,1428,238,238,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToMem","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1406,1428,238,238,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToMem","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1406,1428,513,513,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToMem","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1406,1428,513,513,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToMem","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1406,1428,513,513,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToMem","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1406,1428,513,513,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
