"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsWriteTag","cmsGetProfileVersion","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1638,1749,1019,1019,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","cmsGetProfileVersion(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double"
"cmsWriteTag","_cmsUnlockMutex","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1638,1749,655,655,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsUnlockMutex(cmsContext, void *) -> void","cmsContext ContextID, void * mtx","void","void"
"cmsWriteTag","_cmsLockMutex","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1638,1749,646,646,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsLockMutex(cmsContext, void *) -> cmsBool","cmsContext ContextID, void * mtx","cmsBool","int"
"cmsWriteTag","cmsSignalError","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1638,1749,509,509,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"cmsWriteTag","_cmsTagSignature2String","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1638,1749,528,528,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsTagSignature2String(char[5], cmsTagSignature) -> void","char[5] String, cmsTagSignature sig","void","void"
"cmsWriteTag","_cmsGetTagDescriptor","/src/lcms/src/cmsio0.c","/src/lcms/src/cmstypes.c",1638,1749,5612,5612,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsGetTagDescriptor(cmsContext, cmsTagSignature) -> cmsTagDescriptor *","cmsContext ContextID, cmsTagSignature sig","cmsTagDescriptor *","struct <unnamed> *"
"cmsWriteTag","_cmsGetTagTypeHandler","/src/lcms/src/cmsio0.c","/src/lcms/src/cmstypes.c",1638,1749,5415,5415,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsGetTagTypeHandler(cmsContext, cmsTagTypeSignature) -> cmsTagTypeHandler *","cmsContext ContextID, cmsTagTypeSignature sig","cmsTagTypeHandler *","_cms_typehandler_struct *"
"cmsWriteTag","_cmsSearchTag","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1638,1749,559,559,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsSearchTag(_cmsICCPROFILE *, cmsTagSignature, cmsBool) -> int","_cmsICCPROFILE * Icc, cmsTagSignature sig, cmsBool lFollowLinks","int","int"
"cmsWriteTag","_cmsDupDefaultFn","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1638,1749,165,165,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsDupDefaultFn(cmsContext, const void *, cmsUInt32Number) -> void *","cmsContext ContextID, const void * Org, cmsUInt32Number size","void *","void *"
"cmsWriteTag","_cmsNewTag","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1638,1749,621,621,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsNewTag(_cmsICCPROFILE *, cmsTagSignature, int *) -> cmsBool","_cmsICCPROFILE * Icc, cmsTagSignature sig, int * NewPos","cmsBool","int"
