"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"BuildGrayOutputPipeline","cmsGetPCS","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",415,452,941,941,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsGetPCS(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"BuildGrayOutputPipeline","cmsReadTag","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",415,452,1500,1500,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *"
"BuildGrayOutputPipeline","cmsGetProfileContextID","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",415,452,513,513,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"BuildGrayOutputPipeline","cmsGetProfileContextID","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",415,452,513,513,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"BuildGrayOutputPipeline","cmsGetProfileContextID","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",415,452,513,513,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"BuildGrayOutputPipeline","cmsGetProfileContextID","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",415,452,513,513,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"BuildGrayOutputPipeline","cmsStageAllocMatrix","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",415,452,379,379,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"BuildGrayOutputPipeline","cmsStageAllocMatrix","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",415,452,379,379,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"BuildGrayOutputPipeline","cmsStageAllocMatrix","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",415,452,379,379,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"BuildGrayOutputPipeline","cmsStageAllocMatrix","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",415,452,379,379,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"BuildGrayOutputPipeline","cmsStageAllocToneCurves","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",415,452,248,248,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsStageAllocToneCurves(cmsContext, cmsUInt32Number, cmsToneCurve *const[]) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels, cmsToneCurve *const[] Curves","cmsStage *","_cmsStage_struct *"
"BuildGrayOutputPipeline","cmsStageAllocToneCurves","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",415,452,248,248,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsStageAllocToneCurves(cmsContext, cmsUInt32Number, cmsToneCurve *const[]) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels, cmsToneCurve *const[] Curves","cmsStage *","_cmsStage_struct *"
"BuildGrayOutputPipeline","cmsStageAllocToneCurves","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",415,452,248,248,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsStageAllocToneCurves(cmsContext, cmsUInt32Number, cmsToneCurve *const[]) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels, cmsToneCurve *const[] Curves","cmsStage *","_cmsStage_struct *"
"BuildGrayOutputPipeline","cmsStageAllocToneCurves","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",415,452,248,248,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsStageAllocToneCurves(cmsContext, cmsUInt32Number, cmsToneCurve *const[]) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels, cmsToneCurve *const[] Curves","cmsStage *","_cmsStage_struct *"
"BuildGrayOutputPipeline","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",415,452,1511,1511,"BuildGrayOutputPipeline(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
