"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_cmsReadFloatOutputTag","cmsGetColorSpace","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",543,582,953,953,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsGetColorSpace(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"_cmsReadFloatOutputTag","cmsGetPCS","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",543,582,941,941,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsGetPCS(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"_cmsReadFloatOutputTag","cmsReadTag","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",543,582,1500,1500,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *"
"_cmsReadFloatOutputTag","cmsGetProfileContextID","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",543,582,513,513,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"_cmsReadFloatOutputTag","cmsGetProfileContextID","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",543,582,513,513,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"_cmsReadFloatOutputTag","cmsGetProfileContextID","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",543,582,513,513,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"_cmsReadFloatOutputTag","cmsGetProfileContextID","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",543,582,513,513,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"_cmsReadFloatOutputTag","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1511,1511,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"_cmsReadFloatOutputTag","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1511,1511,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"_cmsReadFloatOutputTag","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1511,1511,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"_cmsReadFloatOutputTag","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1511,1511,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"_cmsReadFloatOutputTag","cmsPipelineDup","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1456,1456,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineDup(const cmsPipeline *) -> cmsPipeline *","const cmsPipeline * lut","cmsPipeline *","_cmsPipeline_struct *"
"_cmsReadFloatOutputTag","cmsPipelineDup","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1456,1456,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineDup(const cmsPipeline *) -> cmsPipeline *","const cmsPipeline * lut","cmsPipeline *","_cmsPipeline_struct *"
"_cmsReadFloatOutputTag","cmsPipelineDup","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1456,1456,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineDup(const cmsPipeline *) -> cmsPipeline *","const cmsPipeline * lut","cmsPipeline *","_cmsPipeline_struct *"
"_cmsReadFloatOutputTag","cmsPipelineDup","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1456,1456,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineDup(const cmsPipeline *) -> cmsPipeline *","const cmsPipeline * lut","cmsPipeline *","_cmsPipeline_struct *"
"_cmsReadFloatOutputTag","cmsPipelineFree","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1418,1418,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineFree(cmsPipeline *) -> void","cmsPipeline * lut","void","void"
"_cmsReadFloatOutputTag","_cmsStageNormalizeToXyzFloat","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1118,1118,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","_cmsStageNormalizeToXyzFloat(cmsContext) -> cmsStage *","cmsContext ContextID","cmsStage *","_cmsStage_struct *"
"_cmsReadFloatOutputTag","_cmsStageNormalizeToLabFloat","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1098,1098,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","_cmsStageNormalizeToLabFloat(cmsContext) -> cmsStage *","cmsContext ContextID","cmsStage *","_cmsStage_struct *"
"_cmsReadFloatOutputTag","_cmsStageNormalizeFromXyzFloat","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1081,1081,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","_cmsStageNormalizeFromXyzFloat(cmsContext) -> cmsStage *","cmsContext ContextID","cmsStage *","_cmsStage_struct *"
"_cmsReadFloatOutputTag","_cmsStageNormalizeFromLabFloat","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",543,582,1059,1059,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","_cmsStageNormalizeFromLabFloat(cmsContext) -> cmsStage *","cmsContext ContextID","cmsStage *","_cmsStage_struct *"
