"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsStageSampleCLut16bit","memset","/src/lcms/src/cmslut.c","/usr/include/string.h",751,813,62,62,"cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"cmsStageSampleCLut16bit","_cmsQuantizeVal","/src/lcms/src/cmslut.c","/src/lcms/src/cmslut.c",751,813,739,739,"cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int","_cmsQuantizeVal(cmsFloat64Number, cmsUInt32Number) -> cmsUInt16Number","cmsFloat64Number i, cmsUInt32Number MaxSamples","cmsUInt16Number","unsigned short"
"cmsStageSampleCLut16bit","BlackPreservingSampler","/src/lcms/src/cmslut.c","/src/lcms/src/cmscnvrt.c",751,813,840,840,"cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int","BlackPreservingSampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int"
"cmsStageSampleCLut16bit","BlackPreservingGrayOnlySampler","/src/lcms/src/cmslut.c","/src/lcms/src/cmscnvrt.c",751,813,713,713,"cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int","BlackPreservingGrayOnlySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int"
"cmsStageSampleCLut16bit","GamutSampler","/src/lcms/src/cmslut.c","/src/lcms/src/cmsgmt.c",751,813,214,214,"cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int","GamutSampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int"
"cmsStageSampleCLut16bit","_LUTeval16","/src/lcms/src/cmslut.c","/src/lcms/src/cmslut.c",751,813,1320,1320,"cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int","_LUTeval16(const cmsUInt16Number[], cmsUInt16Number[], const void *) -> void","const cmsUInt16Number[] In, cmsUInt16Number[] Out, const void * D","void","void"
"cmsStageSampleCLut16bit","CubeSize","/src/lcms/src/cmslut.c","/src/lcms/src/cmslut.c",751,813,467,467,"cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int","CubeSize(const cmsUInt32Number[], cmsUInt32Number) -> cmsUInt32Number","const cmsUInt32Number[] Dims, cmsUInt32Number b","cmsUInt32Number","unsigned int"
"cmsStageSampleCLut16bit","IdentitySampler","/src/lcms/src/cmslut.c","/src/lcms/src/cmslut.c",751,813,703,703,"cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int","IdentitySampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int"
"cmsStageSampleCLut16bit","XFormSampler16","/src/lcms/src/cmslut.c","/src/lcms/src/cmsopt.c",751,813,409,409,"cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int","XFormSampler16(const cmsUInt16Number[], cmsUInt16Number[], void *) -> cmsInt32Number","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","cmsInt32Number","int"
"cmsStageSampleCLut16bit","OutputValueSampler","/src/lcms/src/cmslut.c","/src/lcms/src/cmsps2.c",751,813,585,585,"cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int","OutputValueSampler(const cmsUInt16Number[], cmsUInt16Number[], void *) -> int","const cmsUInt16Number[] In, cmsUInt16Number[] Out, void * Cargo","int","int"
